r,g,value
AL,ppd,6.077500348098737
AL,res,4.872144245001915
AL,com,2.9102640645582185
AL,amb,10.65997942813658
AL,fbp,5.5470017927732975
AL,rec,1.1151659467139396
AL,con,14.982689261844344
AL,agr,2.866391169898633
AL,eec,1.3286178923917826
AL,fnd,6.205322820731995
AL,pub,0.816840838099389
AL,hou,14.850105351474715
AL,fbt,2.0837380882829164
AL,ins,6.152092790487395
AL,tex,1.2693335666701318
AL,leg,2.082136491392448
AL,fen,0.8632501686116776
AL,uti,5.755602296214993
AL,nmp,2.615236231023081
AL,brd,3.058403317684762
AL,bnk,6.3645474302444836
AL,ore,9.801672972182095
AL,edu,2.346683649344336
AL,ote,5.312178239588724
AL,man,2.072786555130878
AL,mch,0.8321418612381348
AL,dat,1.0291202353744706
AL,amd,1.3699656194764112
AL,oil,0.4065285863933554
AL,hos,8.717135547568745
AL,rnt,2.5669472025180164
AL,pla,3.4943137790424985
AL,fof,0.3288793635151129
AL,fin,0.5563048270256219
AL,tsv,12.39541570460564
AL,nrs,1.4344528157095695
AL,sec,1.2353626263555813
AL,art,0.5214556431545067
AL,mov,0.16708898894200505
AL,fpd,1.3406818014359396
AL,slg,40.957130407768695
AL,pri,0.33128191564577963
AL,grd,0.4091180214440262
AL,pip,0.0668236190789742
AL,sle,2.050699810615941
AL,osv,6.975475223083412
AL,trn,0.906394091643419
AL,smn,0.1360593089198362
AL,fmt,3.902993906130158
AL,pet,3.720929301273264
AL,mvt,2.4651757998867176
AL,cep,0.6590704828504528
AL,wst,1.2140227811499253
AL,mot,7.6266718024854026
AL,adm,6.611379998282646
AL,soc,1.8816965114723794
AL,alt,0.17300470286890632
AL,pmt,10.780520102558162
AL,trk,3.9072482392691916
AL,fdd,10.725378030488194
AL,gmt,1.7103704111718134
AL,wtt,0.03356281926845886
AL,wpd,5.876643684750586
AL,wht,12.669443132240367
AL,wrh,1.2432379803770153
AL,ott,9.517293022444944
AL,che,2.2598792848932296
AL,air,0.08544081741840737
AL,mmf,0.7992981373803245
AL,otr,2.2702860444942017
AL,min,0.24878256192746462
AK,ppd,0.005858696025444034
AK,res,2.491168572939039
AK,com,0.23522230040265243
AK,amb,2.534777877639867
AK,fbp,1.1175374206434627
AK,rec,0.487181166302928
AK,con,3.6381691798731426
AK,agr,0.00421138648934658
AK,fnd,1.2659207458842072
AK,pub,0.05672010788423595
AK,hou,2.80587050077159
AK,fbt,0.32912647596361244
AK,ins,0.4195914579491072
AK,tex,0.0037421019793529454
AK,leg,0.13401397154654332
AK,fen,0.24810454333279702
AK,uti,1.2932499934736656
AK,nmp,0.029361850633327368
AK,brd,1.0622584092292477
AK,bnk,0.604340990185184
AK,ore,1.8690322162638224
AK,edu,1.0118394184059312
AK,man,0.35001447013201
AK,mch,0.025220016617710974
AK,dat,0.13918711106034226
AK,amd,0.30053217962146583
AK,oil,7.241286780360338
AK,hos,4.107384098880414
AK,rnt,0.6301516363168814
AK,pla,0.009397421860488097
AK,fin,0.3095728700522751
AK,tsv,2.180053966706302
AK,nrs,0.4327398492306036
AK,sec,0.13448752251113497
AK,art,0.16806575023412562
AK,mov,0.03519923396509494
AK,fpd,0.008052419129706915
AK,slg,18.49185365352185
AK,pri,0.03447259866903222
AK,grd,0.2955148656787625
AK,pip,7.1750618272431925
AK,sle,1.1553575915773557
AK,osv,1.0427239442510452
AK,smn,0.11264563000316749
AK,fmt,0.054484185658679934
AK,pet,0.47640475271173116
AK,mvt,0.3221901655715001
AK,cep,0.010920534787982867
AK,wst,0.3774347690343615
AK,mot,0.01132516446298228
AK,adm,0.8810976484951749
AK,soc,0.24344874187930896
AK,alt,0.01714643336045672
AK,trk,0.2115181507501378
AK,fdd,1.8994478673674908
AK,gmt,0.23236519269296002
AK,wtt,0.6956594232586534
AK,wpd,0.02057881208034767
AK,wht,0.3829403564304746
AK,wrh,0.038396512635154624
AK,ott,1.2654464184779497
AK,che,0.1526668724330272
AK,air,1.1294815013947568
AK,mmf,0.023728853865538063
AK,otr,1.5453640533635815
AK,min,0.005931594587146094
AR,ppd,2.6026109678458194
AR,res,2.952476857948992
AR,com,1.1224674088461886
AR,amb,5.496806999856848
AR,fbp,11.605333913831174
AR,rec,0.4404936716246764
AR,con,7.131572559798573
AR,agr,3.1714952901094158
AR,eec,0.8811599386102984
AR,fnd,2.196185222744413
AR,pub,0.23654123695377477
AR,hou,7.312429642712676
AR,fbt,1.2402177673032795
AR,ins,3.4910465539770565
AR,tex,0.14520476883506492
AR,leg,0.606887578446975
AR,fen,0.30869477207697127
AR,uti,1.561447028011785
AR,nmp,0.37007554492013806
AR,brd,1.230706991262446
AR,bnk,3.091634461753779
AR,ore,4.813509911780593
AR,edu,0.8363716057203996
AR,ote,0.31684761246749127
AR,man,7.664268563492113
AR,mch,2.8704934360853787
AR,dat,0.8066747715931841
AR,amd,0.7732293040032505
AR,oil,0.24875221585065
AR,hos,4.506673722954375
AR,rnt,1.394320303217051
AR,pla,3.4923863521334857
AR,fof,0.18387207390050309
AR,fin,0.14775326426648977
AR,tsv,4.73008718559685
AR,nrs,1.036211430632421
AR,sec,0.5300738324706907
AR,art,0.3528591046654171
AR,mov,0.06487521231711736
AR,fpd,0.31192933094166386
AR,slg,5.244370462136166
AR,pri,0.3139007822444272
AR,grd,0.12955826105818907
AR,sle,0.306729011892485
AR,osv,4.644283735845674
AR,trn,1.0672686691884457
AR,smn,0.19022913573987854
AR,fmt,3.487311104751534
AR,pet,0.9170841949781435
AR,mvt,1.5412029673550356
AR,cep,0.10861192159964086
AR,wst,0.8896237491006311
AR,mot,1.2886477817006612
AR,adm,3.8688730805272344
AR,soc,1.270571219430761
AR,alt,0.10367933668214456
AR,pmt,9.589477586001658
AR,trk,6.30805085764636
AR,fdd,2.2241753520601772
AR,gmt,1.0607138771973692
AR,wpd,4.331121524012972
AR,wht,11.52196474015105
AR,wrh,0.6851083298514693
AR,ott,5.938366860287194
AR,che,1.6674334580090653
AR,air,0.06877354660349555
AR,mmf,0.4001096174505949
AR,otr,1.388249377478309
AR,min,0.27385079939030055
AZ,ppd,0.40974776069885954
AZ,res,11.281686191975824
AZ,com,4.853295004706169
AZ,amb,17.599271128788956
AZ,fbp,3.3238369327383905
AZ,rec,1.8055580462642262
AZ,con,29.15017045662286
AZ,agr,1.3486426505806863
AZ,eec,0.2732488445339154
AZ,fnd,6.576478258159643
AZ,pub,2.2269313772586448
AZ,hou,29.20916227987682
AZ,fbt,3.452670093649973
AZ,ins,11.064444465556285
AZ,tex,0.19797941471088215
AZ,leg,2.2830018231013014
AZ,fen,0.8299329381834402
AZ,uti,2.9014490547600484
AZ,nmp,0.9556023625783142
AZ,brd,6.495409429017514
AZ,bnk,14.61392189496341
AZ,ore,21.006916259948312
AZ,edu,4.040485821782762
AZ,ote,10.035260463241737
AZ,man,4.522831400954349
AZ,mch,0.863429647782302
AZ,dat,2.971109097460729
AZ,amd,2.177787779574657
AZ,hos,13.181470559635912
AZ,rnt,4.838181462921252
AZ,pla,1.5651632187368705
AZ,fof,0.44457892037921104
AZ,fin,1.9926313575721615
AZ,tsv,18.943130706387393
AZ,nrs,2.7748340519255197
AZ,sec,3.2898921938971517
AZ,art,1.3619120963481026
AZ,mov,0.31482903884040864
AZ,fpd,0.5594392495046339
AZ,slg,30.26818683691524
AZ,pri,0.7413299601334179
AZ,grd,1.04122673048038
AZ,sle,1.455234660995167
AZ,osv,12.24694357846105
AZ,trn,1.0102615689305485
AZ,smn,0.5278599321885236
AZ,fmt,2.842097431423329
AZ,pet,0.20349158050408533
AZ,mvt,4.220817522903207
AZ,cep,4.578013838719009
AZ,wst,1.7142965467377067
AZ,mot,3.0225332683191986
AZ,adm,20.809972742317584
AZ,soc,2.7435320411397823
AZ,alt,0.1503291648517857
AZ,pmt,2.036108259992207
AZ,trk,3.7499600661678185
AZ,fdd,8.30376911156299
AZ,gmt,2.91949967236693
AZ,wpd,0.5072815650900108
AZ,wht,16.641311741833977
AZ,wrh,2.6226446733488165
AZ,ott,16.38402937907862
AZ,che,1.0533370523531305
AZ,air,2.6194886907289305
AZ,mmf,2.43304800309912
AZ,otr,3.8747034494160735
AZ,min,5.997887315607027
CA,ppd,2.844594210049361
CA,res,45.28595092617937
CA,com,56.2215254699516
CA,amb,56.58989716153511
CA,fbp,21.014018215454932
CA,rec,18.061178222445392
CA,con,78.65347630652313
CA,agr,27.223228952227238
CA,eec,1.9157965053408201
CA,fnd,26.938611133131438
CA,pub,41.96922767882988
CA,hou,116.33178641924206
CA,fbt,8.467726815526294
CA,ins,22.479115160420974
CA,tex,0.7665249548194188
CA,leg,14.883307304871778
CA,fen,3.0027495653210696
CA,uti,8.478412940099338
CA,nmp,2.0536402250635035
CA,brd,42.98171882426602
CA,bnk,33.72014349152863
CA,ore,78.14276968909402
CA,edu,15.197086941776888
CA,ote,15.014367607255178
CA,man,22.423586598271044
CA,mch,5.313353159797629
CA,dat,110.18842965612929
CA,amd,7.5982996109405825
CA,oil,2.2352193921783807
CA,hos,36.52344180563575
CA,rnt,14.722886162140949
CA,pla,3.952932451936041
CA,fof,14.430208700385784
CA,fin,9.136763082141023
CA,tsv,217.44651421877452
CA,nrs,7.251136592561021
CA,sec,21.223075922575603
CA,art,9.146391354733806
CA,mov,39.83026529674365
CA,fpd,1.265988893238616
CA,slg,99.52750482018155
CA,pri,2.8056762068067482
CA,grd,15.08873399820962
CA,sle,4.3874003520266704
CA,osv,37.86931163490395
CA,smn,0.8150101251471629
CA,fmt,9.332743543140026
CA,pet,37.91711017170879
CA,mvt,10.295258625086404
CA,cep,87.27712897729396
CA,wst,5.794320619991619
CA,mot,14.512963903950276
CA,adm,46.19937184830466
CA,soc,8.737309966548509
CA,alt,3.2019859338133596
CA,pmt,2.933881327455643
CA,trk,11.103671171073328
CA,fdd,19.66949174473711
CA,gmt,7.1619217646743
CA,wtt,0.4141446214136657
CA,wpd,2.505379311663001
CA,wht,73.13183478272187
CA,wrh,9.649347003192702
CA,ott,41.61573209414102
CA,che,60.54183585104495
CA,air,4.368582088775118
CA,mmf,8.934325784035572
CA,otr,25.00329906720838
CA,min,1.0524504044641931
CO,ppd,0.28111389570929984
CO,res,13.850376220312514
CO,com,10.446143599366788
CO,amb,13.472685807343264
CO,fbp,5.374994830911193
CO,rec,2.1633863848140087
CO,con,30.267011636494402
CO,agr,2.6380182703411803
CO,eec,0.32980760822514266
CO,fnd,6.245884801892691
CO,pub,5.880477670765072
CO,hou,29.332863325008248
