r,s,value
AL,ppd,0.009964383715642039
AL,res,0.0051184134690044686
AL,com,0.0039885804812040005
AL,amb,0.007610579155737594
AL,fbp,0.0073852937469549304
AL,rec,0.027744696444229236
AL,con,0.005369684867155419
AL,agr,0.022023271877158492
AL,eec,0.009131522013992302
AL,pub,0.011543215592802704
AL,hou,0.11821964299551649
AL,fbt,0.012325868703937747
AL,ins,0.006689957194655068
AL,tex,0.013218809716120645
AL,leg,0.0037403768557777287
AL,uti,0.06692969034350915
AL,nmp,0.011431719578541423
AL,brd,0.004135735000997167
AL,bnk,0.01640381384926072
AL,ore,0.020647870728729912
AL,edu,0.02643251002857642
AL,ote,0.01185659035372996
AL,man,0.013493366987812398
AL,mch,0.010239038536157005
AL,dat,0.00707488408553667
AL,amd,0.030619895214070256
AL,oil,0.06535223583244111
AL,hos,0.013775239713991276
AL,rnt,0.02075752842947717
AL,pla,0.006741400322796694
AL,fof,0.02313797803255031
AL,fin,0.004059401204152343
AL,tsv,0.006401685870789181
AL,nrs,0.01438773974743324
AL,sec,0.007438970336112668
AL,art,0.01592277221546427
AL,mov,0.024866348620334183
AL,fpd,0.005834523825418231
AL,pri,0.010540540540540542
AL,grd,0.012819223808566258
AL,pip,0.06340951381268191
AL,osv,0.015213538123165301
AL,trn,0.01873704353372668
AL,smn,0.028065933494527212
AL,fmt,0.008581501066889322
AL,pet,0.006708718046484415
AL,mvt,0.00871390424786676
AL,cep,0.024536149189888803
AL,wst,0.015992775162487732
AL,mot,0.0060288476476141545
AL,adm,0.00402454657302123
AL,soc,0.004983923411057945
AL,alt,0.017226341037941562
AL,pmt,0.009911456224401677
AL,trk,0.009952407817269164
AL,gmt,0.010919638286981745
AL,wtt,0.02411757316919985
AL,wpd,0.004717561383653987
AL,wht,0.006745265637997691
AL,wrh,0.005934718100890208
AL,ott,0.01265103928844139
AL,che,0.01817486258867742
AL,air,0.023724731769102756
AL,mmf,0.010472673136934924
AL,otr,0.007593705823995773
AL,min,0.02821708450054963
AK,ppd,0.009964383715642039
AK,res,0.0051184134690044686
AK,com,0.0039885804812040005
AK,amb,0.007610579155737594
AK,fbp,0.0073852937469549304
AK,rec,0.027744696444229236
AK,con,0.005369684867155419
AK,agr,0.022023271877158492
AK,eec,0.009131522013992302
AK,pub,0.011543215592802704
AK,hou,0.11821964299551649
AK,fbt,0.012325868703937747
AK,ins,0.006689957194655068
AK,tex,0.013218809716120645
AK,leg,0.0037403768557777287
AK,uti,0.06692969034350915
AK,nmp,0.011431719578541423
AK,brd,0.004135735000997167
AK,bnk,0.01640381384926072
AK,ore,0.020647870728729912
AK,edu,0.02643251002857642
AK,ote,0.01185659035372996
AK,man,0.013493366987812398
AK,mch,0.010239038536157005
AK,dat,0.00707488408553667
AK,amd,0.030619895214070256
AK,oil,0.06535223583244111
AK,hos,0.013775239713991276
AK,rnt,0.02075752842947717
AK,pla,0.006741400322796694
AK,fof,0.02313797803255031
AK,fin,0.004059401204152343
AK,tsv,0.006401685870789181
AK,nrs,0.01438773974743324
AK,sec,0.007438970336112668
AK,art,0.01592277221546427
AK,mov,0.024866348620334183
AK,fpd,0.005834523825418231
AK,pri,0.010540540540540542
AK,grd,0.012819223808566258
AK,pip,0.06340951381268191
AK,osv,0.015213538123165301
AK,trn,0.01873704353372668
AK,smn,0.028065933494527212
AK,fmt,0.008581501066889322
AK,pet,0.006708718046484415
AK,mvt,0.00871390424786676
AK,cep,0.024536149189888803
AK,wst,0.015992775162487732
AK,mot,0.0060288476476141545
AK,adm,0.00402454657302123
AK,soc,0.004983923411057945
AK,alt,0.017226341037941562
AK,pmt,0.009911456224401677
AK,trk,0.009952407817269164
AK,gmt,0.010919638286981745
AK,wtt,0.02411757316919985
AK,wpd,0.004717561383653987
AK,wht,0.006745265637997691
AK,wrh,0.005934718100890208
AK,ott,0.01265103928844139
AK,che,0.01817486258867742
AK,air,0.023724731769102756
AK,mmf,0.010472673136934924
AK,otr,0.007593705823995773
AK,min,0.02821708450054963
AR,ppd,0.009964383715642039
AR,res,0.0051184134690044686
AR,com,0.0039885804812040005
AR,amb,0.007610579155737594
AR,fbp,0.0073852937469549304
AR,rec,0.027744696444229236
AR,con,0.005369684867155419
AR,agr,0.022023271877158492
AR,eec,0.009131522013992302
AR,pub,0.011543215592802704
AR,hou,0.11821964299551649
AR,fbt,0.012325868703937747
AR,ins,0.006689957194655068
AR,tex,0.013218809716120645
AR,leg,0.0037403768557777287
AR,uti,0.06692969034350915
AR,nmp,0.011431719578541423
AR,brd,0.004135735000997167
AR,bnk,0.01640381384926072
AR,ore,0.020647870728729912
AR,edu,0.02643251002857642
AR,ote,0.01185659035372996
AR,man,0.013493366987812398
AR,mch,0.010239038536157005
AR,dat,0.00707488408553667
AR,amd,0.030619895214070256
AR,oil,0.06535223583244111
AR,hos,0.013775239713991276
AR,rnt,0.02075752842947717
AR,pla,0.006741400322796694
AR,fof,0.02313797803255031
AR,fin,0.004059401204152343
AR,tsv,0.006401685870789181
AR,nrs,0.01438773974743324
AR,sec,0.007438970336112668
AR,art,0.01592277221546427
AR,mov,0.024866348620334183
AR,fpd,0.005834523825418231
AR,pri,0.010540540540540542
AR,grd,0.012819223808566258
AR,pip,0.06340951381268191
AR,osv,0.015213538123165301
AR,trn,0.01873704353372668
AR,smn,0.028065933494527212
AR,fmt,0.008581501066889322
AR,pet,0.006708718046484415
AR,mvt,0.00871390424786676
AR,cep,0.024536149189888803
AR,wst,0.015992775162487732
AR,mot,0.0060288476476141545
AR,adm,0.00402454657302123
AR,soc,0.004983923411057945
AR,alt,0.017226341037941562
AR,pmt,0.009911456224401677
AR,trk,0.009952407817269164
AR,gmt,0.010919638286981745
AR,wtt,0.02411757316919985
AR,wpd,0.004717561383653987
AR,wht,0.006745265637997691
AR,wrh,0.005934718100890208
AR,ott,0.01265103928844139
AR,che,0.01817486258867742
AR,air,0.023724731769102756
AR,mmf,0.010472673136934924
AR,otr,0.007593705823995773
AR,min,0.02821708450054963
AZ,ppd,0.009964383715642039
AZ,res,0.0051184134690044686
AZ,com,0.0039885804812040005
