r,g,value
AL,ppd,1.8588791619
AL,res,9.6225839515
AL,com,4.0075905798
AL,amb,9.911218365
AL,fbp,7.7455024148
AL,rec,1.3194291576
AL,con,15.2827374579
AL,agr,2.3705581108
AL,eec,0.9675147006
AL,fnd,2.4233560938
AL,pub,2.5347515236
AL,hou,19.3864230829
AL,ins,7.7409292406
AL,tex,0.5174684653
AL,leg,2.6844426669
AL,fen,0.4845242073
AL,uti,0.934289893
AL,nmp,0.9984364391
AL,brd,6.8215060191
AL,bnk,6.4257161527
AL,ore,10.0964191704
AL,edu,3.4091183087
AL,ote,3.1816576112
AL,man,5.4651018268
AL,mch,1.970161037
AL,dat,4.5841544808
AL,amd,1.0963646962
AL,oil,2.493364545
AL,hos,10.0668885094
AL,rnt,2.9858970028
AL,pla,2.6545719478
AL,fof,0.6367195855
AL,fin,1.5141307373
AL,tsv,16.571252143
AL,nrs,2.4212922276
AL,sec,4.4236821859
AL,art,1.0772625517
AL,mov,0.7177082393
AL,fpd,0.5207681513
AL,slg,10.2775793167
AL,pri,0.5927036442
AL,grd,0.9655072102
AL,pip,0.0002383609
AL,sle,0.8672894612
AL,osv,7.1561588347
AL,trn,0.098666337
AL,smn,0.0421849769
AL,fmt,2.8823174786
AL,pet,4.5070346105
AL,cep,1.6148949434
AL,wst,1.2528505599
AL,mot,5.7155687595
AL,adm,7.7293129821
AL,soc,2.3857100575
AL,alt,0.159151167
AL,pmt,3.7391077758
AL,trk,0.4995654877
AL,fdd,3.3706014548
AL,wtt,0.0667575846
AL,wpd,1.7213479372
AL,wht,0.835469837
AL,wrh,1.3925474822
AL,ott,0.1269151427
AL,che,5.3171567009
AL,air,1.3093531106
AL,mmf,0.9980240816
AL,otr,2.534826858
AL,min,0.5424830248
AK,ppd,0.351380929
AK,res,1.6808809559
AK,com,1.4009967742
AK,amb,2.2935810763
AK,fbp,0.9373873441
AK,rec,0.3921483164
AK,con,5.6468520457
AK,agr,0.8532724877
AK,eec,0.2135649332
AK,fnd,2.6671115195
AK,pub,0.6348202773
AK,hou,3.5203728431
AK,ins,1.7017350009
AK,tex,0.0601725678
AK,leg,0.6728676054
AK,fen,0.1139387277
AK,uti,0.2292949692
AK,nmp,0.2989130568
AK,brd,1.707533644
AK,bnk,2.0662388422
AK,ore,2.003872661
AK,edu,0.6599617409
AK,ote,0.8017979006
AK,man,1.9733039222
AK,mch,0.4960559546
AK,dat,1.2553297753
AK,amd,0.3104534962
AK,oil,0.0710034031
AK,hos,2.1797350469
AK,rnt,0.9894868128
AK,pla,0.5414693753
AK,fof,1.6466502736
AK,fin,0.1915866394
AK,tsv,5.0789663557
AK,nrs,0.4934310735
AK,sec,1.0700390231
AK,art,0.2964644481
AK,mov,0.2038410549
AK,fpd,0.1243510722
AK,slg,8.8227848961
AK,pri,0.1579505533
AK,grd,0.2545834434
AK,pip,0.0041762946
AK,sle,0.2423457594
AK,osv,1.7311409116
AK,trn,0.0313168377
AK,smn,0.0532227326
AK,fmt,0.8777800494
AK,pet,0.1543785444
AK,cep,0.3688303363
AK,wst,0.3755688388
AK,mot,1.0076951276
AK,adm,2.2989409972
AK,soc,0.6844716106
AK,alt,0.0212800301
AK,pmt,0.4350461605
AK,trk,0.108371755
AK,fdd,3.6097014884
AK,wtt,0.0202526529
AK,wpd,0.1974636845
AK,wht,0.0933427838
AK,wrh,0.3261878402
AK,ott,0.0142403832
AK,che,1.2687052216
AK,air,0.2403248329
AK,mmf,0.2409909195
AK,otr,0.6827991484
AK,min,0.1168674895
AR,ppd,0.5453778121
AR,res,4.8043389341
AR,com,1.9599417947
AR,amb,6.2314227722
AR,fbp,4.0674535624
AR,rec,0.8307851356
AR,con,9.5533539267
AR,agr,1.6527139591
AR,eec,0.528656175
AR,fnd,1.8176140414
AR,pub,1.2836319516
AR,hou,11.3087429279
AR,ins,5.3734703449
AR,tex,0.2703763958
AR,leg,1.6540125472
AR,fen,0.3153132707
AR,uti,0.5317473722
AR,nmp,0.3830306181
AR,brd,3.0336413006
AR,bnk,4.6223706476
AR,ore,6.4509661609
AR,edu,2.2540365014
AR,ote,0.6912861711
AR,man,2.5133942116
AR,mch,1.4122737693
AR,dat,2.1071832451
AR,amd,0.5683532888
AR,oil,0.6753338475
AR,hos,6.6179840328
AR,rnt,2.0120535745
AR,pla,1.0651601678
AR,fof,0.3378379279
AR,fin,1.3590913123
AR,tsv,9.7979503044
AR,nrs,1.3367496291
AR,sec,3.3040448596
AR,art,0.5654170067
AR,mov,0.3348250356
AR,fpd,0.2706344598
AR,slg,9.51250744
AR,pri,0.2539495455
AR,grd,0.437824779
AR,pip,0.0001810971
AR,sle,0.6650667013
AR,osv,3.424996633
AR,trn,0.0900651823
AR,smn,0.1895074395
AR,fmt,1.771578431
AR,pet,2.3136396148
AR,cep,0.781314036
AR,wst,0.5509105708
AR,mot,2.8665475082
AR,adm,3.8711724856
AR,soc,1.3437511444
AR,alt,0.1078057521
AR,pmt,2.7817543344
AR,trk,0.3466272344
AR,fdd,2.7505607191
AR,wtt,0.045949784
AR,wpd,0.8051740585
AR,wht,0.5236384361
AR,wrh,0.9037334489
AR,ott,0.0638444791
AR,che,3.5318872504
AR,air,0.7156371573
AR,mmf,0.5700770351
AR,otr,2.1318742734
AR,min,0.5364104066
AZ,ppd,2.2754982367
AZ,res,14.1471863283
AZ,com,5.3529891934
AZ,amb,13.2781603628
AZ,fbp,12.8560836189
AZ,rec,3.4216756635
AZ,con,24.1261914733
AZ,agr,3.5045408182
AZ,eec,1.6036102119
AZ,fnd,3.3968909601
AZ,pub,3.5876018796
AZ,hou,31.2422011753
AZ,ins,11.1302414917
AZ,tex,0.6315757002
AZ,leg,4.516057825
AZ,fen,0.7100371574
AZ,uti,1.445245463
AZ,nmp,0.8705934528
AZ,brd,8.329538584
AZ,bnk,10.3797790929
AZ,ore,17.1169862671
AZ,edu,5.1477247893
AZ,ote,4.7053297881
AZ,man,7.6251289962
AZ,mch,2.6275151504
AZ,dat,6.2808824394
AZ,amd,2.2326268665
AZ,oil,1.1854496125
AZ,hos,12.7425992337
AZ,rnt,4.6487072935
AZ,pla,3.3709347856
AZ,fof,0.1279514631
AZ,fin,1.6691617923
AZ,tsv,22.3074434289
AZ,nrs,2.6997572741
AZ,sec,7.8517081527
AZ,art,2.1447279077
AZ,mov,1.3980029044
AZ,fpd,0.893545058
AZ,slg,14.4063913523
AZ,pri,0.6305967209
AZ,grd,1.3722563565
AZ,pip,1.30517e-05
AZ,sle,1.0679422281
AZ,osv,9.8898244245
AZ,trn,0.1153670424
AZ,smn,0.0350151975
AZ,fmt,2.6796318292
AZ,pet,10.2109808654
AZ,cep,2.7988121126
AZ,wst,1.8230811659
AZ,mot,6.8860337877
AZ,adm,11.5981964525
AZ,soc,3.0742867728
AZ,alt,0.2752366095
AZ,pmt,1.4999518779
AZ,trk,0.724646808
AZ,fdd,4.724673209
AZ,wtt,0.2189025751
AZ,wpd,1.9570417745
AZ,wht,0.9332904565
AZ,wrh,1.6919743088
AZ,ott,0.1631194466
AZ,che,9.2664905185
AZ,air,1.7904851136
AZ,mmf,1.7696272003
AZ,otr,3.6779234447
AZ,min,0.1689389511
CA,ppd,13.3273132405
CA,res,46.7294579919
