r,m,s,value
AL,trn,ppd,0.2924545569400582
AL,trn,fbp,0.423333122123261
AL,trn,agr,0.9178594975983935
AL,trn,eec,0.14006279851411174
AL,trn,pub,0.06678744415630608
AL,trn,tex,0.0952527753976367
AL,trn,nmp,0.4592238869167015
AL,trn,ote,0.112130952986137
AL,trn,mch,0.20294525194975097
AL,trn,oil,0.7503866392756111
AL,trn,pla,0.11099473812329347
AL,trn,fof,0.1290849132983009
AL,trn,mov,0.0009019393928638161
AL,trn,fpd,0.29027725065906856
AL,trn,pri,0.04038507472134954
AL,trn,fmt,0.21950699975233423
AL,trn,pet,0.5279601589784412
AL,trn,cep,0.12814003546041736
AL,trn,mot,0.4613503374651981
AL,trn,alt,0.12221131087525271
AL,trn,pmt,0.4938072285730988
AL,trn,wpd,0.30803174694441865
AL,trn,che,0.5584533991342454
AL,trn,mmf,0.26394204563252727
AL,trn,min,0.6356024607270687
AL,trd,ppd,1.3927458218646425
AL,trd,fbp,8.870351237298046
AL,trd,agr,1.9814643753895322
AL,trd,eec,1.5260876124367615
AL,trd,pub,1.2014938730396316
AL,trd,tex,1.43113613756011
AL,trd,nmp,0.8542969169054511
AL,trd,ote,0.7080559207028961
AL,trd,mch,2.2709714344296654
AL,trd,oil,0.2565188740729024
AL,trd,pla,1.8466409766325358
AL,trd,fof,0.29404051800060693
AL,trd,mov,0.056232402406567246
AL,trd,fpd,1.5218684346025195
AL,trd,pri,0.1576108509385277
AL,trd,fmt,2.2184420565261873
AL,trd,pet,2.6667575285888456
AL,trd,cep,2.8717991260357256
AL,trd,mot,7.582206225838077
AL,trd,alt,4.0685221084719245
AL,trd,pmt,1.3733937317073877
AL,trd,wpd,1.3759246510344219
AL,trd,che,6.903207649057693
AL,trd,mmf,3.4024056872854316
AL,trd,min,0.20741076852455356
AK,trn,ppd,0.031870710471884695
AK,trn,fbp,0.09174008049703289
AK,trn,agr,0.1730968455286015
AK,trn,eec,0.024357581507725084
AK,trn,pub,0.014674406070365959
AK,trn,tex,0.009078014945544931
AK,trn,nmp,0.08066272391065352
AK,trn,ote,0.019187418997893207
AK,trn,mch,0.04096490398031436
AK,trn,oil,0.35831002680263013
AK,trn,pla,0.018124997567538003
AK,trn,fof,0.01611969996000591
AK,trn,mov,0.00024958843137925894
AK,trn,fpd,0.03896203754088809
AK,trn,pri,0.009956519222651228
AK,trn,fmt,0.04164854174702541
AK,trn,pet,0.16996592936035948
AK,trn,cep,0.0265992261733646
AK,trn,mot,0.03507354478234817
AK,trn,alt,0.01539959224883907
AK,trn,pmt,0.014548730240464155
AK,trn,wpd,0.025289540608647295
AK,trn,che,0.0954417507350699
AK,trn,mmf,0.04999209244449624
AK,trn,min,0.13760398298986426
AK,trd,ppd,0.15177673862908173
AK,trd,fbp,1.9222845887067992
AK,trd,agr,0.37367945072710984
AK,trd,eec,0.2653938362092117
AK,trd,pub,0.26398987424607917
AK,trd,tex,0.13639366613355883
AK,trd,nmp,0.15005734307232688
AK,trd,ote,0.12115981593543715
AK,trd,mch,0.45840011461062496
AK,trd,oil,0.12248790134799178
AK,trd,pla,0.30154909841222993
AK,trd,fof,0.036718814036007796
AK,trd,mov,0.015560864976502388
AK,trd,fpd,0.20427055494926888
AK,trd,pri,0.0388573124575224
AK,trd,fmt,0.4209199556680893
AK,trd,pet,0.8585078135485732
AK,trd,cep,0.5961262161620933
AK,trd,mot,0.5764271270983771
AK,trd,alt,0.5126659805638475
AK,trd,pmt,0.04046343139668592
AK,trd,wpd,0.11296401322897594
AK,trd,che,1.1797837111121454
AK,trd,mmf,0.6444345736763183
AK,trd,min,0.044903142494633626
AR,trn,ppd,0.15911034402015253
AR,trn,fbp,0.28187572429723695
AR,trn,agr,1.0151071107373941
AR,trn,eec,0.08431653635529679
AR,trn,pub,0.03163819485252412
AR,trn,tex,0.04333404333516338
AR,trn,nmp,0.20624740277896075
AR,trn,ote,0.03697229044725069
AR,trn,mch,0.17474938944645116
AR,trn,oil,0.23815802254391097
AR,trn,pla,0.05847522281447306
AR,trn,fof,0.10538724628845188
AR,trn,mov,0.0004163212612818671
AR,trn,fpd,0.14868715234295324
AR,trn,pri,0.021052863475714122
AR,trn,fmt,0.11759840555380505
AR,trn,pet,0.2510441732159828
AR,trn,cep,0.059059522981938936
AR,trn,mot,0.11157277869758689
AR,trn,alt,0.07609689829635048
AR,trn,pmt,0.32021577565248144
AR,trn,wpd,0.19076215461992221
AR,trn,che,0.29678047575054967
AR,trn,mmf,0.13010761921706634
AR,trn,min,0.34947625964637485
AR,trd,ppd,0.757725470815395
AR,trd,fbp,5.906310064385325
AR,trd,agr,2.1914013881140058
AR,trd,eec,0.918690923074966
AR,trd,pub,0.5691653236554125
AR,trd,tex,0.6510772535987107
