r,q,h,value
MO,KS,hh3,1.671048616743099
MO,KS,hh4,1.67788769359112
MO,KS,hh5,1.67788769359112
MO,MO,hh1,1.0898345374016232
MO,MO,hh2,11.728209872527776
MO,MO,hh3,18.395256119997434
MO,MO,hh4,75.36077196896966
MO,MO,hh5,81.32799936086958
MT,MT,hh1,0.38320674756266115
MT,MT,hh2,2.484638726680499
MT,MT,hh3,3.6353919884951433
MT,MT,hh4,11.957816593889147
MT,MT,hh5,14.17317904757596
NE,IA,hh1,0.1480278793222335
NE,IA,hh2,0.0732716836469287
NE,IA,hh3,0.29979263938379985
NE,IA,hh4,0.2997921211639804
NE,IA,hh5,0.29979208402982543
NE,NE,hh1,0.44058695128434483
NE,NE,hh2,3.545989569604341
NE,NE,hh3,5.842167936053306
NE,NE,hh4,20.020717031218073
NE,NE,hh5,36.71245942327957
NV,NV,hh1,1.5262128024243549
NV,NV,hh2,8.436892734618285
NV,NV,hh3,15.903954920370522
NV,NV,hh4,45.12401706931543
NV,NV,hh5,60.02010012427251
NH,MA,hh1,0.1282156025067132
NH,MA,hh2,0.8749754286012008
NH,MA,hh3,1.5108219017666749
NH,MA,hh4,1.602695031333915
NH,MA,hh5,1.602695031333915
NH,NH,hh1,0.19213790204985942
NH,NH,hh2,1.4330735342432661
NH,NH,hh3,2.4744912027370747
NH,NH,hh4,13.956948320637451
NH,NH,hh5,31.09126134063011
NJ,NJ,hh1,1.6798514302673464
NJ,NJ,hh2,9.56739192245686
NJ,NJ,hh3,15.686033178731497
NJ,NJ,hh4,66.58342873547456
NJ,NJ,hh5,238.16352420769948
NJ,NY,hh1,1.1560806379927633
NJ,NY,hh2,7.644116403298384
NJ,NY,hh3,9.848102467659452
NJ,NY,hh4,9.848102467659452
NJ,NY,hh5,9.848102467659452
NJ,PA,hh1,0.225710818035268
NJ,PA,hh2,0.225710818035268
NJ,PA,hh3,2.1365294490206295
NJ,PA,hh4,2.82138522544085
NJ,PA,hh5,2.82138522544085
NM,NM,hh1,0.9447227806706648
NM,NM,hh2,6.0210040163474146
NM,NM,hh3,8.593587931604231
NM,NM,hh4,22.190030645549296
NM,NM,hh5,25.925892714877634
NM,TX,hh1,0.2597244163053025
NM,TX,hh2,0.058599804730456284
NM,TX,hh3,0.09313788691874164
NM,TX,hh4,0.14152215789731148
NM,TX,hh5,0.2597244163053025
NY,CT,hh1,0.05328967172351741
NY,CT,hh2,0.05328967172351741
NY,CT,hh3,0.5311169507936635
NY,CT,hh4,0.5510221637111431
NY,CT,hh5,0.5570719366309772
NY,NJ,hh1,0.16369001929598223
NY,NJ,hh2,0.3468149420656798
NY,NJ,hh3,1.6655640606214357
NY,NJ,hh4,1.685469273538912
NY,NJ,hh5,1.6915190464587493
NY,NY,hh1,6.217586761311311
NY,NY,hh2,36.36914087961069
NY,NY,hh3,58.17150543820706
NY,NY,hh4,226.03987376441563
NY,NY,hh5,558.5807407392542
NY,PA,hh1,0.023795752550479003
NY,PA,hh2,0.023795752550479003
NY,PA,hh3,0.25355339442339064
NY,PA,hh4,0.27345860734086846
NY,PA,hh5,0.27950838026070646
NC,NC,hh1,3.566146416427117
NC,NC,hh2,25.639978307394152
NC,NC,hh3,40.86085563320471
NC,NC,hh4,125.86606838772421
NC,NC,hh5,208.56373068905043
NC,SC,hh1,0.6558184567682784
NC,SC,hh2,0.0630959050712728
NC,SC,hh3,0.6658353824967719
NC,SC,hh4,0.7160340249065998
NC,SC,hh5,0.7222373814364363
NC,VA,hh1,0.508700697251485
NC,VA,hh2,0.3000093611050301
NC,VA,hh3,0.508700697251485
NC,VA,hh4,0.508700697251485
NC,VA,hh5,0.508700697251485
ND,ND,hh1,0.2898091013126246
ND,ND,hh2,1.888171683456938
ND,ND,hh3,3.626549379326546
ND,ND,hh4,10.858629436991185
ND,ND,hh5,13.211584931838674
OH,KY,hh1,0.48144564575491294
OH,KY,hh2,0.4700491915143783
OH,KY,hh3,0.4750125341385395
OH,KY,hh4,0.53291548237765
OH,KY,hh5,0.5422076851698338
OH,OH,hh1,3.6757765953848196
OH,OH,hh2,26.64198601237384
OH,OH,hh3,31.486905625057517
OH,OH,hh4,143.73845296288314
OH,OH,hh5,170.913476229835
OH,PA,hh1,0.18664901479741194
OH,PA,hh2,0.1752525605568763
OH,PA,hh3,0.18021590318103728
OH,PA,hh4,0.23811885142014752
OH,PA,hh5,0.24741105421232992
OH,WV,hh1,0.2972066830369184
OH,WV,hh2,0.2858102287963846
OH,WV,hh3,0.29077357142054655
OH,WV,hh4,0.348676519659653
OH,WV,hh5,0.3579687224518378
OK,OK,hh1,1.5895539860354424
OK,OK,hh2,9.80368915384322
OK,OK,hh3,15.028316929874384
OK,OK,hh4,40.186616673242305
OK,OK,hh5,46.080618496150095
OR,OR,hh1,0.5385160279360999
OR,OR,hh2,4.261484557532553
OR,OR,hh3,8.951612082450005
OR,OR,hh4,43.44142226306593
OR,OR,hh5,74.17737003566934
OR,WA,hh1,0.24678728925616047
OR,WA,hh2,0.4886198083308651
OR,WA,hh3,0.4886198083308651
OR,WA,hh4,0.4886198083308651
OR,WA,hh5,0.4886198083308651
PA,DE,hh1,0.19863117257418306
PA,DE,hh2,0.5766953126917925
PA,DE,hh3,0.5766953126917925
PA,DE,hh4,0.5766953126917925
PA,DE,hh5,0.5766953126917925
PA,MD,hh1,0.15795426339012877
PA,MD,hh2,1.0149746841718625
PA,MD,hh3,1.0149746841718625
PA,MD,hh4,1.0149746841718625
PA,MD,hh5,1.0149746841718625
PA,NJ,hh1,0.1688998772555848
PA,NJ,hh2,1.8950365355100416
PA,NJ,hh3,1.9646834181803745
PA,NJ,hh4,2.0372953133800156
PA,NJ,hh5,2.0464755072109293
PA,NY,hh1,0.6266165152250073
PA,NY,hh2,0.78171270187288
PA,NY,hh3,0.78171270187288
PA,NY,hh4,0.78171270187288
PA,NY,hh5,0.78171270187288
PA,PA,hh1,2.4340021002383185
PA,PA,hh2,15.52752125028387
PA,PA,hh3,33.156505964464905
PA,PA,hh4,112.36886691663412
PA,PA,hh5,249.25542705802775
RI,MA,hh1,0.09757128149848962
RI,MA,hh2,0.7408271775449682
RI,MA,hh3,1.2196410187311202
RI,MA,hh4,1.2196410187311202
RI,MA,hh5,1.2196410187311202
RI,RI,hh1,0.1430533597526343
RI,RI,hh2,1.3115072462035917
RI,RI,hh3,2.5225477185404994
RI,RI,hh4,9.275963870809417
RI,RI,hh5,24.39377305078416
SC,GA,hh1,0.1363654971475166
SC,GA,hh2,0.4036103370128875
SC,GA,hh3,0.4036103370128875
SC,GA,hh4,0.4036103370128875
SC,GA,hh5,0.4036103370128875
SC,NC,hh1,0.46982762532672484
SC,NC,hh2,1.117524090519125
SC,NC,hh3,1.117524090519125
SC,NC,hh4,1.117524090519125
SC,NC,hh5,1.117524090519125
SC,SC,hh1,1.277147641826893
SC,SC,hh2,9.068253891109437
SC,SC,hh3,18.756137150627648
SC,SC,hh4,53.76901172946611
SC,SC,hh5,70.07745826195357
SD,SD,hh1,0.32886771555559224
SD,SD,hh2,2.1620666274932088
SD,SD,hh3,3.9025684559158904
SD,SD,hh4,13.039757547108755
SD,SD,hh5,11.335623133872327
TN,KY,hh1,0.43135178570824506
TN,KY,hh2,0.306981392225685
TN,KY,hh3,0.43135178570824506
TN,KY,hh4,0.43135178570824506
TN,KY,hh5,0.43135178570824506
TN,MS,hh1,0.31031276112108
TN,MS,hh2,0.14784460873193978
TN,MS,hh3,0.31031276112108
TN,MS,hh4,0.31031276112108
TN,MS,hh5,0.31031276112108
TN,TN,hh1,2.156533513554113
TN,TN,hh2,14.15652605477093
TN,TN,hh3,24.158036197927565
TN,TN,hh4,78.41199550548613
TN,TN,hh5,90.68860103424343
TX,LA,hh1,0.03794450976177717
TX,LA,hh2,0.3589689817705762
TX,LA,hh3,0.3589690444399462
TX,LA,hh4,0.358969043160555
TX,LA,hh5,0.35896904264488033
TX,NM,hh1,0.23049320363001688
TX,NM,hh2,0.2646667945092125
TX,NM,hh3,0.2646667945092125
TX,NM,hh4,0.2646667945092125
TX,NM,hh5,0.2646667945092125
TX,OK,hh1,0.03616059207918998
TX,OK,hh2,0.25393656972154754
TX,OK,hh3,0.25393656972154754
TX,OK,hh4,0.25393656972154754
TX,OK,hh5,0.25393656972154754
TX,TX,hh1,11.86831138254678
TX,TX,hh2,62.6222817991604
TX,TX,hh3,98.66434969064474
TX,TX,hh4,303.0909589074484
TX,TX,hh5,552.9616923012368
UT,UT,hh1,0.7233550055326217
UT,UT,hh2,4.488193796634144
UT,UT,hh3,9.568825348051488
UT,UT,hh4,35.42625411457866
UT,UT,hh5,66.73563136102294
VT,VT,hh1,0.17342620849456727
VT,VT,hh2,0.8814246933301084
VT,VT,hh3,1.556349499014003
VT,VT,hh4,7.508259930473182
VT,VT,hh5,10.83209744724467
VA,DC,hh1,2.5183209688393564
VA,DC,hh2,4.4713482046739
VA,DC,hh3,4.4713482046739
VA,DC,hh4,4.4713482046739
VA,DC,hh5,4.4713482046739
VA,MD,hh1,0.115866534210424
VA,MD,hh2,0.18079677498154245
VA,MD,hh3,1.4483316776303001
VA,MD,hh4,1.4483316776303001
VA,MD,hh5,1.4483316776303001
VA,NC,hh1,0.029497046599930403
VA,NC,hh2,0.12176523042068219
VA,NC,hh3,0.36871308249913004
VA,NC,hh4,0.36871308249913004
VA,NC,hh5,0.36871308249913004
VA,TN,hh1,0.020333063218609605
VA,TN,hh2,0.020333063218609605
VA,TN,hh3,0.19083885021194022
VA,TN,hh4,0.23315278273356593
VA,TN,hh5,0.25416329023262
VA,VA,hh1,1.363531036712637
VA,VA,hh2,13.109826642570903
VA,VA,hh3,27.435133505879648
VA,VA,hh4,113.46259711501317
VA,VA,hh5,281.62247201574337
WA,OR,hh1,0.6064042384781878
WA,OR,hh2,1.0784562523581125
WA,OR,hh3,0.1192645459025228
WA,OR,hh4,1.0538422929347784
WA,OR,hh5,1.0831116881119365
WA,WA,hh1,1.272526384030237
WA,WA,hh2,10.228848113362927
WA,WA,hh3,27.87644044151934
WA,WA,hh4,104.53478933272753
WA,WA,hh5,223.19801452213733
WV,MD,hh1,0.023819250676604405
WV,MD,hh2,0.297740633457555
WV,MD,hh3,0.297740633457555
WV,MD,hh4,0.297740633457555
WV,MD,hh5,0.297740633457555
WV,VA,hh1,0.34019027378039135
WV,VA,hh2,0.4181049517979175
WV,VA,hh3,0.4181049517979175
WV,VA,hh4,0.4181049517979175
WV,VA,hh5,0.4181049517979175
WV,WV,hh1,0.4691963578900854
WV,WV,hh2,2.95716477955414
WV,WV,hh3,3.9683312827715578
WV,WV,hh4,14.49556409049518
WV,WV,hh5,17.297820608314833
WI,IL,hh1,0.14242046973198186
WI,IL,hh2,0.633224571922635
WI,IL,hh3,0.633224571922635
WI,IL,hh4,0.633224571922635
WI,IL,hh5,0.633224571922635
WI,MN,hh1,0.31513464791909224
WI,MN,hh2,0.76193069095493
WI,MN,hh3,0.799070965972915
WI,MN,hh4,0.799070965972915
WI,MN,hh5,0.799070965972915
WI,WI,hh1,1.5546398216147963
WI,WI,hh2,9.092216727975739
WI,WI,hh3,18.06049527398
WI,WI,hh4,56.35646711061636
WI,WI,hh5,99.87709174382817
WY,WY,hh1,0.2246430197137017
WY,WY,hh2,1.3902163017392337
WY,WY,hh3,2.116339843916166
WY,WY,hh4,7.793728469699524
WY,WY,hh5,8.858504197327335
