r,g,m,value
AL,fbt,trd,2.2028861142409144
AL,pip,trn,0.545104395341375
AL,trn,trn,0.6133067857283905
AL,mvt,trd,2.6827599420459216
AL,trk,trn,3.1846551017594447
AL,gmt,trd,1.8693042590943472
AL,wtt,trn,0.1991984505062578
AL,wht,trd,17.19351485083467
AL,ott,trd,10.377789145341055
AL,air,trn,0.08264554229740147
AL,otr,trn,0.03967080463787061
AK,fbt,trd,0.3562081710975271
AK,pip,trn,0.10452681563764984
AK,trn,trn,0.20147301444506702
AK,mvt,trd,0.4338040928544234
AK,trk,trn,0.6106754220586337
AK,gmt,trd,0.30226776003182654
AK,wtt,trn,0.03819741665875484
AK,wht,trd,2.7802029529177013
AK,ott,trd,1.678095507343794
AK,air,trn,0.015847744829839524
AK,otr,trn,0.007607098599861869
AR,fbt,trd,1.1522564194582148
AR,pip,trn,0.323441239450484
AR,trn,trn,0.34222710051758315
AR,mvt,trd,1.4032624497036055
AR,trk,trn,1.7770474858341556
AR,gmt,trd,0.9777708518555238
AR,wtt,trn,0.18305587821445488
AR,wht,trd,8.993355458482757
AR,ott,trd,5.428276153360535
AR,air,trn,0.046116470532039176
AR,otr,trn,0.022136432797321783
AZ,fbt,trd,2.6090280818969176
AZ,pip,trn,0.762974515874149
AZ,trn,trn,0.6149678753376865
AZ,mvt,trd,3.177375344343599
AZ,trk,trn,3.193280471022956
AZ,gmt,trd,2.2139443678264037
AZ,wtt,trn,0.36228718777080304
AZ,wht,trd,20.363450830410702
AZ,ott,trd,12.291122601918909
AZ,air,trn,0.08286938076578204
AZ,otr,trn,0.039778249660345155
CA,fbt,trd,10.191009326162916
CA,pip,trn,7.036565984112821
CA,trn,trn,6.650144243987755
CA,mvt,trd,12.41100545893054
CA,trk,trn,13.309478367093334
CA,gmt,trd,8.64779028507834
CA,wtt,trn,0.8325006580168792
CA,wht,trd,79.54077564956415
CA,ott,trd,48.009810984516776
CA,air,trn,0.3453966040894838
CA,otr,trn,0.16579431657802401
CO,fbt,trd,2.37555221779445
CO,pip,trn,0.5462876181285784
CO,trn,trn,0.614638051024767
CO,mvt,trd,2.8930394035977502
CO,trk,trn,3.1915678262173452
CO,gmt,trd,2.01582362779311
CO,wtt,trn,0.37684254625548985
CO,wht,trd,18.54117290564358
CO,ott,trd,11.191218583949903
CO,air,trn,0.08282493562048379
CO,otr,trn,0.039756915482757164
CT,fbt,trd,1.8796331547466303
CT,pip,trn,0.3767766758711874
CT,trn,trn,0.5471186315467791
CT,mvt,trd,2.2890899809558602
CT,trk,trn,2.2012366315367804
CT,gmt,trd,1.5950013207621327
CT,wtt,trn,0.13768615821458652
CT,wht,trd,14.6705271558687
CT,ott,trd,8.854945530070857
CT,air,trn,0.057124677343475844
CT,otr,trn,0.027420497850198948
DE,fbt,trd,0.501549285863996
DE,pip,trn,0.12372311854208828
DE,trn,trn,0.13920311192101162
DE,mvt,trd,0.6108061258270365
DE,trk,trn,0.7228256899742946
DE,gmt,trd,0.4255999482453332
DE,wtt,trn,0.04521235513052811
DE,wht,trd,3.914589610048747
DE,ott,trd,2.3627970148091384
DE,air,trn,0.01875817607420502
DE,otr,trn,0.00900413885270087
DC,fbt,trd,0.977274910974689
DC,pip,trn,0.18684915413176315
DC,trn,trn,0.21022735299144651
DC,mvt,trd,1.1901631984424332
DC,trk,trn,1.1698747500260454
DC,gmt,trd,0.8292866987454478
DC,wtt,trn,0.06828061248367455
DC,wht,trd,7.6276256800417785
DC,ott,trd,4.603938849840205
DC,air,trn,0.028328976619899596
DC,otr,trn,0.013598232473745605
FL,fbt,trd,6.261944756061958
FL,pip,trn,2.5736160666305667
FL,trn,trn,2.087401727047676
FL,mvt,trd,7.626038605566478
FL,trk,trn,7.564129392763144
FL,gmt,trd,5.313701841891943
FL,wtt,trn,0.4731321936980897
FL,wht,trd,48.87444678253712
FL,ott,trd,29.500000884329936
FL,air,trn,0.19629804663219214
FL,otr,trn,0.09422530534942301
GA,fbt,trd,4.265653639719078
GA,pip,trn,1.1652737525615844
GA,trn,trn,1.0794682235054283
GA,mvt,trd,5.19487804535192
GA,trk,trn,5.605243680927093
GA,gmt,trd,3.619708011685318
GA,wtt,trn,0.6072190308255793
GA,wht,trd,33.29340483327685
GA,ott,trd,20.095480085821592
GA,air,trn,0.14546266045053635
GA,otr,trn,0.06982373912040472
