r,s,value
AL,ppd,1.1829032789496587
AL,res,0.012336160067617452
AL,com,0.3436894314042522
AL,amb,0.010034419215178985
AL,fbp,0.36012444456113074
AL,rec,9.081038578646234e-05
AL,con,0.0013462814234880638
AL,agr,0.7054751884994303
AL,eec,0.17696847173019217
AL,pub,0.14504915974093086
AL,ins,0.19635150149639846
AL,tex,0.19967291766814704
AL,leg,0.17189408774055798
AL,fen,0.013425110274104715
AL,uti,0.06925023834747816
AL,nmp,0.08320496979017102
AL,brd,0.06970050314617181
AL,bnk,0.7699356502017597
AL,ore,0.03028439072002244
AL,edu,0.03057248320347843
AL,ote,1.1904010769399054
AL,man,0.01619579819281206
AL,mch,1.0588935138090285
AL,dat,0.011282778502019229
AL,oil,0.0025739926154817083
AL,hos,0.07180364137155267
AL,rnt,0.8021283938812125
AL,pla,0.35984665378557873
AL,fof,0.02804338359043505
AL,tsv,1.7119026726181126
AL,nrs,0.001699870988287169
AL,sec,0.2815509920608761
AL,art,0.005865677503960111
AL,mov,0.031326505414181825
AL,fpd,0.021025455581311095
AL,pri,0.00261775077925129
AL,pip,0.0018656238142342337
AL,osv,0.0011372323446049947
AL,trn,0.023198129016405424
AL,smn,0.003751966548759635
AL,fmt,0.2645574273219305
AL,pet,0.3597300425916695
AL,cep,0.24674708534936493
AL,wst,0.004918955310074765
AL,mot,8.10598172117657
AL,adm,0.04214389990321761
AL,alt,0.012057793157626472
AL,pmt,0.610550381751945
AL,trk,0.02545407344414922
AL,wtt,0.02926874735888921
AL,wpd,0.2763152884819347
AL,wht,0.03724811066486258
AL,wrh,0.002260440294880104
AL,che,2.152292647221345
AL,air,0.03152927465541883
AL,mmf,0.14641060124257999
AL,otr,0.14295229617002791
AL,min,0.8590392771654372
AK,ppd,0.0030033402462802876
AK,res,0.006138411047081167
AK,com,0.01885980616265239
AK,amb,0.0023027318671721996
AK,fbp,0.02607301114141256
AK,rec,2.70979020979021e-05
AK,con,0.0003084982612436015
AK,agr,0.009503919986062011
AK,eec,0.004924321520561084
AK,pub,0.0002671456136594962
AK,ins,0.012928302707111684
AK,tex,0.0010765845390860425
AK,leg,0.011455341593616563
AK,fen,0.003744494476292007
AK,uti,0.009695332578447801
AK,nmp,0.00038772337326973085
AK,brd,0.025093498917089476
AK,bnk,0.07520272281637849
AK,ore,0.005611666978128288
AK,edu,0.004582353008165263
AK,ote,0.2616682019213402
AK,man,0.002831644744181237
AK,mch,0.016764954353804064
AK,dat,0.0015229778994390033
AK,oil,0.4815303018151374
AK,hos,0.02257038018028305
AK,rnt,0.23198463678653114
AK,pla,0.001281536884430738
AK,fof,2.0327660707400534
AK,tsv,0.26804620017727265
AK,nrs,0.0005343285344616952
AK,sec,0.03270499868436064
AK,art,0.0018655346802046266
AK,mov,0.006759825165759159
AK,fpd,0.0001961466802200604
AK,pri,6.17361909180202e-05
AK,pip,0.03698175812462027
AK,osv,0.00017823743731458183
AK,smn,0.03701467825435125
AK,fmt,0.0053855305887701
AK,pet,0.09504929141197101
AK,cep,0.009408839583511424
AK,wst,0.0014314734920894724
AK,mot,0.0018501656761226253
AK,adm,0.005514472221660838
AK,alt,0.00019369883167652692
AK,pmt,0.2563360027301474
AK,trk,0.002905764634361443
AK,wtt,0.10871249019015992
AK,wpd,0.0014007047982736328
AK,wht,0.0036776533094923874
AK,wrh,4.86552171095269e-05
AK,che,0.0046488507851727015
AK,air,0.17815790662575334
AK,mmf,0.004717074621470898
AK,otr,0.08300556153698796
AK,min,2.510867137230932
AR,ppd,0.2648784766341755
AR,res,0.008079172006466663
AR,com,0.11216512600356823
AR,amb,0.005723752883000117
AR,fbp,0.8351731853494289
AR,rec,7.216599190283401e-05
AR,con,0.0006753742346203637
AR,agr,1.745259829090271
AR,eec,0.16904774324070154
AR,pub,0.001619051660782636
AR,ins,0.11679793960748923
AR,tex,0.009229972971459088
AR,leg,0.0522119351112097
AR,fen,0.006063265848431708
AR,uti,0.03688789329273258
AR,nmp,0.01777727034342697
AR,brd,0.029131272887419537
AR,bnk,0.38972051429965604
AR,ore,0.0158552855834462
AR,edu,0.02059595223024817
AR,ote,0.9080783493435047
AR,man,0.04469019052291997
AR,mch,0.3797834014846551
AR,dat,0.018163483434146043
AR,oil,3.5163504872093404e-06
AR,hos,0.05409047983633456
AR,rnt,0.45616659364222967
AR,pla,0.2620971834286236
AR,fof,0.0014083661915853666
AR,tsv,0.600152424493297
AR,nrs,0.0012805316786168581
AR,sec,0.1220414303149681
AR,art,0.004453351813861693
AR,mov,0.012422923534713734
AR,fpd,0.01864785017225268
AR,pri,0.00360858302939288
AR,pip,0.0008688019406530404
AR,osv,0.0006938296015740324
AR,trn,0.023342331114510305
AR,smn,0.009182794162430606
AR,fmt,0.23041651625357693
AR,pet,0.07771080031354206
AR,cep,0.08224269747330165
AR,wst,0.0034630291313706534
AR,mot,0.1396589702521206
AR,adm,0.02612405539874265
AR,alt,0.011244770810987773
AR,pmt,0.1877136934815722
AR,trk,0.03160540499848785
AR,wtt,0.0018615152429821906
AR,wpd,0.011210337555826611
AR,wht,0.0281836263084346
AR,wrh,0.001206059624108879
AR,che,0.64649661034229
AR,air,0.024053685694009928
AR,mmf,0.01733773861153132
AR,otr,0.08801666104946991
AR,min,0.004327641355291305
AZ,ppd,0.15833745778918484
AZ,res,0.034251310574205066
AZ,com,0.622032015220785
AZ,amb,0.017266972091261885
AZ,fbp,0.6825660686543894
AZ,rec,0.0003846864857630408
AZ,con,0.0026920980021135407
AZ,agr,0.6287801342666881
AZ,eec,1.188986013377418
AZ,pub,0.19387800060242383
AZ,ins,0.3975176072909665
AZ,tex,0.1208707489908165
AZ,leg,0.21055731934256638
AZ,fen,0.01630924052746272
AZ,uti,0.08281285760202395
AZ,nmp,0.07908169642427205
AZ,brd,0.16514516129032258
AZ,bnk,1.7092513607081965
AZ,ore,0.06781451726891358
AZ,edu,0.1114945379390707
AZ,ote,2.9799481292655035
AZ,man,0.03948547837514521
AZ,mch,1.8263757115111048
AZ,dat,0.06231012268451786
AZ,oil,0.3358444990590784
AZ,hos,0.1536214445978384
AZ,rnt,1.6538457205459807
AZ,pla,0.4768295614095898
AZ,fof,0.002030792151854799
AZ,tsv,2.6421671664060344
AZ,nrs,0.0036368160703628034
AZ,sec,0.8873550151083556
AZ,art,0.018345354332753378
AZ,mov,0.06638188193749923
AZ,fpd,0.040910324163036964
AZ,pri,0.024826000898303707
AZ,pip,0.0009048075467890832
AZ,osv,0.0021008805454132713
AZ,trn,0.02756407764626191
AZ,smn,0.0050764506078849365
AZ,fmt,0.6756396579694877
AZ,pet,0.38406390187252326
AZ,cep,3.7899015746944147
AZ,wst,0.008556457664857986
AZ,mot,0.4535260251291208
AZ,adm,0.11980089446978148
AZ,alt,0.020865345743947297
AZ,pmt,0.16699450630088783
AZ,trk,0.028419000083595554
AZ,wtt,8.591608813763956e-05
AZ,wpd,0.04230651789228138
AZ,wht,0.05362088354100207
AZ,wrh,0.004572484607906676
AZ,che,1.0861251807156294
AZ,air,0.5727166088616575
AZ,mmf,0.52150382647851
AZ,otr,0.29184798943625534
AZ,min,2.28274056919485
CA,ppd,1.3354260657619035
CA,res,0.2650923964107394
CA,com,10.160021867101547
CA,amb,0.10589735251816382
CA,fbp,13.2064794371642
CA,rec,0.007070140863920769
CA,con,0.014940578728403323
CA,agr,10.865364382264788
CA,eec,4.719082937841825
CA,pub,12.041031900571856
CA,ins,1.5177798783617282
CA,tex,0.9152980295557911
CA,leg,2.6224242503835393
CA,fen,0.1207506983531631
CA,uti,0.4085111411123088
CA,nmp,1.1017365812081807
CA,brd,1.6777867118734051
CA,bnk,8.542534164852968
CA,ore,0.46968777055772487
CA,edu,0.8116560222266223
CA,ote,6.473015293958806
CA,man,0.3738987839618645
CA,mch,21.847897184300106
CA,dat,2.493651807613124
CA,oil,0.2420408485804749
CA,hos,0.7751899665555397
CA,rnt,9.796716047867069
CA,pla,3.0408315895641014
CA,fof,0.33611394410191436
CA,tsv,33.72402028897008
CA,nrs,0.018351756392693496
CA,sec,11.963272516207589
CA,art,0.24037002064452456
CA,mov,8.74833043177637
CA,fpd,0.6573561514199252
CA,pri,0.19206481637909284
CA,pip,0.0034438695498641234
CA,osv,0.013186890643611181
CA,trn,0.059454218235670445
CA,smn,0.05601814518962731
CA,fmt,2.8127493777881085
CA,pet,4.764812738860982
CA,cep,21.79446444163657
CA,wst,0.05488570731511477
CA,mot,7.148292194029239
CA,adm,0.6324212825424198
CA,alt,2.106058310297925
CA,pmt,1.4130823381826683
CA,trk,0.20672721551148004
CA,wtt,0.51200260790824
CA,wpd,0.5131694424476714
CA,wht,0.4303666714514329
CA,wrh,0.028333186163318213
CA,che,16.81852832537633
CA,air,2.5226508810682757
CA,mmf,7.86364061474724
CA,otr,2.6611502229634416
CA,min,0.7720478958772806
CO,ppd,0.013286515279337113
CO,res,0.04269776417498875
CO,com,1.4294014779400834
CO,amb,0.013854409472657082
CO,fbp,2.3282815376197905
CO,rec,0.0004918074748218289
CO,con,0.002988226854940502
CO,agr,0.9865099979394514
CO,eec,0.1707172005385703
CO,pub,0.2855737670271264
CO,ins,0.3575603233642866
CO,tex,0.05370740989983966
CO,leg,0.26963664451573605
CO,fen,0.016847008981038546
CO,uti,0.06018044125895046
CO,nmp,0.0831090648580812
CO,brd,0.23952379929656062
CO,bnk,1.0654336493591359
CO,ore,0.06971598120420903
CO,edu,0.08749408278263321
CO,ote,0.2848975832399829
CO,man,0.06472973897081163
CO,mch,0.9639780120123754
CO,dat,0.1033000716871481
CO,oil,0.06873210007467877
CO,hos,0.09140758871151057
CO,rnt,1.538288675619931
CO,pla,0.2563951751395665
CO,fof,0.0053651060113009495
CO,tsv,4.768854083475171
CO,nrs,0.002163972539442015
CO,sec,1.2521500597053774
CO,art,0.034321746215170465
CO,mov,0.14674204541245325
CO,fpd,0.014259695810242359
CO,pri,0.027138981027003746
CO,pip,0.01178516830471411
CO,osv,0.0019904146164152763
CO,trn,0.023109153253744963
CO,smn,0.10027540349973063
CO,fmt,0.33056836738275513
CO,pet,0.12351377027256269
CO,cep,1.074447610944305
CO,wst,0.007805033214024316
CO,mot,0.07606921824778594
CO,adm,0.07870879581912099
CO,alt,0.05734761987952245
CO,pmt,0.11160088448442028
CO,trk,0.02307621593208367
CO,wtt,0.0017755991548445511
CO,wpd,0.005481765588287064
CO,wht,0.05851798151431919
CO,wrh,0.0023017235093972786
CO,che,0.8049357285860567
CO,air,0.8046658057551799
CO,mmf,0.28739054721692814
CO,otr,0.21546174074366217
CO,min,0.081156328960198
CT,ppd,0.16443724426255577
CT,res,0.009964687266428428
CT,com,0.3950518672873922
CT,amb,0.010100127606238532
CT,fbp,0.23328714934380376
CT,rec,0.0003562142403051494
CT,con,0.0009297917642898387
CT,agr,0.1297114562017132
CT,eec,0.6321568109087619
CT,pub,0.20320946605734347
CT,ins,0.7732676272204982
CT,tex,0.08022578018811166
CT,leg,0.20795224673650534
CT,fen,0.00920086887077023
CT,uti,0.049497716337669126
CT,nmp,0.16244752614134447
CT,brd,0.21894165314285371
CT,bnk,0.643709284979507
CT,ore,0.03731101877084355
CT,edu,0.1625808523511456
CT,ote,3.8078299844770505
CT,man,0.04436595102290319
CT,mch,2.4354210885785927
CT,dat,0.03849311471729497
CT,oil,0.03228991197744812
CT,hos,0.1007256612736839
CT,rnt,2.140320244498056
CT,pla,0.26293441766854336
CT,fof,0.013996236561604295
CT,tsv,2.348161656171433
CT,nrs,0.002384567496920989
CT,sec,3.1281043534191433
CT,art,0.016669535043756
CT,mov,0.2642712770554753
CT,fpd,0.035778721269278634
CT,pri,0.015300740432862033
CT,pip,0.00654035167756383
CT,osv,0.0010864987709199624
CT,trn,0.0026201828038632763
CT,smn,0.00024363419147789838
CT,fmt,0.5102750211002564
CT,pet,0.026290229688682783
CT,cep,0.620069421871244
CT,wst,0.006143572291072823
CT,mot,0.2196131804216005
CT,adm,0.048102111173237455
CT,alt,0.011487811359831906
CT,pmt,0.14283683521461094
CT,trk,0.00943178888757101
CT,wtt,0.052093788107455456
CT,wpd,0.017084462112519728
CT,wht,0.037866561604313294
CT,wrh,0.0022410887880751785
CT,che,1.2911775129698335
CT,air,0.07129611290467669
CT,mmf,0.29553388176724815
CT,otr,0.1379645040971389
CT,min,0.018390373772529143
DE,ppd,0.09025143185701008
DE,res,0.003608362627175879
DE,com,0.07639153099910793
DE,amb,0.0018932564058133108
DE,fbp,0.16311398544144187
DE,rec,2.6345902900926825e-05
DE,con,0.0003604701844167242
DE,agr,0.1474810682929459
DE,eec,0.22938246527429998
DE,pub,0.06754999069026604
DE,ins,0.1487809234679358
DE,tex,0.061911530884627176
DE,leg,0.12759040875489067
DE,fen,0.0026993560166375667
DE,uti,0.011940341115515325
DE,nmp,0.006546921493132115
DE,brd,0.013416693110999838
DE,bnk,1.3217626225151904
DE,ore,0.009971053809132215
DE,edu,0.009983569917943262
DE,ote,0.24227290191923215
DE,man,0.012911202823878531
DE,mch,0.4156824172186366
DE,dat,0.004559832236766578
DE,oil,0.00028573411452051487
DE,hos,0.041310168378370996
DE,rnt,1.9713051693020869
DE,pla,0.18525953384543858
DE,fof,0.00451949282640263
DE,tsv,0.4428788886463121
DE,nrs,0.000977972083397313
DE,sec,0.29124341334751974
DE,art,0.002652295567269988
DE,mov,0.005882443728315492
DE,fpd,0.0038393806832035015
DE,pri,0.0010552646771908012
DE,pip,0.00030871473409236955
DE,osv,0.00028015723969611176
DE,trn,0.00479548679442424
DE,fmt,0.03198320671246528
DE,pet,0.1721932431320975
DE,cep,0.4361097110365871
DE,wst,0.001263609102897078
DE,mot,0.17990047985738516
DE,adm,0.013745931360110536
DE,alt,0.013765547074131012
DE,pmt,0.06710576593129042
DE,trk,0.002693388205851601
DE,wtt,0.0063577905221853265
DE,wpd,0.0050114291621692775
DE,wht,0.005541851116816724
DE,wrh,0.0008794799092676605
DE,che,1.259835662594116
DE,air,0.004345314795750082
DE,mmf,0.11739711598843172
DE,otr,0.03841066044916402
DE,min,0.005142573343650144
DC,ppd,0.0001725533001451813
DC,res,0.01388815499402114
DC,com,0.42951086548468626
DC,amb,0.0023070946194241205
DC,fbp,0.0020737859010736045
DC,rec,0.0002440885669354569
DC,con,0.00020901012297044446
DC,eec,0.023537664606861505
DC,pub,0.009443287935293745
DC,ins,0.07145773506236572
DC,tex,0.0030765363862667074
DC,leg,0.7548197876061822
DC,fen,0.01678353467176402
DC,uti,0.018090037553788175
DC,nmp,0.0006375509863887779
DC,brd,0.09949066826740349
DC,bnk,0.2706773960603449
DC,ore,0.014653822601712394
DC,edu,0.10963391021993348
DC,ote,0.5949249031528454
DC,man,0.007003854536154187
DC,mch,0.025996833632446908
DC,dat,0.04336239664677624
DC,hos,0.04451890191811834
DC,rnt,0.07138484862340237
DC,pla,0.0014744367428957581
DC,fof,8.776536307323219e-05
DC,tsv,2.649384948740125
DC,nrs,0.0010539352650573654
DC,sec,0.4133679215592305
DC,art,0.0066170992495260825
DC,mov,0.04626193033793879
DC,fpd,0.0006366033271745312
DC,pri,0.0018984061502961118
DC,pip,0.0001180183756681413
DC,osv,0.00044414509724976554
DC,trn,0.00526184251595494
DC,fmt,0.07112924926111815
DC,pet,0.00011853594365344124
DC,cep,0.03412876249842367
DC,wst,0.00042759157404519333
DC,mot,0.05029556099441814
DC,adm,0.024995082137775286
DC,alt,0.003170679213477475
DC,pmt,0.000642706963220891
DC,trk,7.660721171247865e-05
DC,wtt,0.00197607002716571
DC,wpd,7.331997905956504e-05
DC,wht,0.0038626997893054537
DC,wrh,2.0273007128969546e-06
DC,che,0.013179799702701866
DC,air,0.003027304620735839
