r,g,h,value
AL,mov,hh4,0.05953088360302074
AL,mov,hh5,0.06176391852377268
AL,fpd,hh1,0.2018556023250384
AL,fpd,hh2,0.24659160526083287
AL,fpd,hh3,0.2688993969467351
AL,fpd,hh4,0.4279562874979233
AL,fpd,hh5,0.8288912292727937
AL,pri,hh1,0.019205918965522966
AL,pri,hh2,0.019518881720919947
AL,pri,hh3,0.019624911370920164
AL,pri,hh4,0.02005233801021507
AL,pri,hh5,0.020258266315488934
AL,grd,hh1,0.06048133512401291
AL,grd,hh2,0.06375557850582966
AL,grd,hh3,0.06493639729030613
AL,grd,hh4,0.07017299565111995
AL,grd,hh5,0.07303652917044245
AL,sle,hh1,0.14014246148182932
AL,sle,hh2,0.15930966283732018
AL,sle,hh3,0.16694539566399333
AL,sle,hh4,0.2104530076016465
AL,sle,hh5,0.23308120336953891
AL,osv,hh1,0.4580252032108045
AL,osv,hh2,0.7824346529706493
AL,osv,hh3,0.9796254372026312
AL,osv,hh4,2.5043006490001303
AL,osv,hh5,3.6920154150909306
AL,trn,hh1,0.0015108631317030641
AL,trn,hh2,0.0015127545713131895
AL,trn,hh3,0.0015133791157408364
AL,trn,hh4,0.0015158074413157865
AL,trn,hh5,0.0015169173656841403
AL,fmt,hh1,0.11451996723236826
AL,fmt,hh2,0.1270716485370787
AL,fmt,hh3,0.13210745461763185
AL,fmt,hh4,0.1578449906493573
AL,fmt,hh5,0.1812525410417085
AL,pet,hh1,0.40335536230866287
AL,pet,hh2,0.585846071813362
AL,pet,hh3,0.671221737265989
AL,pet,hh4,1.466080447876042
AL,pet,hh5,1.5508115091478996
AL,cep,hh1,0.22011473857563937
AL,cep,hh2,0.2743207827386408
AL,cep,hh3,0.300831457820918
AL,cep,hh4,0.4978168064255851
AL,cep,hh5,0.7691713190363214
AL,wst,hh1,0.06979405736320161
AL,wst,hh2,0.07403620061890771
AL,wst,hh3,0.07552758474342795
AL,wst,hh4,0.08265010815025141
AL,wst,hh5,0.08531629578595523
AL,mot,hh1,0.427643308350731
AL,mot,hh2,0.7019952255745489
AL,mot,hh3,0.8668063170821249
AL,mot,hh4,2.1894482470621837
AL,mot,hh5,3.1912438323924057
AL,adm,hh1,0.12922314982537486
AL,adm,hh2,0.14548517543012274
AL,adm,hh3,0.15222838234210198
AL,adm,hh4,0.18826971966943926
AL,adm,hh5,0.2282596251407656
AL,soc,hh1,0.25296645969249937
AL,soc,hh2,0.33496738842160284
AL,soc,hh3,0.38289078481689465
AL,soc,hh4,0.8121714008826819
AL,soc,hh5,1.8639838126958088
AL,alt,hh1,0.38084778422358234
AL,alt,hh2,0.5978351166835656
AL,alt,hh3,0.7312403672071508
AL,alt,hh4,1.8536526950119039
AL,alt,hh5,2.8899065905512886
AL,pmt,hh1,0.0025717206730812565
AL,pmt,hh2,0.0025772083051131115
AL,pmt,hh3,0.002579023962937282
AL,pmt,hh4,0.0025860964374040552
AL,pmt,hh5,0.0025893771744112826
AL,trk,hh1,0.02724460571981823
AL,trk,hh2,0.027880552122636366
AL,trk,hh3,0.028099775106011637
AL,trk,hh4,0.028996589871063554
AL,trk,hh5,0.029496228237761896
AL,wtt,hh1,0.012046895429296028
AL,wtt,hh2,0.012168675644172329
AL,wtt,hh3,0.012209368536405646
AL,wtt,hh4,0.012371511804134231
AL,wtt,hh5,0.012444990151407353
AL,wpd,hh1,0.025673326239248406
AL,wpd,hh2,0.026237090025444804
AL,wpd,hh3,0.026430742986272283
AL,wpd,hh4,0.027220565136348695
AL,wpd,hh5,0.027644155392808963
AL,wrh,hh1,0.0007548582266522875
AL,wrh,hh2,0.0007553298791047602
AL,wrh,hh3,0.0007554854779501232
AL,wrh,hh4,0.0007560895087526412
AL,wrh,hh5,0.0007563661737315852
AL,ott,hh1,0.03514424243452351
AL,ott,hh2,0.036213170460586384
AL,ott,hh3,0.03658666735205049
AL,ott,hh4,0.03814049998662405
AL,ott,hh5,0.03905702312987567
AL,che,hh1,0.4246545706397652
AL,che,hh2,0.7182005220811908
AL,che,hh3,0.9072577088141304
AL,che,hh4,2.398101446746675
AL,che,hh5,3.860960148574042
AL,air,hh1,0.15874796000869554
AL,air,hh2,0.184155409481984
AL,air,hh3,0.19480243175585443
AL,air,hh4,0.2585210010708672
AL,air,hh5,0.3031446400273865
AL,mmf,hh1,0.3001915379247816
AL,mmf,hh2,0.4239035684594939
AL,mmf,hh3,0.49808482734227616
AL,mmf,hh4,1.1696724100342486
AL,mmf,hh5,2.1367938954051025
AL,otr,hh1,0.04009709590860748
AL,otr,hh2,0.041497548026815115
AL,otr,hh3,0.04198487332702775
AL,otr,hh4,0.044049614215586695
AL,otr,hh5,0.045046642035276044
AL,min,hh1,0.0007714774907438455
AL,min,hh2,0.0007719701623575631
AL,min,hh3,0.0007721326847982282
AL,min,hh4,0.0007727636365599652
AL,min,hh5,0.0007730519139144377
AK,ppd,hh1,0.019113462647556468
AK,ppd,hh2,0.02899676980151617
AK,ppd,hh3,0.03137000291871512
AK,ppd,hh4,0.03612327307855586
AK,ppd,hh5,0.03715893785597544
AK,res,hh1,0.039282041992317926
AK,res,hh2,0.13238695415125779
AK,res,hh3,0.20177803859188806
AK,res,hh4,0.8677343314989476
AK,res,hh5,1.209504720416392
AK,amb,hh1,0.03965326728571261
AK,amb,hh2,0.13908196528466965
AK,amb,hh3,0.22249923594678286
AK,amb,hh4,1.316946438298994
AK,amb,hh5,2.0626541446752524
AK,fbp,hh1,0.04023270776596168
AK,fbp,hh2,0.14543089028260273
AK,fbp,hh3,0.23455553816190453
AK,fbp,hh4,1.2676540585054397
AK,fbp,hh5,1.7318666406948753
AK,rec,hh1,0.03369886935328946
AK,rec,hh2,0.08423717551305525
AK,rec,hh3,0.10793891086210611
AK,rec,hh4,0.20110122366664712
AK,rec,hh5,0.24609760663956765
AK,agr,hh1,0.0320895550144602
AK,agr,hh2,0.07486966815217329
AK,agr,hh3,0.09295726906229053
AK,agr,hh4,0.1533949182818939
AK,agr,hh5,0.1740421874858724
AK,eec,hh1,0.029000765969848664
AK,eec,hh2,0.059988727254452014
AK,eec,hh3,0.07112232639487377
AK,eec,hh4,0.10208411551268311
AK,eec,hh5,0.11201705254899892
AK,pub,hh1,0.031535333833364
AK,pub,hh2,0.07192654963921558
AK,pub,hh3,0.08848079194677971
AK,pub,hh4,0.14168701534389425
AK,pub,hh5,0.15950610824411263
AK,hou,hh1,0.043399966406275546
AK,hou,hh2,0.19893238681759615
AK,hou,hh3,0.3819667198428599
AK,hou,hh4,2.2696204084070253
AK,hou,hh5,2.5446113438963183
AK,ins,hh1,0.035119416127645395
AK,ins,hh2,0.09373688374912593
AK,ins,hh3,0.12382128373773808
AK,ins,hh4,0.2590356645329668
AK,ins,hh5,0.31970625564245375
AK,tex,hh1,0.020003660682184093
AK,tex,hh2,0.03109456362465282
AK,tex,hh3,0.03384101562706251
AK,tex,hh4,0.0394555001921294
AK,tex,hh5,0.04073422757868524
AK,leg,hh1,0.025263657461600544
AK,leg,hh2,0.045952218702679265
AK,leg,hh3,0.052218133048134115
AK,leg,hh4,0.06708192274765507
AK,leg,hh5,0.07115551870406153
AK,fen,hh1,0.0036320197695998047
AK,fen,hh2,0.0038836401083547282
AK,fen,hh3,0.0039233031245012985
AK,fen,hh4,0.0039879619453901585
AK,fen,hh5,0.00399932655642166
AK,uti,hh1,0.03411042742782449
AK,uti,hh2,0.08672055020375982
AK,uti,hh3,0.11155104448181355
AK,uti,hh4,0.20733597629079184
AK,uti,hh5,0.23720658586519738
AK,nmp,hh1,0.00984098530614628
AK,nmp,hh2,0.01193641697252516
AK,nmp,hh3,0.012319664829525354
AK,nmp,hh4,0.012984604536070539
AK,nmp,hh5,0.013111074201748618
AK,brd,hh1,0.035067026323289605
AK,brd,hh2,0.09335474301725669
AK,brd,hh3,0.12310525238348628
AK,brd,hh4,0.25509161228667143
AK,brd,hh5,0.3113373370603357
AK,bnk,hh1,0.033155092561718495
AK,bnk,hh2,0.08081178430252539
AK,bnk,hh3,0.10200438537104223
AK,bnk,hh4,0.17699259920980556
AK,bnk,hh5,0.19896537618190008
AK,ore,hh1,0.002691290941952278
AK,ore,hh2,0.0028270084950749075
AK,ore,hh3,0.002847966412279818
AK,ore,hh4,0.002881878259510943
AK,ore,hh5,0.0028878396725837137
AK,edu,hh1,0.03565980398969569
AK,edu,hh2,0.09773470921487154
AK,edu,hh3,0.13129929675842542
AK,edu,hh4,0.3040107221062285
AK,edu,hh5,0.43017009060550326
AK,ote,hh1,0.016695785335686213
AK,ote,hh2,0.02377567427174896
AK,ote,hh3,0.02534689476340612
AK,ote,hh4,0.028347618845978723
AK,ote,hh5,0.028955584128241996
AK,mch,hh1,0.01588995436722595
AK,mch,hh2,0.022174296578663367
AK,mch,hh3,0.02353567922927635
AK,mch,hh4,0.026105340152954737
AK,mch,hh5,0.026639694422377975
AK,dat,hh1,0.02550487576536569
AK,dat,hh2,0.04675950207504286
AK,dat,hh3,0.05324918758793251
AK,dat,hh4,0.06866095506061203
AK,dat,hh5,0.07245452977393965
AK,amd,hh1,0.03051804522365548
AK,amd,hh2,0.06684359015198936
AK,amd,hh3,0.0808577587011816
AK,amd,hh4,0.12247556727950229
AK,amd,hh5,0.13401426762400198
AK,hos,hh1,0.03965529234920293
AK,hos,hh2,0.13911295380125074
AK,hos,hh3,0.2225853768855983
AK,hos,hh4,1.3183538306456255
AK,hos,hh5,2.0647270571401872
AK,rnt,hh1,0.02788931349120983
AK,rnt,hh2,0.05543352967700185
AK,rnt,hh3,0.06477969457112949
AK,rnt,hh4,0.08912939294916254
AK,rnt,hh5,0.0954875532042708
AK,pla,hh1,0.023186679990520202
AK,pla,hh2,0.03952338688333699
AK,pla,hh3,0.04406545126431853
AK,pla,hh4,0.05409630180173817
AK,pla,hh5,0.05643550544270632
AK,fof,hh1,0.007006404370216457
AK,fof,hh2,0.008007213455183368
AK,fof,hh3,0.008177734258037687
AK,fof,hh4,0.008464391112289941
AK,fof,hh5,0.008516019622948302
AK,fin,hh1,0.027499629973507595
AK,fin,hh2,0.05389212401677594
AK,fin,hh3,0.06263696999717203
AK,fin,hh4,0.08482647199960085
AK,fin,hh5,0.08998727414395616
AK,tsv,hh1,0.022591820406193352
AK,tsv,hh2,0.03782593778775659
AK,tsv,hh3,0.04196974434978335
AK,tsv,hh4,0.05099806386074596
AK,tsv,hh5,0.05318168041442558
AK,nrs,hh1,0.0347389469765698
AK,nrs,hh2,0.09107160450658797
AK,nrs,hh3,0.1193576014197839
AK,nrs,hh4,0.24315807734291667
AK,nrs,hh5,0.3054173689508715
AK,sec,hh1,0.03225457335885443
AK,sec,hh2,0.07568332684659021
AK,sec,hh3,0.09400692992293327
AK,sec,hh4,0.154455177790289
AK,sec,hh5,0.17135272050971448
AK,art,hh1,0.023634629423884262
AK,art,hh2,0.04084043320626833
AK,art,hh3,0.04571252253403186
AK,art,hh4,0.05664104690145016
AK,art,hh5,0.059328376260306924
AK,mov,hh1,0.008496472972330684
AK,mov,hh2,0.010014336480784319
AK,mov,hh3,0.010282602365712623
AK,mov,hh4,0.010740804924951606
AK,mov,hh5,0.010825392216795257
AK,fpd,hh1,0.028863816139404554
AK,fpd,hh2,0.05940379289585952
AK,fpd,hh3,0.07030923121785315
AK,fpd,hh4,0.10051558726316615
AK,fpd,hh5,0.11057199277032594
AK,pri,hh1,0.003365203750979166
AK,pri,hh2,0.0035801179549817003
AK,pri,hh3,0.00361379593932296
AK,pri,hh4,0.0036685769382880456
AK,pri,hh5,0.0036781923014855
AK,grd,hh1,0.015779927811545864
AK,grd,hh2,0.021960993904099575
AK,grd,hh3,0.02329454169917295
AK,grd,hh4,0.02580158613225235
AK,grd,hh5,0.026300135877505466
AK,sle,hh1,0.02433917968225415
AK,sle,hh2,0.04298892017254254
AK,sle,hh3,0.04840666457379811
AK,sle,hh4,0.060742057297897285
AK,sle,hh5,0.06354253354792817
AK,osv,hh1,0.0374801521617102
AK,osv,hh2,0.11311698161864296
AK,osv,hh3,0.16038538543296718
AK,osv,hh4,0.48302521078172617
AK,osv,hh5,0.6965226150698112
AK,trn,hh1,0.000510670574537542
AK,trn,hh2,0.0005153650143861443
AK,trn,hh3,0.0005160570621649708
AK,trn,hh4,0.0005171579540677103
AK,trn,hh5,0.0005173475433865591
AK,fmt,hh1,0.01723848540941439
AK,fmt,hh2,0.024891022476721897
AK,fmt,hh3,0.026619433326015282
AK,fmt,hh4,0.029957368381677937
AK,fmt,hh5,0.030659334028381748
AK,pet,hh1,0.035380778271044876
AK,pet,hh2,0.09556932638719322
AK,pet,hh3,0.1267911375999079
AK,pet,hh4,0.26812956220517276
AK,pet,hh5,0.3230163538744309
AK,cep,hh1,0.03376976657503109
AK,cep,hh2,0.08468784118321653
AK,cep,hh3,0.10863149604908123
AK,cep,hh4,0.20255655473666556
AK,cep,hh5,0.24445153465001898
AK,wst,hh1,0.011528182875369008
AK,wst,hh2,0.014512232078510025
AK,wst,hh3,0.015081762569919704
AK,wst,hh4,0.016087183813565577
AK,wst,hh5,0.016271058975710292
AK,mot,hh1,0.0362098972294191
AK,mot,hh2,0.10202040147614765
AK,mot,hh3,0.13879074548110729
AK,mot,hh4,0.33431471976474314
AK,mot,hh5,0.44248594979061456
AK,adm,hh1,0.018855697432186413
AK,adm,hh2,0.02840764080465097
AK,adm,hh3,0.03068206155367925
AK,adm,hh4,0.035216759356320196
AK,adm,hh5,0.03621424209016992
AK,soc,hh1,0.03501301958646286
AK,soc,hh2,0.09298011067629756
AK,soc,hh3,0.12280972035880522
AK,soc,hh4,0.26170290558491455
AK,soc,hh5,0.35120054449975574
AK,alt,hh1,0.034874374812081624
AK,alt,hh2,0.09201193067780776
AK,alt,hh3,0.12092618431351079
AK,alt,hh4,0.2486117954935467
AK,alt,hh5,0.3099993100404372
AK,pmt,hh1,0.00046452640900316157
AK,pmt,hh2,0.0004684075675604992
AK,pmt,hh3,0.000468979184746075
AK,pmt,hh4,0.0004698882322794473
AK,pmt,hh5,0.0004700449003904893
AK,trk,hh1,0.008194310671664446
AK,trk,hh2,0.00959720023079092
AK,trk,hh3,0.009843335501096333
AK,trk,hh4,0.010262610903357061
AK,trk,hh5,0.010340735990719512
AK,wtt,hh1,0.003878588014503929
AK,wtt,hh2,0.00416688698855083
AK,wtt,hh3,0.0042125738975398175
AK,wtt,hh4,0.004287188093605856
AK,wtt,hh5,0.004300256770821257
AK,wpd,hh1,0.004576760385521631
AK,wpd,hh2,0.004983640579081438
AK,wpd,hh3,0.005049160833725702
AK,wpd,hh4,0.005156886843736946
AK,wpd,hh5,0.005176120984863806
AK,wrh,hh1,0.00013350501640343665
AK,wrh,hh2,0.00013382369574725707
AK,wrh,hh3,0.00013387031037185104
AK,wrh,hh4,0.00013394426214749698
AK,wrh,hh5,0.0001339569731419713
AK,ott,hh1,0.003844803047458561
AK,ott,hh2,0.004127917093784609
AK,ott,hh3,0.004172763105620824
AK,ott,hh4,0.0042460337645982464
AK,ott,hh5,0.00425905644240879
AK,che,hh1,0.037416587791835716
AK,che,hh2,0.11256395990299843
AK,che,hh3,0.15946335617613622
AK,che,hh4,0.48270230846266565
AK,che,hh5,0.7158880441212063
AK,air,hh1,0.029062465601517137
AK,air,hh2,0.06025854945050705
AK,air,hh3,0.07146569900382624
AK,air,hh4,0.10239210719830479
AK,air,hh5,0.11102759781526904
AK,mmf,hh1,0.034900184339783355
AK,mmf,hh2,0.09219216926567098
AK,mmf,hh3,0.12131690579789658
AK,mmf,hh4,0.25197942584449107
AK,mmf,hh5,0.32151651710436796
AK,otr,hh1,0.011393901075729917
AK,otr,hh2,0.014300511317633973
AK,otr,hh3,0.014853862504721092
AK,otr,hh4,0.01583031628618041
AK,otr,hh5,0.01601244660683329
AK,min,hh1,7.981330952014393e-05
AK,min,hh2,7.99270964088076e-05
AK,min,hh3,7.994372204640113e-05
AK,min,hh4,7.99700873517905e-05
AK,min,hh5,7.997461647797779e-05
AR,ppd,hh1,0.07517994760977954
AR,ppd,hh2,0.0833052030682833
AR,ppd,hh3,0.08191923430270459
AR,ppd,hh4,0.09274397834629419
AR,ppd,hh5,0.09705474962185125
AR,res,hh1,0.4349572671972342
AR,res,hh2,0.8835910389827419
AR,res,hh3,0.7606603679620804
AR,res,hh4,1.8666215520653529
AR,res,hh5,2.0495486327721535
AR,amb,hh1,0.514964201627914
AR,amb,hh2,1.2216548592095562
AR,amb,hh3,1.0945575607976237
AR,amb,hh4,3.051325519323526
AR,amb,hh5,4.11554829535567
AR,fbp,hh1,0.7005445695698772
AR,fbp,hh2,1.6364205643087197
AR,fbp,hh3,1.3921945446208839
AR,fbp,hh4,3.3419568831186703
AR,fbp,hh5,3.588687275937012
AR,rec,hh1,0.15568050851315668
AR,rec,hh2,0.195781744706739
AR,rec,hh3,0.18865638198162224
AR,rec,hh4,0.26533764550345496
AR,rec,hh5,0.3182318051356055
AR,agr,hh1,0.20058574059825077
AR,agr,hh2,0.2737220620464916
AR,agr,hh3,0.2585817078019045
AR,agr,hh4,0.41853794658543403
AR,agr,hh5,0.49240692167245675
AR,eec,hh1,0.11402009969571084
AR,eec,hh2,0.13396931611350552
AR,eec,hh3,0.13051834950268104
AR,eec,hh4,0.16196870161309215
AR,eec,hh5,0.1791946556863244
AR,pub,hh1,0.17996118428006813
AR,pub,hh2,0.2364908077771144
AR,pub,hh3,0.22532854258640928
AR,pub,hh4,0.34012894721294246
AR,pub,hh5,0.39635650563566416
AR,hou,hh1,1.7691569502202016
AR,hou,hh2,3.284553151078129
AR,hou,hh3,2.5585185172084657
AR,hou,hh4,4.9203418115238495
AR,hou,hh5,3.8180735178020186
AR,ins,hh1,0.31279655870221323
AR,ins,hh2,0.5326909669609536
AR,ins,hh3,0.48028273893445156
AR,ins,hh4,1.1005714563110014
AR,ins,hh5,1.3277119884658368
AR,tex,hh1,0.1269394796644437
AR,tex,hh2,0.15216500902309865
AR,tex,hh3,0.1478274320794619
AR,tex,hh4,0.1903815110424626
AR,tex,hh5,0.21840678186939694
AR,leg,hh1,0.1150568110561482
AR,leg,hh2,0.13533930242323547
AR,leg,hh3,0.13188144664310666
AR,leg,hh4,0.16434731275382403
AR,leg,hh5,0.1847210587597031
AR,fen,hh1,0.010422111839905003
AR,fen,hh2,0.010561804303822269
AR,fen,hh3,0.010538883953154315
AR,fen,hh4,0.010686960799758477
AR,fen,hh5,0.010726537893173774
AR,uti,hh1,0.2516060337788589
AR,uti,hh2,0.36796377984183837
AR,uti,hh3,0.32756411757227216
AR,uti,hh4,0.552509344922359
AR,uti,hh5,0.5354932731328309
AR,nmp,hh1,0.03219654711945612
AR,nmp,hh2,0.03357866122418792
AR,nmp,hh3,0.033350768041138894
AR,nmp,hh4,0.03493118428892322
AR,nmp,hh5,0.035455093592321275
AR,brd,hh1,0.24480365965259582
AR,brd,hh2,0.36312829105759625
AR,brd,hh3,0.33535277482530834
AR,brd,hh4,0.6234419751628563
AR,brd,hh5,0.7193796749949783
AR,bnk,hh1,0.3075654317694814
AR,bnk,hh2,0.4861843843747798
AR,bnk,hh3,0.41499973633567677
AR,bnk,hh4,0.7645616898644769
AR,bnk,hh5,0.6993878464687059
AR,ore,hh1,0.008393062632655688
AR,ore,hh2,0.008483271167486463
AR,ore,hh3,0.00846856936771243
AR,ore,hh4,0.008563846159981056
AR,ore,hh5,0.008590308797179504
AR,edu,hh1,0.2377500142792004
AR,edu,hh2,0.35058954667995096
AR,edu,hh3,0.3318604418132702
AR,edu,hh4,0.6893337981815435
AR,edu,hh5,1.1611014896868257
AR,ote,hh1,0.08074733866926452
AR,ote,hh2,0.09024258144261788
AR,ote,hh3,0.08857553003666101
AR,ote,hh4,0.10134003115295821
AR,ote,hh5,0.10578113768171232
AR,mch,hh1,0.05825539652019574
AR,mch,hh2,0.06298641073164538
AR,mch,hh3,0.06219449216333021
AR,mch,hh4,0.06813308501165038
AR,mch,hh5,0.0704440486936939
AR,dat,hh1,0.11806468922954352
AR,dat,hh2,0.13977977887651616
AR,dat,hh3,0.13576348759190268
AR,dat,hh4,0.16940727397605013
AR,dat,hh5,0.1821867045485801
AR,amd,hh1,0.11680587239512241
AR,amd,hh2,0.13802186410584383
AR,amd,hh3,0.1336302816963488
AR,amd,hh4,0.16490461187906771
AR,amd,hh5,0.17237887337444868
AR,hos,hh1,0.515323612452168
AR,hos,hh2,1.2228859732010238
AR,hos,hh3,1.0956687382415025
AR,hos,hh4,3.0542658655055637
AR,hos,hh5,4.119424666903064
AR,rnt,hh1,0.09366606529525527
AR,rnt,hh2,0.10676847917028508
AR,rnt,hh3,0.10434631389690574
AR,rnt,hh4,0.12256061270523962
AR,rnt,hh5,0.12812945609464665
AR,pla,hh1,0.10100960649351617
AR,pla,hh2,0.11640489996249638
AR,pla,hh3,0.11365745247724954
AR,pla,hh4,0.13609748252375442
AR,pla,hh5,0.14480221852278463
AR,fof,hh1,0.01509991066115564
AR,fof,hh2,0.015395614563368588
AR,fof,hh3,0.015346796352606674
AR,fof,hh4,0.015664481674548186
AR,fof,hh5,0.01574988905117715
AR,fin,hh1,0.19833309519317607
AR,fin,hh2,0.26602010990795294
AR,fin,hh3,0.24517651353337547
AR,fin,hh4,0.3640022640708338
AR,fin,hh5,0.3661164165026138
AR,tsv,hh1,0.09598240030320736
AR,tsv,hh2,0.10968656470740724
AR,tsv,hh3,0.10733864943038976
AR,tsv,hh4,0.12730944019148785
AR,tsv,hh5,0.13701805466901285
AR,nrs,hh1,0.22232582548688604
AR,nrs,hh2,0.31637083541827266
AR,nrs,hh3,0.2983624219338833
AR,nrs,hh4,0.5405505331191148
