r,g,h,value
AL,ppd,hh1,0.12956075122746027
AL,ppd,hh2,0.14593742104268875
AL,ppd,hh3,0.15269000919197087
AL,ppd,hh4,0.18886333977615255
AL,ppd,hh5,0.22465999969248643
AL,res,hh1,0.7042444964970219
AL,res,hh2,1.2525163147269616
AL,res,hh3,1.5187765464892908
AL,res,hh4,3.5251984458195444
AL,res,hh5,4.129174155807862
AL,amb,hh1,0.6815759323308677
AL,amb,hh2,1.4100063232195876
AL,amb,hh3,1.8407358755376526
AL,amb,hh4,4.707543636946003
AL,amb,hh5,7.324626651803908
AL,fbp,hh1,1.2312145650478867
AL,fbp,hh2,2.223138039974114
AL,fbp,hh3,2.6650002161368906
AL,fbp,hh4,5.921377733052651
AL,fbp,hh5,6.851819942985703
AL,rec,hh1,0.21164216810275144
AL,rec,hh2,0.2613919982683455
AL,rec,hh3,0.28596827847217504
AL,rec,hh4,0.4647682879140126
AL,rec,hh5,0.7875910736059111
AL,agr,hh1,0.2706266906553206
AL,agr,hh2,0.35790789424065383
AL,agr,hh3,0.4023176988585862
AL,agr,hh4,0.7783257868064598
AL,agr,hh5,1.1042173804219801
AL,eec,hh1,0.1580913708595299
AL,eec,hh2,0.18339963114673236
AL,eec,hh3,0.19451020801598212
AL,eec,hh4,0.2600230014135762
AL,eec,hh5,0.3487997870068914
AL,pub,hh1,0.26082049615791614
AL,pub,hh2,0.3415204168856823
AL,pub,hh3,0.3827214661231491
AL,pub,hh4,0.7257034693073082
AL,pub,hh5,1.0737657257587316
AL,hou,hh1,3.4236059099318648
AL,hou,hh2,4.424308518801942
AL,hou,hh3,4.70699702359584
AL,hou,hh4,9.089623430673184
AL,hou,hh5,7.022623605042818
AL,ins,hh1,0.35259538046379874
AL,ins,hh2,0.5165790339861338
AL,ins,hh3,0.6065730246627581
AL,ins,hh4,1.3963166649388876
AL,ins,hh5,1.89727545793951
AL,tex,hh1,0.17019508070738673
AL,tex,hh2,0.20004049059550935
AL,tex,hh3,0.21360042545637994
AL,tex,hh4,0.2973400365596046
AL,tex,hh5,0.44028444768714414
AL,leg,hh1,0.1788992167000602
AL,leg,hh2,0.21235849412953275
AL,leg,hh3,0.22797130951446973
AL,leg,hh4,0.328041415161965
AL,leg,hh5,0.5302787870737041
AL,fen,hh1,0.014436592096076653
AL,fen,hh2,0.014612297375391022
AL,fen,hh3,0.01467139262380241
AL,fen,hh4,0.014907295792214415
AL,fen,hh5,0.015018827157744302
AL,uti,hh1,0.38788839647296425
AL,uti,hh2,0.5138850914419681
AL,uti,hh3,0.5618848144245696
AL,uti,hh4,1.1126487744420528
AL,uti,hh5,0.9918448680747013
AL,nmp,hh1,0.06021283392078933
AL,nmp,hh2,0.06345101119489863
AL,nmp,hh3,0.06463346261319974
AL,nmp,hh4,0.06984270264806554
AL,nmp,hh5,0.07351825303408595
AL,brd,hh1,0.35876019977278434
AL,brd,hh2,0.5229117032357132
AL,brd,hh3,0.6096440927631948
AL,brd,hh4,1.3763000734012931
AL,brd,hh5,1.751039141753059
AL,bnk,hh1,0.3780536996558584
AL,bnk,hh2,0.49495984572349133
AL,bnk,hh3,0.5388543478030723
AL,bnk,hh4,1.0508492895754973
AL,bnk,hh5,0.9328148176880744
AL,ore,hh1,0.014601080789282794
AL,ore,hh2,0.01478077711236362
AL,ore,hh3,0.014841419803714057
AL,ore,hh4,0.015083194192230706
AL,ore,hh5,0.015206020622557586
AL,edu,hh1,0.2730060078868136
AL,edu,hh2,0.37673532725895864
AL,edu,hh3,0.4420992494681873
AL,edu,hh4,1.0629496549344826
AL,edu,hh5,2.493057882226753
AL,ote,hh1,0.1329221390833321
AL,ote,hh2,0.1502399132469083
AL,ote,hh3,0.15730396520687304
AL,ote,hh4,0.1957812811372929
AL,ote,hh5,0.22564857591429635
AL,mch,hh1,0.10380104802209801
AL,mch,hh2,0.11396116993592947
AL,mch,hh3,0.11797692437095574
AL,mch,hh4,0.13783601936129064
AL,mch,hh5,0.15645843963373843
AL,dat,hh1,0.19164357939143892
AL,dat,hh2,0.23047628499952227
AL,dat,hh3,0.24790641213081782
AL,dat,hh4,0.36449432652662034
AL,dat,hh5,0.4710221106608439
AL,amd,hh1,0.1815277936848408
AL,amd,hh2,0.21451179910348037
AL,amd,hh3,0.22807995495331512
AL,amd,hh4,0.3187625278383192
AL,amd,hh5,0.3561694670388766
AL,hos,hh1,0.6821374036749658
AL,hos,hh2,1.4114656558521017
AL,hos,hh3,1.8426404480322047
AL,hos,hh4,4.712012231962017
AL,hos,hh5,7.331431313956151
AL,rnt,hh1,0.148564004003251
AL,rnt,hh2,0.17048531034157446
AL,rnt,hh3,0.17946306127647516
AL,rnt,hh4,0.23154993707560959
AL,rnt,hh5,0.2642109393895026
AL,pla,hh1,0.16581486994769967
AL,pla,hh2,0.19394755933163255
AL,pla,hh3,0.20615041468396897
AL,pla,hh4,0.28037172287708045
AL,pla,hh5,0.3510651993136552
AL,fof,hh1,0.023763470870944152
AL,fof,hh2,0.02424540223419534
AL,fof,hh3,0.024409597640153012
AL,fof,hh4,0.025078533936355115
AL,fof,hh5,0.025399847241064515
AL,fin,hh1,0.2398466979303839
AL,fin,hh2,0.2916352043624032
AL,fin,hh3,0.3117635767574038
AL,fin,hh4,0.4904346952044493
AL,fin,hh5,0.4953219118246628
AL,tsv,hh1,0.15971593578787302
AL,tsv,hh2,0.18560389473523065
AL,tsv,hh3,0.19701981581038105
AL,tsv,hh4,0.26473163967374913
AL,tsv,hh5,0.3593275480003258
AL,nrs,hh1,0.2710982663435574
AL,nrs,hh2,0.36306695042193515
AL,nrs,hh3,0.41351071938154543
AL,nrs,hh4,0.8503820261191989
AL,nrs,hh5,1.4535059978431004
AL,sec,hh1,0.345448329028613
AL,sec,hh2,0.4461993702762312
AL,sec,hh3,0.484624102444929
AL,sec,hh4,0.9157268139122117
AL,sec,hh5,0.8353924368315145
AL,art,hh1,0.1099921754916037
AL,art,hh2,0.12150844020053854
AL,art,hh3,0.12608457844781318
AL,art,hh4,0.1491660722348214
AL,art,hh5,0.169078899984925
AL,mov,hh1,0.05243990639258456
AL,mov,hh2,0.05487603310628934
AL,mov,hh3,0.05574890433595968
