r,h,value
AL,hh1,0.01137544056
AL,hh2,1.6358266730810638
AL,hh3,2.845885112758353
AL,hh4,7.7969093935112594
AL,hh5,10.344371059634655
AK,hh1,0.31701713130998527
AK,hh2,0.6414636130457639
AK,hh3,1.2894185621551497
AK,hh4,3.3874097846949986
AK,hh5,14.522291974492575
AR,hh1,0.013775641980000001
AR,hh2,1.4154774856028194
AR,hh3,1.5266291948627113
AR,hh4,3.118428518511246
AR,hh5,8.144563338175512
AZ,hh1,3.117198799030213
AZ,hh2,4.473065607704154
AZ,hh3,9.168221597791531
AZ,hh4,19.454898703219005
AZ,hh5,52.14855286652948
CA,hh1,9.779977815538352
CA,hh2,30.363641183128745
CA,hh3,34.70892064760377
CA,hh4,110.87098866978104
CA,hh5,384.50685283808866
CO,hh1,1.2299956209405432
CO,hh2,2.953082400534232
CO,hh3,6.514970199071267
CO,hh4,15.100051530967457
CO,hh5,90.12509295476137
CT,hh1,1.1894667928385045
CT,hh2,3.1930836381777143
CT,hh3,3.933883642006107
CT,hh4,10.040841394326801
CT,hh5,56.38647271573561
DE,hh1,0.004123230038
DE,hh2,0.43941086849598465
DE,hh3,0.8246898207487189
DE,hh4,2.1176879979709207
DE,hh5,5.3617407310395615
DC,hh1,0.14512572381509073
DC,hh2,0.35087208811262266
DC,hh3,0.589323863669937
DC,hh4,2.0385581060187263
DC,hh5,14.935049801943403
FL,hh1,0.088666174082
FL,hh2,14.798380875969583
FL,hh3,20.37142818735412
FL,hh4,51.092324980498546
FL,hh5,90.36023982582414
GA,hh1,0.030394745481000005
GA,hh2,4.91491175593597
GA,hh3,8.517553828776881
GA,hh4,23.185275043029293
GA,hh5,36.257393925871305
HI,hh1,0.40250210898999167
HI,hh2,1.1872013389250717
HI,hh3,1.5855927687198261
HI,hh4,5.616834011363325
HI,hh5,32.4184440864105
ID,hh1,0.31473858335646865
ID,hh2,0.9736607452830592
ID,hh3,1.5339283883785098
ID,hh4,7.841588152073488
ID,hh5,13.874856888881766
IL,hh1,2.0081112660436093
IL,hh2,6.794099662830662
IL,hh3,11.750940990908942
IL,hh4,33.615812058848064
IL,hh5,103.41753129566462
IN,hh1,1.8998127480871243
IN,hh2,4.663686796980735
IN,hh3,8.73815773189386
IN,hh4,25.12480825011053
IN,hh5,60.10374679553386
IA,hh1,0.3882265930122179
IA,hh2,2.640964067739123
IA,hh3,4.271523878117952
IA,hh4,10.75407146210087
IA,hh5,68.34648027378317
KS,hh1,0.6093471755658567
KS,hh2,1.6770564573291267
KS,hh3,4.207954121643537
KS,hh4,10.199003171699726
KS,hh5,42.1436953094577
KY,hh1,1.4905354808328086
KY,hh2,1.8446131845032232
KY,hh3,4.484216126865027
KY,hh4,17.925216857541702
KY,hh5,20.754928053332396
LA,hh1,2.363636783609567
LA,hh2,2.7199311637580434
LA,hh3,3.2227251855176835
LA,hh4,5.989745074015573
LA,hh5,10.008755287367817
ME,hh1,0.33603275009215916
ME,hh2,0.839689969384342
ME,hh3,1.6740435916677454
ME,hh4,4.401747134085639
ME,hh5,8.704049623864925
MD,hh1,1.610256176227359
MD,hh2,2.133598122412637
MD,hh3,6.509731438427596
MD,hh4,17.597665312488047
MD,hh5,101.90637769879824
MA,hh1,1.013936203361968
MA,hh2,3.9393729474601487
MA,hh3,6.321262171776551
MA,hh4,19.80420364554573
MA,hh5,92.70434510150842
MI,hh1,0.060734903236999996
MI,hh2,5.768814325444344
MI,hh3,5.886217202216883
MI,hh4,14.477717430716254
MI,hh5,41.08955318229245
MN,hh1,1.011353741679318
MN,hh2,2.901515316569686
MN,hh3,4.822993083785811
MN,hh4,16.997275471425624
MN,hh5,66.03019474630308
MS,hh1,0.43993182561663075
MS,hh2,2.546356210096252
MS,hh3,1.7902163235964785
MS,hh4,6.62976811698538
MS,hh5,6.86572771733544
MO,hh1,0.9511585748646084
MO,hh2,4.883546403336518
MO,hh3,6.622609988711938
MO,hh4,16.51469772948851
MO,hh5,38.025943147280046
MT,hh1,0.37290347111895444
MT,hh2,1.0203548422312407
MT,hh3,0.8844382821986371
MT,hh4,4.062106431534485
MT,hh5,13.86761389707925
NE,hh1,0.18913310790660176
NE,hh2,1.057436526735048
NE,hh3,2.1891875458318957
NE,hh4,8.744086099681057
NE,hh5,22.115034804485987
NV,hh1,1.0800921630492797
NV,hh2,2.6813683096590806
NV,hh3,1.8546523279363905
NV,hh4,9.038343910718703
NV,hh5,44.3930951411077
NH,hh1,0.31060406234919724
NH,hh2,0.7345308393144508
NH,hh3,1.4172518315126357
NH,hh4,5.50686230123575
NH,hh5,16.291119689454565
NJ,hh1,1.6014463326768813
NJ,hh2,3.714110100246807
NJ,hh3,7.8205860340009
NJ,hh4,16.866778534318804
NJ,hh5,59.55096869968628
NM,hh1,0.500684003262561
NM,hh2,1.3573324662916164
NM,hh3,1.4048463183355437
NM,hh4,5.596192952544949
NM,hh5,10.400555331905831
NY,hh1,4.485914049364832
NY,hh2,13.007727166723377
NY,hh3,17.228237228632985
NY,hh4,59.2517169133297
NY,hh5,284.4792448411297
NC,hh1,2.170657654204112
NC,hh2,7.665145513168876
NC,hh3,9.185906694783391
NC,hh4,27.850120871630473
NC,hh5,86.55199321479289
ND,hh1,0.1692991367505453
ND,hh2,0.5411394424338568
ND,hh3,0.9772387442537138
ND,hh4,3.7263789317914857
ND,hh5,10.149115480839006
OH,hh1,3.5678619913799974
OH,hh2,5.577925094136726
OH,hh3,11.081568767735698
OH,hh4,28.90799032568367
OH,hh5,112.22016792194563
OK,hh1,0.6557028886616824
OK,hh2,2.5929126666040694
OK,hh3,3.645679719150578
OK,hh4,13.737957882395948
OK,hh5,36.46415378386603
OR,hh1,1.3900986893879195
OR,hh2,4.244356172663906
OR,hh3,3.8872482962036954
OR,hh4,13.312491094265233
OR,hh5,53.32142421084944
PA,hh1,2.726006275871176
PA,hh2,10.495990930587748
PA,hh3,11.395704768146697
PA,hh4,29.638269064959186
PA,hh5,118.074467899629
RI,hh1,0.27641335875522943
RI,hh2,0.6476344465656407
RI,hh3,0.8441292300808996
RI,hh4,2.8578004970132893
RI,hh5,10.035747709622495
SC,hh1,0.008633693496000001
SC,hh2,2.128019563034166
SC,hh3,2.976524310941268
SC,hh4,9.66748164577282
SC,hh5,16.375397810768828
SD,hh1,0.022620314402570754
SD,hh2,0.6184584361158001
SD,hh3,1.28591284396971
SD,hh4,5.2085629128114554
SD,hh5,6.018570061153847
TN,hh1,1.566340187556893
TN,hh2,3.8346539480776984
TN,hh3,4.7824718482938415
TN,hh4,17.980960911051117
TN,hh5,50.39750489818548
TX,hh1,1.2314324712395674
TX,hh2,14.922520067463868
TX,hh3,19.756399146305206
TX,hh4,99.97351406887655
TX,hh5,145.4285474728719
UT,hh1,0.3498500935760093
UT,hh2,1.3625659273023154
UT,hh3,1.5156535041199808
UT,hh4,6.981443395027299
UT,hh5,22.66870262870651
VT,hh1,0.13893751898120862
VT,hh2,0.4485310772933673
VT,hh3,1.1023400365748226
VT,hh4,2.701525621430498
VT,hh5,4.616929109945739
VA,hh1,1.265275926828322
VA,hh2,4.228119406651672
VA,hh3,9.983430823381893
VA,hh4,20.315097260171374
VA,hh5,164.98036410755864
