r,s,g,value
AL,ppd,ppd,8.603961026764123
AL,ppd,com,0.0037606720962083764
AL,ppd,con,0.004365753208764898
AL,ppd,tex,0.0102418160341896
AL,ppd,nmp,0.0013330642785211759
AL,ppd,pla,0.01849661222784635
AL,ppd,tsv,0.040059029941359105
AL,ppd,pri,0.012520443449628667
AL,ppd,cep,0.002647260635325131
AL,ppd,wpd,0.00934936808482927
AL,ppd,wht,0.04863319760360683
AL,ppd,che,0.0009854486052801852
AL,ppd,mmf,0.01926332056359234
AL,res,res,6.724746681792655
AL,res,com,2.9430032957166467e-05
AL,res,rec,0.014593351038788298
AL,res,con,0.005505507863235458
AL,res,fbt,0.003348640592474236
AL,res,amd,0.00013671346085823027
AL,res,wht,0.0002854121425344791
AL,res,ott,0.011863166634531018
AL,com,com,4.195858573510164
AL,com,con,6.912044606621286e-05
AL,com,pub,0.1152071074640113
AL,com,brd,0.0014355366097936826
AL,com,edu,0.003357362671814115
AL,com,dat,0.18077294483273704
AL,com,rnt,0.0010306730240984793
AL,com,tsv,0.08630119256528551
AL,com,osv,0.03618745606036738
AL,com,adm,0.05230834798935735
AL,com,wht,0.001062587089066571
AL,com,ott,0.01086459976347734
AL,amb,res,0.000610426562997598
AL,amb,com,0.011532936171169288
AL,amb,amb,16.396676659969003
AL,amb,con,0.00908300659809667
AL,amb,rnt,0.006589549340194765
AL,amb,tsv,0.006140954172765406
AL,amb,ott,0.11988762915386726
AL,fbp,ppd,0.00038844963120792953
AL,fbp,com,0.0012287741954406912
AL,fbp,fbp,10.636440042566456
AL,fbp,con,0.00183615381754917
AL,fbp,tsv,0.036734470140302546
AL,fbp,pet,0.00042272943187466244
AL,fbp,alt,0.006404642288544645
AL,fbp,wht,0.09190711364371383
AL,fbp,che,0.023767565898488954
AL,fbp,mmf,3.035336203035023e-05
AL,rec,res,0.02596451720605239
AL,rec,com,0.00017600194500487482
AL,rec,rec,0.39551102510577363
AL,rec,con,0.0014639895223817958
AL,rec,ore,0.00016985057531784207
AL,rec,edu,0.009997120105420977
AL,rec,amd,0.00041674004296687206
AL,rec,rnt,0.0005561208271255815
AL,rec,tsv,0.00021731120262492344
AL,rec,art,3.696785896502367e-05
AL,rec,osv,0.00748762498736799
AL,rec,mvt,1.4370277260553419e-05
AL,rec,soc,0.0020798999817146172
AL,rec,ott,0.006533475221639174
AL,con,com,0.005444337856237856
AL,con,con,23.349214203289105
AL,con,tsv,0.0003195844467589406
AL,agr,rec,0.023329144428308437
AL,agr,agr,5.906795010602945
AL,agr,fof,0.06627864982137825
AL,agr,wpd,0.00013513551218186152
AL,eec,ppd,0.00010073338533934245
AL,eec,com,0.002684015502160535
AL,eec,con,0.0010614076655937443
AL,eec,eec,1.706338124032515
AL,eec,nmp,0.001097812654391009
AL,eec,ote,1.287632339779181e-05
AL,eec,mch,0.005348360448520992
AL,eec,pla,0.0011511920951991026
AL,eec,tsv,0.03658271975657535
AL,eec,fpd,0.00013651271522861788
AL,eec,fmt,0.0020357777716075954
AL,eec,pet,3.8104881985652535e-05
AL,eec,cep,0.002078471795538818
AL,eec,mot,0.0008425830958366653
AL,eec,pmt,0.008430594849780988
AL,eec,wht,0.026519381980706403
AL,eec,mmf,0.00014953386067503442
AL,fnd,com,0.033686833497439866
AL,fnd,con,0.005941565822083249
AL,fnd,fnd,7.808832706708657
AL,fnd,pub,0.004155115599885299
AL,fnd,fen,0.010371004712829372
AL,fnd,uti,0.0012230762920530445
AL,fnd,hos,0.031095243313366338
AL,fnd,fof,0.0023216607593485043
AL,fnd,fin,0.001895505977717745
AL,fnd,tsv,0.5853169067010044
AL,fnd,pri,0.00017922692893005627
AL,fnd,pmt,1.7345675581950802e-05
AL,fnd,che,0.00015122908924883823
AL,fnd,mmf,0.0013935467565627901
AL,pub,com,0.06223873386384549
AL,pub,con,8.111102689872822e-05
AL,pub,pub,1.3319713003444809
AL,pub,edu,0.0015026771651894596
AL,pub,dat,0.17526567071320454
AL,pub,tsv,0.16235776244892902
AL,pub,pri,0.005674660888121157
AL,pub,osv,7.253483241062003e-06
AL,pub,wst,3.5202312543327906e-06
AL,pub,adm,0.0005922852285567093
AL,pub,wht,0.006597162402155743
AL,pub,ott,0.009521813410593185
AL,hou,com,0.0008900758563673615
AL,hou,con,0.20956152355270083
AL,hou,hou,23.915046173460954
AL,hou,tsv,0.001881378352616992
AL,fbt,res,0.15564732328145625
AL,fbt,com,0.00014918766978334354
AL,fbt,fbp,0.13659082814154463
AL,fbt,rec,1.3433108236901213e-05
AL,fbt,fbt,3.3874844590667763
AL,fbt,bnk,0.0005772226274970331
AL,fbt,rnt,4.0780334426325194e-05
AL,fbt,tsv,1.3535243244154325e-05
AL,fbt,adm,2.6942083631392492e-05
AL,ins,com,0.021846741376984245
AL,ins,con,4.2499886536796727e-05
AL,ins,ins,10.19122891885411
AL,ins,leg,0.0008164212293965778
AL,ins,tsv,0.045769148345606324
AL,ins,sec,0.01538914505607093
AL,tex,ppd,3.4609385148166717e-05
AL,tex,com,0.00041947131723221227
AL,tex,con,0.0015627078662918004
AL,tex,tex,1.5337521661194893
AL,tex,nmp,3.429427229357309e-05
AL,tex,mch,0.00024267711186910765
AL,tex,pla,0.023319413460905623
AL,tex,tsv,0.008999814170017894
AL,tex,fpd,0.001808170358133777
AL,tex,pri,0.00850211359976792
AL,tex,fmt,0.0034539381645940907
AL,tex,cep,0.0013156093602685408
AL,tex,mot,0.025608569763448406
AL,tex,alt,0.008220699674756776
AL,tex,wht,0.014758517512753665
AL,tex,che,0.10566139816484091
AL,tex,mmf,0.0009933717323747262
AL,leg,com,0.0036193032359980435
AL,leg,con,1.862965616237338e-05
AL,leg,leg,3.6309425307513488
AL,leg,tsv,0.0031157876253482806
AL,fen,res,0.020489002122525975
AL,fen,com,0.009918907954376052
AL,fen,ins,0.1939663220395641
AL,fen,fen,1.186908975430451
AL,fen,uti,0.364508514529538
AL,fen,ore,0.012128353266832242
AL,fen,mov,7.566143768275703e-05
AL,fen,gmt,0.042869771551501734
AL,fen,ott,0.0007544873782236156
AL,uti,com,0.007494606595078167
AL,uti,con,0.05675069800459277
AL,uti,uti,10.455880753043886
AL,uti,oil,0.0019573115089924313
AL,uti,tsv,0.023578473880308523
AL,uti,pip,0.061314773044699636
AL,uti,sle,0.09365758346382168
AL,uti,wst,0.00013034271063568266
AL,uti,wht,0.030883138537964743
AL,uti,ott,0.01930981301229465
AL,nmp,ppd,0.0007212997919286058
AL,nmp,com,0.0008066748399914795
AL,nmp,con,0.02525566697932021
AL,nmp,eec,0.0015983053663051788
AL,nmp,tex,0.0005857776850892073
AL,nmp,nmp,3.5849377093041035
AL,nmp,ote,2.6337563138596083e-05
AL,nmp,mch,0.00023225611905479507
AL,nmp,pla,0.0045570282540883114
AL,nmp,tsv,0.022461607212724468
AL,nmp,fpd,0.0027170607395598833
AL,nmp,fmt,0.0007455858808092023
AL,nmp,pet,0.0031959088340162995
AL,nmp,mot,0.0004961832142571549
AL,nmp,alt,0.0019387546069276223
AL,nmp,pmt,2.9449020269721172e-05
AL,nmp,wpd,0.0005090640648128944
AL,nmp,wht,0.034288263591696046
AL,nmp,che,0.004785426345693538
AL,nmp,mmf,0.0005354219208729194
AL,nmp,min,0.016526392902766477
AL,brd,com,0.02123825914271147
AL,brd,con,0.007980145949465632
AL,brd,brd,5.142794528635306
AL,brd,dat,4.7214962079242694e-05
AL,brd,rnt,0.06310102617098927
AL,brd,tsv,0.8171677088037829
AL,brd,mov,0.008927251348739389
AL,brd,osv,0.005213382935935996
AL,brd,wht,0.0008411930753964762
AL,brd,ott,0.026548859945313644
AL,bnk,com,0.02560491752837728
AL,bnk,con,3.995626989988867e-05
AL,bnk,bnk,11.188355340688837
AL,bnk,rnt,0.6363098953697541
AL,bnk,tsv,0.050116174836808546
AL,bnk,sec,0.3594968691641807
AL,ore,com,0.0027409551678408135
AL,ore,con,0.0037809454882824136
AL,ore,ins,0.003923388270695517
AL,ore,bnk,0.019302645413745954
AL,ore,ore,15.673987252027946
AL,ore,amd,0.0007566211962562233
AL,ore,tsv,0.008727305632062513
AL,ore,osv,0.0028198412591789036
AL,edu,res,0.024850190754178977
AL,edu,com,0.023058760208092336
AL,edu,con,0.002613883795405616
AL,edu,ins,0.0006066004013730628
AL,edu,ore,0.0004292238523149475
AL,edu,edu,1.4742975720839158
AL,edu,amd,0.08461199454750275
AL,edu,tsv,0.17081823539577465
AL,edu,art,0.008110245627427876
AL,edu,osv,8.383094403088112e-05
AL,edu,ott,0.003239246172178814
AL,ote,com,0.01292088818702077
AL,ote,con,0.023281258730468227
AL,ote,eec,0.010893980561733555
AL,ote,ote,6.879733252106273
AL,ote,mch,0.01747023091096051
AL,ote,pla,0.00577616342378352
AL,ote,tsv,0.42829921926106396
AL,ote,fmt,0.0010020257629560333
