r,s,value
AL,ppd,0.4693549206852988
AL,com,0.34145559758599914
AL,amb,0.0013124309771518293
AL,fbp,1.138677149462742
AL,agr,0.4737436533788768
AL,eec,1.1565005284474787
AL,pub,0.03795344880322928
AL,ins,0.5214871153430423
AL,tex,0.5347476078477865
AL,leg,0.04304040347567601
AL,fen,0.002923074569707472
AL,uti,0.031301887028579785
AL,nmp,0.3393425035606709
AL,brd,0.0018902430788994137
AL,bnk,0.06724875202671671
AL,edu,0.020541379609296685
AL,ote,0.9410004907653666
AL,mch,1.6314318112536708
AL,dat,0.013031658799422191
AL,oil,1.7028970931530232
AL,hos,0.05664934521592731
AL,pla,0.7255707576465178
AL,fof,0.3445958461608231
AL,tsv,0.9346298893987437
AL,nrs,0.0003732855816983136
AL,sec,0.0004915156956890418
AL,art,0.010132177196999657
AL,mov,0.06496351998561149
AL,fpd,0.7011904758512215
AL,pri,0.027184693697490495
AL,osv,0.0609121198749008
AL,smn,0.002038796909622969
AL,fmt,0.962445256636007
AL,pet,0.6842848001552879
AL,cep,3.0609440099818923
AL,wst,0.002967598528396421
AL,mot,8.930011681025256
AL,adm,0.021026848924620454
AL,alt,1.5941384754433494
AL,pmt,2.494409988426969
AL,wpd,0.4442347674858022
AL,che,3.134687245885124
AL,air,0.44725299167847204
AL,mmf,1.0214649389253452
AL,otr,0.0004673502440512031
AL,min,0.11549249729576745
AK,ppd,0.043500147870070074
AK,com,0.08596060059436605
AK,amb,0.00033249590872397864
AK,fbp,0.2798283093430799
AK,agr,0.0995619346492092
AK,eec,0.22621515583858
AK,pub,0.0085149195369587
AK,ins,0.09811421632768448
AK,tex,0.047925200807701934
AK,leg,0.008183712664887204
AK,fen,0.0008217892127767987
AK,uti,0.007265743876687887
AK,nmp,0.06861510715877085
AK,brd,0.00048539104939093107
AK,bnk,0.014488531224632466
AK,edu,0.004831540388140682
AK,ote,0.17896717115612173
AK,mch,0.3385866479974609
AK,dat,0.0033047340039225642
AK,oil,1.025936553979514
AK,hos,0.014186995017171371
