r,h,value
AL,hh1,12.105713521646102
AL,hh2,12.040090691792559
AL,hh3,7.790145870475769
AL,hh4,6.903286482938319
AL,hh5,4.072185093764881
AK,hh1,1.0248233712279113
AK,hh2,1.488338890401509
AK,hh3,1.2440573717115568
AK,hh4,1.2890005465320942
AK,hh5,1.2802522526861484
AR,hh1,8.120487016859228
AR,hh2,8.656992694853423
AR,hh3,5.077238530080966
AR,hh4,3.982428853392336
AR,hh5,2.9806374067827637
AZ,hh1,12.327897228128165
AZ,hh2,14.95142080535538
AZ,hh3,12.11081747979098
AZ,hh4,17.41313577135192
AZ,hh5,8.45359627600773
CA,hh1,67.33300918685691
CA,hh2,81.87245980535656
CA,hh3,57.71320727349379
CA,hh4,61.59273906425183
CA,hh5,68.2192597839994
CO,hh1,7.887984656130991
CO,hh2,10.998125296523666
CO,hh3,8.075966939605458
CO,hh4,9.808983324834577
CO,hh5,6.985590476085585
CT,hh1,7.411290879593654
CT,hh2,8.78737701136169
CT,hh3,6.3764674347363846
CT,hh4,7.1955056355892175
CT,hh5,7.27150210216125
DE,hh1,2.0481299542647355
DE,hh2,2.625513736505512
DE,hh3,1.853155912746773
DE,hh4,1.6087634802814437
DE,hh5,1.6123014272343374
DC,hh1,2.1004876835432573
DC,hh2,1.2970656832555134
DC,hh3,0.9051820181341648
DC,hh4,1.0204491310300985
DC,hh5,2.101203212553992
FL,hh1,44.21623800858458
FL,hh2,58.31870199815017
FL,hh3,36.18073959782758
FL,hh4,37.679427398396875
FL,hh5,26.88661423798883
GA,hh1,16.64070670150691
GA,hh2,20.098390494136588
GA,hh3,12.024523944061578
GA,hh4,12.153212959242442
GA,hh5,8.042991174614443
HI,hh1,1.7078848424389776
HI,hh2,2.240038646377441
HI,hh3,1.7169226841456584
HI,hh4,2.2822846916642945
HI,hh5,3.2326332545096372
ID,hh1,2.4416079382763662
ID,hh2,4.260353312503779
ID,hh3,2.448006515801038
ID,hh4,2.261967312175486
ID,hh5,1.4570720048998418
IL,hh1,24.884589993775233
IL,hh2,28.140722901136048
IL,hh3,19.304816944715533
IL,hh4,18.68968462770089
IL,hh5,15.637732718242187
IN,hh1,14.664744904147675
IN,hh2,17.124358089069162
IN,hh3,10.626875546923209
IN,hh4,10.165433833799215
IN,hh5,5.690196892252968
IA,hh1,5.4254439413460265
IA,hh2,6.6708966086962755
IA,hh3,5.497337871300143
IA,hh4,5.645523713937553
IA,hh5,2.4907126107518867
KS,hh1,4.959644913088472
KS,hh2,6.463655968530442
KS,hh3,4.42572657338767
KS,hh4,4.730170034166379
KS,hh5,2.5654592575163377
KY,hh1,13.042334996617315
KY,hh2,13.650402132400359
KY,hh3,8.149965520707186
KY,hh4,5.677714413866984
KY,hh5,3.419471875220652
LA,hh1,14.734066295366137
LA,hh2,12.145293288011302
LA,hh3,6.779683537441792
LA,hh4,5.592006206499969
LA,hh5,3.873350543016425
ME,hh1,3.160043121570677
ME,hh2,4.607200151016264
ME,hh3,2.615800618428791
ME,hh4,2.206857212786622
ME,hh5,1.5164548202248749
MD,hh1,9.886282569749921
MD,hh2,12.039783618976267
MD,hh3,8.838374013353528
MD,hh4,11.047961194616668
MD,hh5,12.846294332167163
MA,hh1,14.976830426270636
MA,hh2,17.943721593408885
MA,hh3,11.374798787808054
MA,hh4,12.035456202730934
MA,hh5,16.173254970105752
MI,hh1,22.419199573335977
MI,hh2,27.603049235215174
MI,hh3,18.813275274874723
MI,hh4,19.01864847260549
MI,hh5,9.762071338334318
MN,hh1,10.655169686138704
MN,hh2,13.631775814854386
MN,hh3,9.20777229893735
MN,hh4,12.834547130920033
MN,hh5,8.153378972718723
MS,hh1,9.238531699018969
MS,hh2,7.416904163711515
MS,hh3,4.641550858397444
MS,hh4,3.931484508332682
MS,hh5,1.9638782313975125
MO,hh1,13.226218747092213
MO,hh2,15.579790830616163
MO,hh3,10.1474189073452
MO,hh4,11.230883847940305
MO,hh5,6.682298776054414
MT,hh1,2.09364481937639
MT,hh2,2.6978737505518984
MT,hh3,1.9717252514605181
MT,hh4,1.9687160788673022
MT,hh5,1.5112484937005277
NE,hh1,3.124964387287229
NE,hh2,4.028782449726047
NE,hh3,2.6804226143146344
NE,hh4,3.101672972786396
NE,hh5,1.75533876855026
NV,hh1,4.582081846255502
NV,hh2,6.997865950456984
NV,hh3,4.408787162299429
NV,hh4,5.80055813551582
NV,hh5,2.8364113986057853
NH,hh1,2.22795123541578
NH,hh2,3.234160233930357
NH,hh3,2.444566563524714
NH,hh4,2.552270073192808
NH,hh5,2.840844792866217
NJ,hh1,16.944985965640058
NJ,hh2,17.693658758612877
NJ,hh3,13.549486369465095
NJ,hh4,15.319567114336396
NJ,hh5,18.532528488399556
NM,hh1,5.0311910831070215
NM,hh2,5.340635634859994
NM,hh3,3.400558124772913
NM,hh4,3.014908960077546
NM,hh5,2.58255287025844
NY,hh1,56.708063475106385
NY,hh2,56.658688397839505
NY,hh3,36.64524678920728
NY,hh4,39.19358033704471
NY,hh5,39.15540777813562
NC,hh1,22.4445266970006
NC,hh2,25.862219324913795
NC,hh3,14.40926766714487
NC,hh4,13.967918233595931
NC,hh5,11.159791672323152
ND,hh1,1.4937762225676559
ND,hh2,1.5172239846701419
ND,hh3,1.1746780083133888
ND,hh4,0.9563754453163761
ND,hh5,0.6953987532658961
OH,hh1,28.801375930602354
OH,hh2,31.80313713075313
OH,hh3,18.41814267697848
OH,hh4,16.97957878984502
OH,hh5,13.258952952691768
OK,hh1,8.089846095834885
OK,hh2,9.95762391750723
OK,hh3,6.214978486161283
OK,hh4,5.9790368446570845
OK,hh5,3.4869170343871136
OR,hh1,8.625370107471607
OR,hh2,10.308843772857374
OR,hh3,7.794936397846964
OR,hh4,9.352748370220304
OR,hh5,6.185089985702358
PA,hh1,32.21433869811507
PA,hh2,36.31999014370599
PA,hh3,25.62816649746228
PA,hh4,23.073845029890073
PA,hh5,19.827590294090996
RI,hh1,2.4873015862757146
RI,hh2,2.4314506936651346
RI,hh3,1.7119434649367427
RI,hh4,1.9515538388694633
RI,hh5,1.738975644809683
SC,hh1,11.456469434459382
SC,hh2,13.44819987006369
SC,hh3,8.889485223403454
SC,hh4,8.61567555761538
SC,hh5,5.826243669267196
SD,hh1,1.470194381849134
SD,hh2,2.0533371084233476
SD,hh3,1.4887356886303924
SD,hh4,1.1288772279343005
SD,hh5,0.7524765469833777
TN,hh1,14.811838193774253
TN,hh2,19.371691772678286
TN,hh3,10.742363937651504
TN,hh4,8.9332166230347
TN,hh5,6.721489570961431
TX,hh1,46.196441695741036
TX,hh2,57.21514382919454
TX,hh3,34.53052490195055
TX,hh4,36.68470248859109
TX,hh5,28.633168942150597
UT,hh1,2.305773946037365
UT,hh2,4.2114836017610715
UT,hh3,4.0701788432739665
UT,hh4,3.698075992306001
UT,hh5,2.6773408195624255
VT,hh1,1.5714773637810833
VT,hh2,1.7141170166992998
VT,hh3,1.1966584703796292
VT,hh4,1.2502458901607074
VT,hh5,0.9277851329774683
VA,hh1,13.76434238511274
VA,hh2,14.903867557732399
VA,hh3,9.94688606060457
VA,hh4,15.15171939692005
VA,hh5,13.251817266393228
WA,hh1,11.184258681855017
WA,hh2,15.566625189381131
WA,hh3,12.697424544873574
WA,hh4,15.209096392987728
WA,hh5,10.826155113782658
WV,hh1,6.474254765415722
WV,hh2,6.070138896816745
WV,hh3,3.0688964455462675
WV,hh4,3.098872738829615
WV,hh5,1.6675955885433713
WI,hh1,11.105935601649632
WI,hh2,15.578037489066846
WI,hh3,9.694123595921376
WI,hh4,9.564636015264222
WI,hh5,7.145230713735513
WY,hh1,0.9646284804793551
WY,hh2,1.2770592615672365
WY,hh3,0.8381042136119721
WY,hh4,0.9919865824873246
WY,hh5,0.6047834639799835
