r,q,h,value
AL,AL,hh1,2.2638539026587967
AL,AL,hh2,9.923209767953956
AL,AL,hh3,16.91919404646461
AL,AL,hh4,39.988834599074174
AL,AL,hh5,49.56656704771534
AL,GA,hh1,0.6800676615047726
AL,GA,hh2,0.4383161904808826
AL,GA,hh3,0.6800676615047726
AL,GA,hh4,0.6800676615047726
AL,GA,hh5,0.6800676615047726
AK,AK,hh1,0.48259024699826486
AK,AK,hh2,2.4218127982937916
AK,AK,hh3,4.255109902738491
AK,AK,hh4,15.857561752470355
AK,AK,hh5,15.915815331017267
AR,AR,hh1,1.4191987052918131
AR,AR,hh2,7.451126196378652
AR,AR,hh3,9.408782654347217
AR,AR,hh4,22.201717483053333
AR,AR,hh5,23.605699012427987
AZ,AZ,hh1,3.5126607494662387
AZ,AZ,hh2,17.031239226795794
AZ,AZ,hh3,24.70792575714459
AZ,AZ,hh4,72.73443750482588
AZ,AZ,hh5,67.13408810033144
CA,CA,hh1,17.319693829848624
CA,CA,hh2,85.00026927158449
CA,CA,hh3,128.2269548157261
CA,CA,hh4,431.6256243572842
CA,CA,hh5,778.4233021495703
CO,CO,hh1,1.8212653385370787
CO,CO,hh2,11.020057165499686
CO,CO,hh3,21.569629100555932
CO,CO,hh4,68.11652361617223
CO,CO,hh5,98.2862741965682
CT,CT,hh1,0.9778073270457112
CT,CT,hh2,4.71650394267117
CT,CT,hh3,12.420444615904875
CT,CT,hh4,42.376844231420534
CT,CT,hh5,67.91320837855551
CT,MA,hh1,0.2752159039797231
CT,MA,hh2,0.5388577420481175
CT,MA,hh3,0.043141873463542514
CT,MA,hh4,0.5388577420481175
CT,MA,hh5,0.5388577420481175
CT,NY,hh1,0.2753100913617192
CT,NY,hh2,1.5710754335984727
CT,NY,hh3,1.4636597077787785
CT,NY,hh4,1.5710754335984727
CT,NY,hh5,1.5710754335984727
DE,DE,hh1,0.26312644609058167
DE,DE,hh2,1.4561968392737454
DE,DE,hh3,3.3604724784229707
DE,DE,hh4,9.919407062468853
DE,DE,hh5,14.837604626872858
DE,MD,hh1,0.14359367253456345
DE,MD,hh2,0.35416434527621254
DE,MD,hh3,0.35416434527621254
DE,MD,hh4,0.35416434527621254
DE,MD,hh5,0.35416434527621254
DE,PA,hh1,0.03926240500839841
DE,PA,hh2,0.40072070923910524
DE,PA,hh3,0.4214305375416126
DE,PA,hh4,0.49078006260498
DE,PA,hh5,0.49078006260498
DC,DC,hh1,0.2087328144251746
DC,DC,hh2,0.9031128486903478
DC,DC,hh3,1.5922805079890818
DC,DC,hh4,10.775994468873195
DC,DC,hh5,33.04359144256699
DC,MD,hh1,0.0947484397285476
DC,MD,hh2,0.24786453070075318
DC,MD,hh3,0.6262282234631665
DC,MD,hh4,1.184355496606845
DC,MD,hh5,1.184355496606845
DC,VA,hh1,0.13444664017805813
DC,VA,hh2,0.7437812832262166
DC,VA,hh3,1.122144975988634
DC,VA,hh4,1.1457093446842175
DC,VA,hh5,1.1457093446842175
FL,FL,hh1,12.017164169550268
FL,FL,hh2,52.96441453418599
FL,FL,hh3,76.8925076997195
FL,FL,hh4,199.73750476911084
FL,FL,hh5,224.09310668590467
GA,FL,hh1,0.022982287690369405
GA,FL,hh2,0.1680904168076316
GA,FL,hh3,0.16817855184750938
