r,g,h,value
AL,cep,hh3,0.25849808060864704
AL,cep,hh4,0.37229700642394964
AL,cep,hh5,0.4363209567019584
AL,wst,hh1,0.06131120709465967
AL,wst,hh2,0.06505787473245067
AL,wst,hh3,0.06565448958701063
AL,wst,hh4,0.0702326786882852
AL,wst,hh5,0.07095565145234548
AL,mot,hh1,0.40127863735672087
AL,mot,hh2,0.6775488782543987
AL,mot,hh3,0.7634847364694323
AL,mot,hh4,1.6713438738937123
AL,mot,hh5,1.9699754341439415
AL,adm,hh1,0.13157885597920319
AL,adm,hh2,0.1513116298612476
AL,adm,hh3,0.15579043212423657
AL,adm,hh4,0.1900448403303304
AL,adm,hh5,0.21057825128764843
AL,soc,hh1,0.25642051862009957
AL,soc,hh2,0.3531707758953837
AL,soc,hh3,0.3861117553090327
AL,soc,hh4,0.7323014183467531
AL,soc,hh5,1.1612018281785585
AL,alt,hh1,0.3825631119954866
AL,alt,hh2,0.637083113718372
AL,alt,hh3,0.7211430413914912
AL,alt,hh4,1.5996696628333917
AL,alt,hh5,1.9768422558113754
AL,pmt,hh1,0.0031019600598981875
AL,pmt,hh2,0.0031110066980854054
AL,pmt,hh3,0.0031125138310698634
AL,pmt,hh4,0.0031217305935866252
AL,pmt,hh5,0.0031240418509751126
AL,trk,hh1,0.01975994822786558
AL,trk,hh2,0.020136444680359692
AL,trk,hh3,0.020201653454360962
AL,trk,hh4,0.020608618168355113
AL,trk,hh5,0.02072714484432083
AL,wtt,hh1,0.03590036118115411
AL,wtt,hh2,0.0371692663313723
AL,wtt,hh3,0.037384287958242474
AL,wtt,hh4,0.03881282426963369
AL,wtt,hh5,0.03912679470654252
AL,wpd,hh1,0.01644536526355084
AL,wpd,hh2,0.016704897286276426
AL,wpd,hh3,0.016749417871007866
AL,wpd,hh4,0.017026304897202926
AL,wpd,hh5,0.017102622174469853
AL,wrh,hh1,0.0006589490182030973
AL,wrh,hh2,0.0006593557353751372
AL,wrh,hh3,0.0006594231220505613
AL,wrh,hh4,0.0006598340430395346
AL,wrh,hh5,0.0006599349650467538
AL,ott,hh1,0.018690482914891816
AL,ott,hh2,0.01902678418613308
AL,ott,hh3,0.019084884980041066
AL,ott,hh4,0.01944699213042437
AL,ott,hh5,0.019551501875884215
AL,che,hh1,0.42363544896132915
AL,che,hh2,0.759023071965394
AL,che,hh3,0.8780955221422008
AL,che,hh4,2.033365425056513
AL,che,hh5,2.5910520994472415
AL,air,hh1,0.16127555629138968
AL,air,hh2,0.19216973116390887
AL,air,hh3,0.19874754842181372
AL,air,hh4,0.2562769546501294
AL,air,hh5,0.2728095451238432
AL,mmf,hh1,0.27490454958079297
AL,mmf,hh2,0.3872056758435492
AL,mmf,hh3,0.4223939614712221
AL,mmf,hh4,0.7992040989946275
AL,mmf,hh5,1.0759150389404992
AL,otr,hh1,0.028890903914566963
AL,otr,hh2,0.029706954268464827
AL,otr,hh3,0.029847095216648047
AL,otr,hh4,0.030748290747786882
AL,otr,hh5,0.030966952258250423
AL,min,hh1,0.0010327728011360442
AL,min,hh2,0.00103377247729197
AL,min,hh3,0.0010339381819199657
AL,min,hh4,0.0010349492774286843
AL,min,hh5,0.0010351971297101476
AK,ppd,hh1,0.018137179127100653
AK,ppd,hh2,0.024927812548306172
AK,ppd,hh3,0.026133542658563297
AK,ppd,hh4,0.029105206378023066
AK,ppd,hh5,0.028266381713721325
AK,res,hh1,0.04720158433015423
AK,res,hh2,0.16290245599125175
AK,res,hh3,0.23151790213306958
AK,res,hh4,1.0158692496557917
AK,res,hh5,0.581366544512786
AK,amb,hh1,0.04849993191782813
AK,amb,hh2,0.18419849984650577
AK,amb,hh3,0.2840397026814175
AK,amb,hh4,1.8128005049059488
AK,amb,hh5,1.034375526914049
AK,fbp,hh1,0.04909765278928698
AK,fbp,hh2,0.19074502031483334
AK,fbp,hh3,0.2916212980681252
AK,fbp,hh4,1.611646319143415
AK,fbp,hh5,0.90140905273441
AK,rec,hh1,0.03995528750435258
AK,rec,hh2,0.09961303964346443
AK,rec,hh3,0.12230217588174065
AK,rec,hh4,0.2456114915601958
AK,rec,hh5,0.1942511219201124
AK,agr,hh1,0.03484825479319542
AK,agr,hh2,0.07299816740424146
AK,agr,hh3,0.08438386567705349
AK,agr,hh4,0.1271989315635627
AK,agr,hh5,0.11177676140425771
AK,eec,hh1,0.028805714774393223
AK,eec,hh2,0.050743694090377815
AK,eec,hh3,0.05602561367846422
AK,eec,hh4,0.07222110227492701
AK,eec,hh5,0.067131295696503
AK,pub,hh1,0.03086697904738229
AK,pub,hh2,0.05749821497107711
AK,pub,hh3,0.06434685026603303
AK,pub,hh4,0.08643181090387701
AK,pub,hh5,0.07913781111292759
AK,hou,hh1,0.053586460417050646
AK,hou,hh2,0.28016605343260925
AK,hou,hh3,0.4904944733471438
AK,hou,hh4,2.5328837609249355
AK,hou,hh5,1.4616601230949715
AK,ins,hh1,0.04171876912632455
AK,ins,hh2,0.11132340262657194
AK,ins,hh3,0.13997779420129458
AK,ins,hh4,0.31353029540051763
AK,ins,hh5,0.2341754817636615
AK,tex,hh1,0.016983121396978572
AK,tex,hh2,0.022798674385065477
AK,tex,hh3,0.02380331559682716
AK,tex,hh4,0.02624465526308566
AK,tex,hh5,0.025563811254013556
AK,leg,hh1,0.02567426634892073
AK,leg,hh2,0.041776467326461224
AK,leg,hh3,0.045291498816071044
AK,leg,hh4,0.05526882773714824
AK,leg,hh5,0.052276471497717254
AK,fen,hh1,0.003919325766986151
AK,fen,hh2,0.004164460432041624
AK,fen,hh3,0.004196666049941995
AK,fen,hh4,0.004265211039031987
AK,fen,hh5,0.004247229876757997
AK,uti,hh1,0.0393378991855054
AK,uti,hh2,0.09563813771120712
AK,uti,hh3,0.11561701008220984
AK,uti,hh4,0.2084533748172642
AK,uti,hh5,0.16972395986477343
AK,nmp,hh1,0.007980713546385028
AK,nmp,hh2,0.009067670310376107
AK,nmp,hh3,0.009222020088226696
AK,nmp,hh4,0.009561930352534664
AK,nmp,hh5,0.009471576149336067
AK,brd,hh1,0.0406608576095623
AK,brd,hh2,0.1040746174811819
AK,brd,hh3,0.12865590153306797
AK,brd,hh4,0.2618337139122936
AK,brd,hh5,0.20355092418961096
AK,bnk,hh1,0.03857021056994024
AK,bnk,hh2,0.09123346063473964
AK,bnk,hh3,0.10926264743295189
AK,bnk,hh4,0.1888759958328919
AK,bnk,hh5,0.15653804996644333
AK,ore,hh1,0.0026768594635336973
AK,ore,hh2,0.0027889801398648536
AK,ore,hh3,0.0028033878336823016
AK,ore,hh4,0.002833802284381967
AK,ore,hh5,0.0028258749617921177
AK,edu,hh1,0.042299404863539926
AK,edu,hh2,0.11564662699546019
AK,edu,hh3,0.14764212288307316
AK,edu,hh4,0.3785265743638915
AK,edu,hh5,0.2726037329486419
AK,ote,hh1,0.014482828297327026
AK,ote,hh2,0.018509433163885168
AK,ote,hh3,0.019164727515549106
AK,ote,hh4,0.020701868953711164
AK,ote,hh5,0.020276675656259763
AK,mch,hh1,0.010349031234810752
AK,mch,hh2,0.012253887067814629
AK,mch,hh3,0.012537657506354648
AK,mch,hh4,0.013176343077687782
AK,mch,hh5,0.013004648836521216
AK,dat,hh1,0.015151719717446235
AK,dat,hh2,0.019616120198041515
AK,dat,hh3,0.02035358035639187
AK,dat,hh4,0.022096110527573945
AK,dat,hh5,0.021611490356537807
AK,amd,hh1,0.0376778923890728
AK,amd,hh2,0.08653570970904342
AK,amd,hh3,0.10282172699682966
AK,amd,hh4,0.17247141324211732
AK,amd,hh5,0.14503551665481854
AK,hos,hh1,0.04845883043540848
AK,hos,hh2,0.18348514615101122
AK,hos,hh3,0.28227697643832284
AK,hos,hh4,1.7910571379110614
AK,hos,hh5,1.0210795964349506
AK,rnt,hh1,0.031082307417068782
AK,rnt,hh2,0.05824635456643939
AK,rnt,hh3,0.06526925207695512
AK,rnt,hh4,0.08795943943265001
AK,rnt,hh5,0.08040037345555726
AK,pla,hh1,0.020696032593453116
AK,pla,hh2,0.03002980547966207
AK,pla,hh3,0.031796377790324674
AK,pla,hh4,0.03631024000509445
AK,pla,hh5,0.03500272406791578
AK,fof,hh1,0.005350152643015063
AK,fof,hh2,0.0058176353596685
AK,fof,hh3,0.005880694321979919
AK,fof,hh4,0.006016334949425034
AK,fof,hh5,0.005980531521093553
AK,fin,hh1,0.032602286689480876
AK,fin,hh2,0.06375567456155053
AK,fin,hh3,0.07215890613928697
AK,fin,hh4,0.10025359167694867
AK,fin,hh5,0.09051903595266621
AK,tsv,hh1,0.02064498971454505
AK,tsv,hh2,0.029922213242170374
AK,tsv,hh3,0.03167870642749907
AK,tsv,hh4,0.0361837690728631
AK,tsv,hh5,0.03489016624253461
AK,nrs,hh1,0.04087787387771532
AK,nrs,hh2,0.10555383164383006
AK,nrs,hh3,0.131249704969204
AK,nrs,hh4,0.280146681609666
AK,nrs,hh5,0.21509728155756758
AK,sec,hh1,0.035854856720924914
AK,sec,hh2,0.07743760660531664
AK,sec,hh3,0.09013047149555885
AK,sec,hh4,0.13856662427812053
AK,sec,hh5,0.12043842028639232
AK,art,hh1,0.029553664406572748
AK,art,hh2,0.0531086130925284
AK,art,hh3,0.05891956697776781
AK,art,hh4,0.07709136682907894
AK,art,hh5,0.07129475204692885
AK,mov,hh1,0.010503804247540924
AK,mov,hh2,0.012471502664134233
AK,mov,hh3,0.012765453759285963
AK,mov,hh4,0.013427262364553315
AK,mov,hh5,0.013248727377748676
AK,fpd,hh1,0.02891441166446368
AK,fpd,hh2,0.051080198395470164
AK,fpd,hh3,0.05644309040976875
AK,fpd,hh4,0.07301732245580807
AK,fpd,hh5,0.06783810610045392
AK,pri,hh1,0.0034313658741404237
AK,pri,hh2,0.00361780628753504
AK,pri,hh3,0.0036420853511930054
AK,pri,hh4,0.003693581234048447
AK,pri,hh5,0.003680100487983241
AK,grd,hh1,0.019149509104785755
AK,grd,hh2,0.0268806147408126
AK,grd,hh3,0.02828630973250309
AK,grd,hh4,0.03178955662680355
AK,grd,hh5,0.030786412077810913
AK,sle,hh1,0.02554529445828448
AK,sle,hh2,0.04143565639936336
AK,sle,hh3,0.04486690453178059
AK,sle,hh4,0.05440822508976353
AK,sle,hh5,0.05147658916425262
AK,osv,hh1,0.044543440304155475
AK,osv,hh2,0.13437124308434023
AK,osv,hh3,0.17877494635090493
AK,osv,hh4,0.5711354477615165
AK,osv,hh5,0.36814948900044503
AK,trn,hh1,0.0008586374693388594
AK,trn,hh2,0.0008698535576310273
AK,trn,hh3,0.0008712492359603319
AK,trn,hh4,0.0008741580247443621
AK,trn,hh5,0.0008734038877776198
AK,fmt,hh1,0.014537176809538805
AK,fmt,hh2,0.018598250276555373
AK,fmt,hh3,0.019260563802784427
AK,fmt,hh4,0.020818619276433126
AK,fmt,hh5,0.02038941277093904
AK,pet,hh1,0.04000828999544899
AK,pet,hh2,0.09984667762480366
AK,pet,hh3,0.12207882881050469
AK,pet,hh4,0.23340789069289614
AK,pet,hh5,0.18579613953825644
AK,cep,hh1,0.036612457792157355
AK,cep,hh2,0.08117300130535772
AK,cep,hh3,0.09556337763565381
AK,cep,hh4,0.15575634846332484
AK,cep,hh5,0.13322245265283628
AK,wst,hh1,0.011219633680812881
AK,wst,hh2,0.013493226425508213
AK,wst,hh3,0.013836935088124213
AK,wst,hh4,0.014612967697768745
AK,wst,hh5,0.014401285055865099
AK,mot,hh1,0.042202799136869716
AK,mot,hh2,0.11487556295230496
AK,mot,hh3,0.14577228783611468
AK,mot,hh4,0.3463305539720193
AK,mot,hh5,0.2528276379735697
AK,adm,hh1,0.019094989557140698
AK,adm,hh2,0.026773122129912997
AK,adm,hh3,0.02817010518693223
AK,adm,hh4,0.031667260338370196
AK,adm,hh5,0.03067603405533219
AK,soc,hh1,0.040137969389413934
AK,soc,hh2,0.10075283183924191
AK,soc,hh3,0.1241064493552468
AK,soc,hh4,0.2553693394300503
AK,soc,hh5,0.2007111011824514
AK,alt,hh1,0.0402048185041672
AK,alt,hh2,0.10117265656849712
AK,alt,hh3,0.12446298610695702
AK,alt,hh4,0.24938807337503588
AK,alt,hh5,0.19610565599814464
AK,pmt,hh1,0.0005468944480037099
AK,pmt,hh2,0.0005514230900664443
AK,pmt,hh3,0.000551983623646076
AK,pmt,hh4,0.0005531496463971883
AK,pmt,hh5,0.0005528477659352517
AK,trk,hh1,0.006263931029189839
AK,trk,hh2,0.0069144576617605185
AK,trk,hh3,0.007003796203978127
AK,trk,hh4,0.007197669385590247
AK,trk,hh5,0.0071464882526318255
AK,wtt,hh1,0.010744234229851901
AK,wtt,hh2,0.012811806170080453
AK,wtt,hh3,0.013121674446152665
AK,wtt,hh4,0.013818811249874186
AK,wtt,hh5,0.013629426990178186
AK,wpd,hh1,0.003232401479803189
AK,wpd,hh2,0.003397326386577128
AK,wpd,hh3,0.003418731495610428
AK,wpd,hh4,0.0034640919476584707
AK,wpd,hh5,0.0034522417781346917
AK,wrh,hh1,0.00010699868160565716
AK,wrh,hh2,0.00010717087905624421
AK,wrh,hh3,0.00010719203223666856
AK,wrh,hh4,0.00010723590855300976
AK,wrh,hh5,0.00010722456444589777
AK,ott,hh1,0.0022735409614942368
AK,ott,hh2,0.002353912368286722
AK,ott,hh3,0.0023641660916382742
AK,ott,hh4,0.002385749522888393
AK,ott,hh5,0.0023801313770193473
AK,che,hh1,0.04392384079168114
AK,che,hh2,0.1288073673851195
AK,che,hh3,0.16925371664262076
AK,che,hh4,0.5051378547178966
AK,che,hh5,0.3362327808208031
AK,air,hh1,0.032830215853075086
AK,air,hh2,0.0646882977382695
AK,air,hh3,0.07347252360957438
AK,air,hh4,0.1037384065910239
AK,air,hh5,0.09331964109052504
AK,mmf,hh1,0.03707390095622819
AK,mmf,hh2,0.08347025032399946
AK,mmf,hh3,0.09877552132216615
AK,mmf,hh4,0.16479006253029585
AK,mmf,hh5,0.1397790959322151
AK,otr,hh1,0.008864538844642325
AK,otr,hh2,0.010226142053730321
AK,otr,hh3,0.01042268558395742
AK,otr,hh4,0.010857712648033127
AK,otr,hh5,0.010740896333051052
AK,min,hh1,0.00012729516579749038
AK,min,hh2,0.00012753896188251668
AK,min,hh3,0.00012756892063729635
AK,min,hh4,0.00012763106870839188
AK,min,hh5,0.00012761499874501596
AR,ppd,hh1,0.06502334612139105
AR,ppd,hh2,0.0713205325507461
AR,ppd,hh3,0.07011249317945417
AR,ppd,hh4,0.07770135553915351
AR,ppd,hh5,0.07970798187943476
AR,res,hh1,0.3831337147992055
AR,res,hh2,0.739872986557628
AR,res,hh3,0.6304357792504868
AR,res,hh4,1.4542148260905687
AR,res,hh5,1.4691670711511793
AR,amb,hh1,0.48199771817250864
AR,amb,hh2,1.142176352050562
AR,amb,hh3,1.0076516133511304
AR,amb,hh4,2.660299821303083
AR,amb,hh5,3.2975812788112506
AR,fbp,hh1,0.6056248263746168
AR,fbp,hh2,1.393223094916293
AR,fbp,hh3,1.1569472872583033
AR,fbp,hh4,2.705000532701592
AR,fbp,hh5,2.666019185324203
AR,rec,hh1,0.1460020799611222
AR,rec,hh2,0.1829523899783391
AR,rec,hh3,0.17558502741951013
AR,rec,hh4,0.2382474627637099
AR,rec,hh5,0.26770872765152565
AR,agr,hh1,0.16756728091766143
AR,agr,hh2,0.21843118764699032
AR,agr,hh3,0.20690252896930464
AR,agr,hh4,0.29634986845199324
AR,agr,hh5,0.31843191726453096
AR,eec,hh1,0.09417061541573414
AR,eec,hh2,0.10809757493992152
AR,eec,hh3,0.10540459087697707
AR,eec,hh4,0.12427538055914249
AR,eec,hh5,0.13086629630814037
AR,pub,hh1,0.14688334312838677
AR,pub,hh2,0.18445191920386841
AR,pub,hh3,0.17630708495904213
AR,pub,hh4,0.2375459954026358
AR,pub,hh5,0.2539235709286757
AR,hou,hh1,1.5140842836716615
AR,hou,hh2,2.7994193270736374
AR,hou,hh3,2.096926284173623
AR,hou,hh4,4.053382062537648
AR,hou,hh5,2.8915034806775513
AR,ins,hh1,0.3023625558308581
AR,ins,hh2,0.5153343255085086
AR,ins,hh3,0.45826621304592396
AR,ins,hh4,0.9909233919198651
AR,ins,hh5,1.0870552621622191
AR,tex,hh1,0.09188353856106934
AR,tex,hh2,0.10507146146356908
AR,tex,hh3,0.10254641044451898
AR,tex,hh4,0.12033807657733889
AR,tex,hh5,0.12702132251965026
AR,leg,hh1,0.11050454860700712
AR,leg,hh2,0.130226247268789
AR,leg,hh3,0.12645535604576444
AR,leg,hh4,0.15540127135712986
AR,leg,hh5,0.16891296984145987
AR,fen,hh1,0.009951545268544863
AR,fen,hh2,0.010084865482218262
AR,fen,hh3,0.010060016730725263
AR,fen,hh4,0.010193550212468448
AR,fen,hh5,0.01021703557526552
AR,uti,hh1,0.22958896545745877
AR,uti,hh2,0.32690322567198377
AR,uti,hh3,0.29068935290875514
AR,uti,hh4,0.46226460020213095
AR,uti,hh5,0.43319573619425683
AR,nmp,hh1,0.02504519111544276
AR,nmp,hh2,0.025912569474464558
AR,nmp,hh3,0.0257509960597442
AR,nmp,hh4,0.026665202188770346
AR,nmp,hh5,0.02686641062265773
AR,brd,hh1,0.25130909547954683
AR,brd,hh2,0.3845806593992482
AR,brd,hh3,0.3486652299720929
AR,brd,hh4,0.6475361293534737
AR,brd,hh5,0.6869865957645314
AR,bnk,hh1,0.2853785684662861
AR,bnk,hh2,0.4395739311426879
AR,bnk,hh3,0.37325857906327703
AR,bnk,hh4,0.6562415023218857
AR,bnk,hh5,0.5772389503886091
AR,ore,hh1,0.007632991185314252
AR,ore,hh2,0.007711059385767233
AR,ore,hh3,0.007696615503158617
AR,ore,hh4,0.007774454636058201
AR,ore,hh5,0.007788944235487175
AR,edu,hh1,0.23265789115761357
AR,edu,hh2,0.34776277117743776
AR,edu,hh3,0.3265211018361433
AR,edu,hh4,0.6461476730177182
AR,edu,hh5,0.9755175491982411
AR,ote,hh1,0.05962038039381527
AR,ote,hh2,0.06486901548169968
AR,ote,hh3,0.06384431469210126
AR,ote,hh4,0.06999273822870529
AR,ote,hh5,0.07129181562834158
AR,mch,hh1,0.03342118592968433
AR,mch,hh2,0.034989757155045965
AR,mch,hh3,0.03469608873464253
AR,mch,hh4,0.036394556270611465
AR,mch,hh5,0.0367865856553902
AR,dat,hh1,0.056472477336758795
AR,dat,hh2,0.06115472834898539
AR,dat,hh3,0.060236702086640725
AR,dat,hh4,0.06564937154023372
AR,dat,hh5,0.06671901774699301
AR,amd,hh1,0.12459341554199518
AR,amd,hh2,0.15030958712685086
AR,amd,hh3,0.14412461912423707
AR,amd,hh4,0.18067692598392762
AR,amd,hh5,0.18443630517129894
AR,hos,hh1,0.47828793579025375
AR,hos,hh2,1.1288867588688287
AR,hos,hh3,0.995871516109082
AR,hos,hh4,2.6301022717634126
AR,hos,hh5,3.260658368640574
AR,rnt,hh1,0.08078170180972942
AR,rnt,hh2,0.09080743913426546
AR,rnt,hh3,0.08873598803938078
AR,rnt,hh4,0.10123980012944389
AR,rnt,hh5,0.1034941976932661
AR,pla,hh1,0.07719308534358398
AR,pla,hh2,0.08628468446926053
AR,pla,hh3,0.08448432765408502
AR,pla,hh4,0.0958282136827318
AR,pla,hh5,0.09845739933299741
AR,fof,hh1,0.011684418879184694
AR,fof,hh2,0.011868806292877855
AR,fof,hh3,0.01183434034935869
AR,fof,hh4,0.012019881940911963
AR,fof,hh5,0.012052399110562675
AR,fin,hh1,0.20014708016059557
AR,fin,hh2,0.2714084357378188
AR,fin,hh3,0.24640297162067362
AR,fin,hh4,0.36481465918093053
AR,fin,hh5,0.3505551972893859
AR,tsv,hh1,0.08272200102168899
AR,tsv,hh2,0.09324267759819965
AR,tsv,hh3,0.09122105513657414
AR,tsv,hh4,0.10483979148777404
AR,tsv,hh5,0.10925787764313427
AR,nrs,hh1,0.21859912051718391
AR,nrs,hh2,0.3151475281846286
AR,nrs,hh3,0.2943143045184267
