r,g,m,value
LA,air,trn,0.07599049900643957
LA,otr,trn,0.03717903949034875
ME,fbt,trd,0.4190442975176441
ME,pip,trn,0.10943487553864578
ME,trn,trn,0.11732770433491796
ME,mvt,trd,0.501580465822766
ME,trk,trn,0.4850966692958387
ME,gmt,trd,0.36928775230993316
ME,wtt,trn,0.0464621079743495
ME,wht,trd,3.342597714491578
ME,ott,trd,1.7213415488901354
ME,air,trn,0.010716264604018911
ME,otr,trn,0.0052430294590917565
MD,fbt,trd,2.3076274219463357
MD,pip,trn,0.6638749388729019
MD,trn,trn,0.6614034717894808
MD,mvt,trd,2.762144346318175
MD,trk,trn,2.7346023945880154
MD,gmt,trd,2.0336240079330676
MD,wtt,trn,0.2049914373796989
MD,wht,trd,18.40729057092379
MD,ott,trd,9.479224474083683
MD,air,trn,0.06041006814111368
MD,otr,trn,0.029556172658410824
MA,fbt,trd,3.087574056970181
MA,pip,trn,0.8354677681971548
MA,trn,trn,0.7814129536502935
MA,mvt,trd,3.6957115105287492
MA,trk,trn,3.2307869936526874
MA,gmt,trd,2.7209612213872707
MA,wtt,trn,0.24218645862638385
MA,wht,trd,24.628704047016566
MA,ott,trd,12.683073224052807
MA,air,trn,0.07137127606640106
MA,otr,trn,0.034919042854613225
MI,fbt,trd,4.492752360645598
MI,pip,trn,1.0582633807268036
MI,trn,trn,1.5454434774415184
MI,mvt,trd,5.37765776847033
MI,trk,trn,4.76238560703151
MI,gmt,trd,3.9592912510117175
MI,wtt,trn,0.5013484539193557
MI,wht,trd,35.83741351793077
MI,ott,trd,18.45523576639981
MI,air,trn,0.10520580235152457
MI,otr,trn,0.051472891103264015
MN,fbt,trd,2.1212126891245493
MN,pip,trn,0.5003920752316624
MN,trn,trn,0.6846163817140556
MN,mvt,trd,2.5390128323496755
MN,trk,trn,2.8305772144560657
MN,gmt,trd,1.8693438158650304
MN,wtt,trn,0.21218590788698202
MN,wht,trd,16.92031302805095
MN,ott,trd,8.713473867686552
MN,air,trn,0.06253024671608107
MN,otr,trn,0.030593489217664152
MS,fbt,trd,1.1836550743511662
MS,pip,trn,0.3123142980190515
MS,trn,trn,0.4333724608911895
MS,mvt,trd,1.4167911771703343
MS,trk,trn,1.791797926453516
MS,gmt,trd,1.0431100590242117
MS,wtt,trn,0.1343168693059697
MS,wht,trd,9.441681391943956
MS,ott,trd,4.8621939759233115
MS,air,trn,0.039582586136245414
MS,otr,trn,0.019366138561149458
MO,fbt,trd,2.2062307007658335
MO,pip,trn,0.6341761968818137
MO,trn,trn,0.6572127559060899
MO,mvt,trd,2.6407762357296374
MO,trk,trn,2.717275691329635
MO,gmt,trd,1.9442669459752726
MO,wtt,trn,0.20369259195594877
MO,wht,trd,17.59847763519683
MO,ott,trd,9.06270910775328
MO,air,trn,0.06002730415079058
MO,otr,trn,0.02936890191143889
MT,fbt,trd,0.31603327991981117
MT,pip,trn,0.11470415148051202
MT,trn,trn,0.1591653687226095
MT,mvt,trd,0.37828010235839343
MT,trk,trn,0.658076373966888
MT,gmt,trd,0.2785080725070814
MT,wtt,trn,0.0809826452040303
MT,wht,trd,2.5209079933100838
MT,ott,trd,1.298195008930033
MT,air,trn,0.014537557149834195
MT,otr,trn,0.0071126314267404
NE,fbt,trd,0.761028193959328
NE,pip,trn,0.18205429607744963
NE,trn,trn,0.2526215380061939
NE,mvt,trd,0.9109224926615441
NE,trk,trn,1.0444751081925487
NE,gmt,trd,0.6706651131075105
NE,wtt,trn,0.1369382368621533
NE,wht,trd,6.070506428225513
NE,ott,trd,3.1261359667681767
NE,air,trn,0.02307348687417312
NE,otr,trn,0.01128891230997483
NV,fbt,trd,1.3315754389384995
NV,pip,trn,0.3263179463400527
NV,trn,trn,0.3739567192298679
NV,mvt,trd,1.5938463615837772
NV,trk,trn,1.546140870883979
NV,gmt,trd,1.1734666329781196
NV,wtt,trn,0.1313982648439015
NV,wht,trd,10.62160025857777
NV,ott,trd,5.469818208014032
NV,air,trn,0.03415577911827788
NV,otr,trn,0.016711024105190708
NH,fbt,trd,0.7154564993509105
NH,pip,trn,0.16038796631212265
NH,trn,trn,0.22838853277524937
NH,mvt,trd,0.8563748662043189
NH,trk,trn,0.762493839318717
NH,gmt,trd,0.6305045172693376
NH,wtt,trn,0.0571581113307177
NH,wht,trd,5.706993923351991
NH,ott,trd,2.9389374967078643
NH,air,trn,0.016844242103197106
NH,otr,trn,0.008241197919843775
NJ,fbt,trd,3.260676955827512
NJ,pip,trn,0.8632299516763954
NJ,trn,trn,1.1009843994705992
NJ,mvt,trd,3.902909253484493
NJ,trk,trn,3.811480304234592
NJ,gmt,trd,2.873510202046448
NJ,wtt,trn,0.28571642724213
NJ,wht,trd,26.009496859423276
NJ,ott,trd,13.39414175261071
NJ,air,trn,0.0841993649069459
NJ,otr,trn,0.04119530143725397
NM,fbt,trd,0.668720334430625
NM,pip,trn,0.17983563828980176
NM,trn,trn,0.22898449502080015
NM,mvt,trd,0.8004334120183221
NM,trk,trn,0.9467466911131002
NM,gmt,trd,0.5893177181713929
NM,wtt,trn,0.08660545041099917
NM,wht,trd,5.334192768504941
NM,ott,trd,2.7469556394444754
NM,air,trn,0.02091456960459978
NM,otr,trn,0.010232642493730288
NY,fbt,trd,6.398365862320237
NY,pip,trn,1.207214292028415
NY,trn,trn,1.6751504233964187
NY,mvt,trd,7.658606378224106
NY,trk,trn,6.925984749854817
NY,gmt,trd,5.638635728370362
NY,wtt,trn,0.5191861061602376
NY,wht,trd,51.0379528717296
NY,ott,trd,26.283075725063032
NY,air,trn,0.15300184462322103
NY,otr,trn,0.07485753742531531
NC,fbt,trd,4.000357681036361
NC,pip,trn,1.4399341307088163
NC,trn,trn,1.6194044976782391
NC,mvt,trd,4.7882796186420205
NC,trk,trn,5.070669544185188
NC,gmt,trd,3.525362605378236
NC,wtt,trn,0.6437422132573096
NC,wht,trd,31.909720573677415
NC,ott,trd,16.432587026195584
NC,air,trn,0.11201609904662063
NC,otr,trn,0.054804890406841576
ND,fbt,trd,0.3776118143637956
ND,pip,trn,0.10133181409852907
ND,trn,trn,0.1406096932512813
ND,mvt,trd,0.45198732179572865
ND,trk,trn,0.5813570993616239
ND,gmt,trd,0.3327748856102983
ND,wtt,trn,0.04357972759216643
ND,wht,trd,3.0121025274286075
ND,ott,trd,1.5511460465318028
ND,air,trn,0.01284275259038048
ND,otr,trn,0.006283432954981278
OH,fbt,trd,4.614279892562216
OH,pip,trn,1.0909096528652282
OH,trn,trn,1.5137641916199363
OH,mvt,trd,5.523121712091857
OH,trk,trn,6.258726117729015
OH,gmt,trd,4.066388828454283
OH,wtt,trn,0.5745950433397724
OH,wht,trd,36.80680423112902
OH,ott,trd,18.954444063139217
OH,air,trn,0.138261442320407
OH,otr,trn,0.06764566217136404
OK,fbt,trd,1.2642700391641213
OK,pip,trn,0.3328931188755063
OK,trn,trn,0.4619279714565648
OK,mvt,trd,1.5132842969734148
OK,trk,trn,1.9098619689047676
OK,gmt,trd,1.1141529519466884
OK,wtt,trn,0.22794347240730023
OK,wht,trd,10.08472414120427
OK,ott,trd,5.193342470764749
OK,air,trn,0.04219073745784549
OK,otr,trn,0.020642200203728714
OR,fbt,trd,1.6140812369929731
OR,pip,trn,0.48457399604926377
OR,trn,trn,0.4354801229476428
OR,mvt,trd,1.9319953129600422
OR,trk,trn,1.8005121499984356
OR,gmt,trd,1.4224282148349106
OR,wtt,trn,0.13497010548160399
OR,wht,trd,12.875069021907597
OR,ott,trd,6.630289716334833
OR,air,trn,0.03977509194227678
OR,otr,trn,0.019460323769276006
PA,fbt,trd,4.46969851012402
PA,pip,trn,1.063001733461116
PA,trn,trn,1.4750387032666128
PA,mvt,trd,5.350063165340968
PA,trk,trn,6.098613844813255
PA,gmt,trd,3.938974772081839
PA,wtt,trn,0.5989545257819499
PA,wht,trd,35.65351947971058
PA,ott,trd,18.360535633264057
PA,air,trn,0.13472440405253594
PA,otr,trn,0.06591513418221492
RI,fbt,trd,0.34901577203066414
RI,pip,trn,0.10041984753346546
RI,trn,trn,0.09323583803136559
RI,mvt,trd,0.417758920838821
RI,trk,trn,0.3854877647560116
RI,gmt,trd,0.307574284478822
RI,wtt,trn,0.02889695816328251
RI,wht,trd,2.783999994325398
RI,ott,trd,1.4336798118319551
RI,air,trn,0.00851580550889726
RI,otr,trn,0.004166434928669051
SC,fbt,trd,1.9083525858336863
SC,pip,trn,0.5687298665893037
SC,trn,trn,0.5338520444784911
SC,mvt,trd,2.2842271917952477
SC,trk,trn,2.2072352829306814
SC,gmt,trd,1.6817583277283417
SC,wtt,trn,0.16545891065502172
SC,wht,trd,15.2223882526004
SC,ott,trd,7.839091512250298
SC,air,trn,0.04876000771051807
SC,otr,trn,0.02385627513862537
SD,fbt,trd,0.34104208145304704
SD,pip,trn,0.10580702542055528
SD,trn,trn,0.1118865139532634
SD,mvt,trd,0.4082147092651523
SD,trk,trn,0.4625998229959181
SD,gmt,trd,0.3005473751795752
SD,wtt,trn,0.058336971061945096
SD,wht,trd,2.7203961222319384
SD,ott,trd,1.400925649633463
SD,air,trn,0.010219287046832538
SD,otr,trn,0.004999878690692624
TN,fbt,trd,3.179818565617987
TN,pip,trn,0.6686411146590753
TN,trn,trn,0.9278174171044682
TN,mvt,trd,3.806124762519633
TN,trk,trn,3.8361028309841108
TN,gmt,trd,2.8022527876089733
TN,wtt,trn,0.28756218264711797
TN,wht,trd,25.364512374697178
TN,ott,trd,13.06199331993059
TN,air,trn,0.0847433008450145
TN,otr,trn,0.04146142701855799
TX,fbt,trd,5.569923417671189
TX,pip,trn,1.5559943555853266
TX,trn,trn,2.159123380805573
TX,mvt,trd,6.666991530447959
TX,trk,trn,8.926992704448935
TX,gmt,trd,4.908561008072535
TX,wtt,trn,0.6691857908062597
TX,wht,trd,44.429702053198596
TX,ott,trd,22.88001688549374
TX,air,trn,0.1972060869390962
TX,otr,trn,0.09648486310669555
UT,fbt,trd,1.1143886013001136
UT,pip,trn,0.3518617704746737
UT,trn,trn,0.3767982267970459
UT,mvt,trd,1.3338817806586583
UT,trk,trn,1.5578892116908718
UT,gmt,trd,0.9820681589315783
UT,wtt,trn,0.19078580122995928
UT,wht,trd,8.889162348294178
UT,ott,trd,4.577662582191994
UT,air,trn,0.034415311571732166
UT,otr,trn,0.0168380027072813
VT,fbt,trd,0.2587573404045183
VT,pip,trn,0.0699439067363569
VT,trn,trn,0.07609557556681826
VT,mvt,trd,0.3097229293036581
VT,trk,trn,0.2988734356952122
VT,gmt,trd,0.22803297216485185
VT,wtt,trn,0.02240416935896113
VT,wht,trd,2.0640340407153355
VT,ott,trd,1.062918082305729
VT,air,trn,0.006602409422169988
VT,otr,trn,0.003230288573542687
VA,fbt,trd,3.2402712240902964
VA,pip,trn,1.0351049349523391
VA,trn,trn,1.0075537849360465
VA,mvt,trd,3.8784843502204756
VA,trk,trn,4.165776429185886
VA,gmt,trd,2.855527409172006
VA,wtt,trn,0.31227519573277374
VA,wht,trd,25.84672611496643
VA,ott,trd,13.310319507366348
VA,air,trn,0.09202611628140477
VA,otr,trn,0.04502461039346292
WA,fbt,trd,2.2342849112215886
WA,pip,trn,1.0563670179696854
WA,trn,trn,0.6972560578984999
WA,mvt,trd,2.674356084046497
WA,trk,trn,2.88283652399262
WA,gmt,trd,1.9689900513448175
WA,wtt,trn,0.21610337354837766
WA,wht,trd,17.822258128826682
WA,ott,trd,9.17794961660847
WA,air,trn,0.06368470648557396
WA,otr,trn,0.031158319109837365
WV,fbt,trd,0.5739305097863328
WV,pip,trn,0.14987538591120014
WV,trn,trn,0.2079695525671751
WV,mvt,trd,0.6869735112823134
WV,trk,trn,0.8598594665868524
WV,gmt,trd,0.5057830620691476
WV,wtt,trn,0.0644568396301486
WV,wht,trd,4.5780811757926525
WV,ott,trd,2.3575799468535035
WV,air,trn,0.018995144987474174
WV,otr,trn,0.009293546625537434
WI,fbt,trd,2.4574189642772115
WI,pip,trn,0.7660881065527476
WI,trn,trn,0.7651277951786348
WI,mvt,trd,2.941439261017421
WI,trk,trn,3.163455273677958
WI,gmt,trd,2.165629579444462
WI,wtt,trn,0.3667908425082764
WI,wht,trd,19.60213529261881
WI,ott,trd,10.094535091633885
WI,air,trn,0.0698838518617775
WI,otr,trn,0.03419130709862202
WY,fbt,trd,0.24050497367567658
WY,pip,trn,0.08816821916295328
WY,trn,trn,0.12234367223466652
WY,mvt,trd,0.2878755240043772
WY,trk,trn,0.5058354141238898
WY,gmt,trd,0.21194785771857594
WY,wtt,trn,0.04662980707687074
WY,wht,trd,1.9184400792336862
WY,ott,trd,0.9879413855649448
WY,air,trn,0.011174403963036213
WY,otr,trn,0.005467178287480736
