r,h,value
AL,hh1,1.0934747132928742
AL,hh2,4.16299411231152
AL,hh3,6.472281223985319
AL,hh4,15.925546525681908
AL,hh5,32.78247164444891
AK,hh1,0.35958462713251443
AK,hh2,0.6698257351171784
AK,hh3,0.7881563532522134
AK,hh4,4.548697770763135
AK,hh5,8.647068231670387
AR,hh1,0.8757295972148158
AR,hh2,2.943593401062278
AR,hh3,3.2205948873725254
AR,hh4,12.833009229897828
AR,hh5,20.274189925887477
AZ,hh1,2.990293969604509
AZ,hh2,7.282877955062191
AZ,hh3,10.425428278920847
AZ,hh4,36.10502443390919
AZ,hh5,48.086662573361295
CA,hh1,12.836478992785649
CA,hh2,41.78099777403742
CA,hh3,61.59769846463008
CA,hh4,209.78826474410803
CA,hh5,488.743900491906
CO,hh1,1.1848097802282214
CO,hh2,8.497053728349844
CO,hh3,9.076371921505036
CO,hh4,29.36724111437489
CO,hh5,61.71245129203132
CT,hh1,0.7677747969497275
CT,hh2,4.13341336623332
CT,hh3,4.3154517729923665
CT,hh4,18.355047049763083
CT,hh5,40.40150301747925
DE,hh1,0.2160456234547659
DE,hh2,0.7533511549857677
DE,hh3,0.8242494115114584
DE,hh4,3.4015442595200156
DE,hh5,8.361635173322595
DC,hh1,0.17047065705163533
DC,hh2,0.38888941514941017
DC,hh3,0.8601541719055632
DC,hh4,3.268251622001145
DC,hh5,15.012303863882611
FL,hh1,12.870272375387271
FL,hh2,28.614714272878587
FL,hh3,41.799286848897154
FL,hh4,127.08651106147359
FL,hh5,208.51333737860267
GA,hh1,2.48561371896237
GA,hh2,5.496550090972273
GA,hh3,12.468904890619244
GA,hh4,42.831764609432845
GA,hh5,83.63307098747468
HI,hh1,0.5162162962464407
HI,hh2,1.01663888512646
HI,hh3,1.5340302477769576
HI,hh4,7.265890967813877
HI,hh5,15.79995121874368
ID,hh1,0.2987585187304399
ID,hh2,2.399910781061634
ID,hh3,2.4606854986985827
ID,hh4,8.981559319145719
ID,hh5,13.060178869572024
IL,hh1,2.3881401267695126
IL,hh2,9.71047271372729
IL,hh3,16.940690221313286
IL,hh4,57.01636957142065
IL,hh5,127.85285367313492
IN,hh1,1.246445864110012
IN,hh2,3.963108824404416
IN,hh3,6.31177163802657
IN,hh4,28.51894076616549
IN,hh5,44.393192113457175
IA,hh1,0.7378527223642196
IA,hh2,3.384507130971251
IA,hh3,6.16888620188138
IA,hh4,22.832900643956915
IA,hh5,24.662620821568666
KS,hh1,1.0125535378297874
KS,hh2,3.1697571290998314
KS,hh3,5.244198907015531
KS,hh4,15.292154485683493
KS,hh5,46.921200104890474
KY,hh1,1.0655879911691122
KY,hh2,4.8793330349424275
KY,hh3,8.040289605069844
KY,hh4,22.51461937633803
KY,hh5,33.17782351647765
LA,hh1,1.9436153535450995
LA,hh2,3.6241631432900014
LA,hh3,4.715245371823905
LA,hh4,16.430867822216193
LA,hh5,31.155243136650245
ME,hh1,0.3697742969592405
ME,hh2,2.059277469693819
ME,hh3,3.477488390292735
ME,hh4,7.965277205290423
ME,hh5,14.535875424427024
MD,hh1,2.4181964243173573
MD,hh2,4.944503503754861
MD,hh3,7.290484439723244
MD,hh4,26.5149227088829
MD,hh5,96.70932184206607
MA,hh1,1.8372781816636792
MA,hh2,7.383579366403665
MA,hh3,8.696106383363423
MA,hh4,42.36202493152796
MA,hh5,87.34755341139392
MI,hh1,3.641407529319031
MI,hh2,10.935763339706538
MI,hh3,11.876066894547003
MI,hh4,35.9729177536314
MI,hh5,94.26530686469272
MN,hh1,1.8382991656877015
MN,hh2,5.493682349807723
MN,hh3,11.054975709733426
MN,hh4,36.63949586091588
MN,hh5,52.82646780047343
MS,hh1,1.1601857510205051
MS,hh2,3.250418706756077
MS,hh3,3.71955725832303
MS,hh4,10.11977833983256
MS,hh5,16.826752757966865
MO,hh1,2.5176539433745573
MO,hh2,5.442060059573163
MO,hh3,8.793937565915826
MO,hh4,35.984697735108554
MO,hh5,67.98468684334013
MT,hh1,0.4344266189375869
MT,hh2,1.9391449315590727
MT,hh3,2.356328371629895
MT,hh4,6.963663719897629
MT,hh5,10.428733973343862
NE,hh1,0.45383114365265886
NE,hh2,2.108321464488781
NE,hh3,3.6347233658061624
NE,hh4,12.494404272465953
NE,hh5,21.152591734646727
NV,hh1,1.0451665780690687
NV,hh2,3.6605134388639673
NV,hh3,2.2944747277450226
NV,hh4,13.689325134472293
NV,hh5,35.059170934140816
NH,hh1,0.44800309791431037
NH,hh2,1.7409650048170007
NH,hh3,2.928916800289596
NH,hh4,9.534023672884144
NH,hh5,18.73094576058449
NJ,hh1,1.5546577259557357
NJ,hh2,5.597002666543888
NJ,hh3,9.93971256662485
NJ,hh4,39.275054020898786
NJ,hh5,114.87055510965975
NM,hh1,1.06468123769043
NM,hh2,1.8411781526025994
NM,hh3,2.582151075270187
NM,hh4,9.59507602108369
NM,hh5,13.259822315182328
NY,hh1,6.2149006744620126
NY,hh2,19.985035230694372
NY,hh3,30.990781720661158
NY,hh4,99.11423021184672
NY,hh5,218.82581972467565
NC,hh1,3.1316929948008143
NC,hh2,11.752015348596142
NC,hh3,15.410616071734776
NC,hh4,46.73218696940862
NC,hh5,95.49655315825865
ND,hh1,0.05207331837038831
ND,hh2,1.1949880931454655
ND,hh3,1.8600386456309155
ND,hh4,5.703858492535654
ND,hh5,8.574553855711915
OH,hh1,2.768951823197595
OH,hh2,8.830721601475283
OH,hh3,14.599421030422134
OH,hh4,54.96227682662214
OH,hh5,96.7681605359332
OK,hh1,1.8392407282759924
OK,hh2,6.484872246467743
OK,hh3,7.063695992786389
OK,hh4,25.286101365098126
OK,hh5,41.34622347749027
