r,h,value
AL,hh1,4.029963647535064
AL,hh2,4.060140444150247
AL,hh3,4.093049096844211
AL,hh4,4.112650665552709
AL,hh5,4.121407482746616
AK,hh1,4.051467012215704
AK,hh2,4.095869106959612
AK,hh3,4.124723808180703
AK,hh4,4.143914554530408
AK,hh5,4.207012043035155
AR,hh1,4.023595617361367
AR,hh2,4.062620003263336
AR,hh3,4.0897895495905585
AR,hh4,4.103213022883131
AR,hh5,4.093964621091265
AZ,hh1,4.033721582714067
AZ,hh2,4.073571159512656
AZ,hh3,4.09123218723432
AZ,hh4,4.101458633318252
AZ,hh5,4.0946418367794095
CA,hh1,4.028936224912552
CA,hh2,4.073226612428132
CA,hh3,4.0923262087271
CA,hh4,4.109862645683227
CA,hh5,4.1023326156418545
CO,hh1,4.0299336701221415
CO,hh2,4.06227924089696
CO,hh3,4.09704588462826
CO,hh4,4.1162700657734765
CO,hh5,4.107217597392519
CT,hh1,4.026063863155482
CT,hh2,4.051725210951801
CT,hh3,4.097002879873212
CT,hh4,4.109715582264321
CT,hh5,4.103213186276694
DE,hh1,4.026575452405826
DE,hh2,4.061845609790388
DE,hh3,4.098735614187526
DE,hh4,4.1112881457766495
DE,hh5,4.102666347681255
DC,hh1,4.0265918865152805
DC,hh2,4.082461392730143
DC,hh3,4.114568108700781
DC,hh4,4.136368470351008
DC,hh5,4.146237089017557
FL,hh1,4.0284582107004425
FL,hh2,4.064951504106929
FL,hh3,4.087411609483327
FL,hh4,4.099610728940537
FL,hh5,4.087854707440705
GA,hh1,4.041804244511969
GA,hh2,4.085765537146494
GA,hh3,4.108323263654351
GA,hh4,4.124268937476635
GA,hh5,4.107584774409899
HI,hh1,4.0452262177514156
HI,hh2,4.099215710514345
HI,hh3,4.130866619505486
HI,hh4,4.140659514909851
HI,hh5,4.271826381246648
ID,hh1,4.0377997490121516
ID,hh2,4.05331680975027
ID,hh3,4.092337878553397
ID,hh4,4.101291722220686
ID,hh5,4.083942111143495
IL,hh1,4.027223362145106
IL,hh2,4.067676387111181
IL,hh3,4.103189900696091
IL,hh4,4.116191969730236
IL,hh5,4.106433265992283
IN,hh1,4.026453475225919
IN,hh2,4.067041431984334
IN,hh3,4.1043818969017325
IN,hh4,4.1122004292428285
IN,hh5,4.102069115378118
IA,hh1,4.033015591111088
IA,hh2,4.059822902908759
IA,hh3,4.079550311870161
IA,hh4,4.096096321181256
IA,hh5,4.1191945813452175
KS,hh1,4.043475348422642
KS,hh2,4.070470016860923
KS,hh3,4.099660061940312
KS,hh4,4.150348800711729
KS,hh5,4.10162883072822
KY,hh1,4.025367963062712
KY,hh2,4.061974577536283
KY,hh3,4.093537410399069
KY,hh4,4.115791701020363
KY,hh5,4.151246326427303
LA,hh1,4.034486808050473
LA,hh2,4.073780692316296
LA,hh3,4.105330003378805
LA,hh4,4.122970726406874
LA,hh5,4.1004400589093235
ME,hh1,4.029528606273703
ME,hh2,4.051669915483542
ME,hh3,4.082464620586363
ME,hh4,4.106980265304235
ME,hh5,4.078927468759368
MD,hh1,4.026907250413867
MD,hh2,4.080087082656167
MD,hh3,4.103033618956263
MD,hh4,4.12069222967178
MD,hh5,4.147062725520497
MA,hh1,4.0216327322912075
MA,hh2,4.052047455952572
MA,hh3,4.084246903521047
MA,hh4,4.106180644794774
MA,hh5,4.109519462908199
MI,hh1,4.024183634481374
MI,hh2,4.057894171929536
MI,hh3,4.080784603111433
MI,hh4,4.1090117766208545
MI,hh5,4.088460191358905
MN,hh1,4.024275828764487
MN,hh2,4.053879997635301
MN,hh3,4.083551856313687
MN,hh4,4.1043135785351055
MN,hh5,4.10389824588184
MS,hh1,4.031607873962117
MS,hh2,4.078199378556162
MS,hh3,4.106330674182818
MS,hh4,4.121191438462192
MS,hh5,4.10285883225833
MO,hh1,4.027979554405796
MO,hh2,4.066867194293505
MO,hh3,4.09338751785045
MO,hh4,4.105078032064934
MO,hh5,4.100373433800619
MT,hh1,4.026414269358437
MT,hh2,4.05653719247279
MT,hh3,4.074374206299576
MT,hh4,4.100663841463061
MT,hh5,4.075806389625474
NE,hh1,4.038601885171523
NE,hh2,4.07062080671428
NE,hh3,4.093032623452927
NE,hh4,4.104747951674457
NE,hh5,4.095964229864249
NV,hh1,4.051352010404535
NV,hh2,4.090764671248916
NV,hh3,4.122101219799403
NV,hh4,4.1339000308424785
NV,hh5,4.1803767617542364
NH,hh1,4.0169706340016464
NH,hh2,4.061916746382952
NH,hh3,4.083690372762109
NH,hh4,4.102425175897121
NH,hh5,4.0925637624959
NJ,hh1,4.023770785350269
NJ,hh2,4.074134043478471
NJ,hh3,4.096860641226558
NJ,hh4,4.107184161970902
NJ,hh5,4.098058145434074
NM,hh1,4.041519562762713
NM,hh2,4.073062614567255
NM,hh3,4.097364938891094
NM,hh4,4.11007601258597
NM,hh5,4.1110411684268735
NY,hh1,4.023247399547555
NY,hh2,4.058390791152894
