r,m,s,value
DC,trd,pla,0.3672952766739598
DC,trd,fof,0.020214816730955917
DC,trd,mov,0.0351812185453792
DC,trd,fpd,0.20653262838778944
DC,trd,pri,0.11179347750116535
DC,trd,fmt,0.4079419139509286
DC,trd,pet,0.885856145982386
DC,trd,cep,1.5710177004321055
DC,trd,mot,0.6299780148034154
DC,trd,alt,1.0111273225926847
DC,trd,pmt,0.01408446328431925
DC,trd,wpd,0.06634458830424793
DC,trd,che,1.4170022406336427
DC,trd,mmf,0.7479327916737935
DC,trd,min,0.026435599076603915
FL,trn,ppd,0.564260386861837
FL,trn,fbp,1.6100130706937295
FL,trn,agr,2.2665785662971447
FL,trn,eec,0.3994797974809569
FL,trn,pub,0.24731510340865023
FL,trn,tex,0.1856898621705318
FL,trn,nmp,1.3566992450771151
FL,trn,ote,0.19022076889618564
FL,trn,mch,0.5035050493720614
FL,trn,oil,0.8038228426289805
FL,trn,pla,0.3005762386974213
FL,trn,fof,0.19422743084174665
FL,trn,mov,0.0044016327513440884
FL,trn,fpd,0.8932592480564999
FL,trn,pri,0.17562855437624558
FL,trn,fmt,0.5230117908037648
FL,trn,pet,1.9342062113878733
FL,trn,cep,0.45582325825139164
FL,trn,mot,0.5096550362486058
FL,trn,alt,0.4006929428131102
FL,trn,pmt,0.3235026050255393
FL,trn,wpd,0.3958199415584904
FL,trn,che,1.7663119235203715
FL,trn,mmf,0.9713468921606537
FL,trn,min,1.315948753400746
FL,trd,ppd,2.935015748685324
FL,trd,fbp,33.226462519168386
FL,trd,agr,5.20050659343504
FL,trd,eec,5.016431278227229
FL,trd,pub,4.785005589888924
FL,trd,tex,2.9087741093432165
FL,trd,nmp,2.5127777759033254
FL,trd,ote,1.131500921391635
FL,trd,mch,5.274317013851545
FL,trd,oil,0.24813382825154157
FL,trd,pla,5.218317253813614
FL,trd,fof,0.4301673204480203
FL,trd,mov,0.2790515760796373
FL,trd,fpd,4.63202142674332
FL,trd,pri,0.8337686850178756
FL,trd,fmt,4.966752337512819
FL,trd,pet,9.054790783267137
FL,trd,cep,11.029301293616475
FL,trd,mot,8.45390330559679
FL,trd,alt,13.854338581386411
FL,trd,pmt,0.7940211485624897
FL,trd,wpd,1.6294166665672005
FL,trd,che,21.857126219640463
FL,trd,mmf,13.509111080636673
FL,trd,min,0.2899455336208984
GA,trn,ppd,0.4864809352490672
GA,trn,fbp,0.865575445939725
GA,trn,agr,2.312659947261612
GA,trn,eec,0.252336165217382
GA,trn,pub,0.15219349962937462
GA,trn,tex,0.2464804730685896
GA,trn,nmp,0.7592491711147324
GA,trn,ote,0.14986868368797096
GA,trn,mch,0.41368295937769584
GA,trn,oil,0.39754076125929605
GA,trn,pla,0.19524373212047214
GA,trn,fof,0.16053709411932718
GA,trn,mov,0.004833407570408308
GA,trn,fpd,0.40971096122778533
GA,trn,pri,0.09606723181121575
GA,trn,fmt,0.35604788197401793
GA,trn,pet,1.0036955788393702
GA,trn,cep,0.21516303727309632
GA,trn,mot,0.42261242755544326
GA,trn,alt,0.22322421393702943
GA,trn,pmt,0.30272455601867204
GA,trn,wpd,0.30872993377723507
GA,trn,che,1.016013485102098
GA,trn,mmf,0.4023971096330982
GA,trn,min,0.8562545447373316
GA,trd,ppd,2.5304438157215374
GA,trd,fbp,17.86321529652955
GA,trd,agr,5.3062371112753315
GA,trd,eec,3.1686884788829164
GA,trd,pub,2.944610888838437
GA,trd,tex,3.8610401781770474
GA,trd,nmp,1.4062250351157817
GA,trd,ote,0.8914723385080956
GA,trd,mch,4.333412492501029
GA,trd,oil,0.12271772553101222
GA,trd,pla,3.3896349905717416
GA,trd,fof,0.35555127980913154
GA,trd,mov,0.3064249283282043
GA,trd,fpd,2.124567929531993
GA,trd,pri,0.4560639346205216
GA,trd,fmt,3.3811888778707293
GA,trd,pet,4.6986993542738675
GA,trd,cep,5.206180076107088
GA,trd,mot,7.010083966980556
GA,trd,alt,7.718188939728574
GA,trd,pmt,0.7430224546384703
GA,trd,wpd,1.2709053959841465
GA,trd,che,12.572600959672585
GA,trd,mmf,5.596380959709271
GA,trd,min,0.18866021966858484
HI,trn,ppd,0.04913755908894561
HI,trn,fbp,0.18553377719444922
HI,trn,agr,0.18843385082948796
HI,trn,eec,0.026239300139805095
HI,trn,pub,0.01885756942189037
HI,trn,tex,0.01779360374267953
HI,trn,nmp,0.12925606085273392
HI,trn,ote,0.02694461724257369
HI,trn,mch,0.0364118764827554
HI,trn,oil,0.2760105456374356
HI,trn,pla,0.027792870709197448
HI,trn,fof,0.021716199151071595
HI,trn,mov,0.00044389696217083063
HI,trn,fpd,0.06053526333280897
HI,trn,pri,0.019500645582049565
HI,trn,fmt,0.045582584203766575
HI,trn,pet,0.2540131165145806
HI,trn,cep,0.03290408418622839
HI,trn,mot,0.038687638418984295
HI,trn,alt,0.03767174552184345
HI,trn,pmt,0.0066279084924536985
HI,trn,wpd,0.03158760587893762
HI,trn,che,0.12598485419950858
HI,trn,mmf,0.05838465725219459
HI,trn,min,0.17154726205649104
HI,trd,ppd,0.25559035001569974
HI,trd,fbp,3.828932327446797
HI,trd,agr,0.4323483413442978
HI,trd,eec,0.3294976285913057
HI,trd,pub,0.36485266711093967
HI,trd,tex,0.27873128491573884
HI,trd,nmp,0.23939849475857586
HI,trd,ote,0.16027618547350123
HI,trd,mch,0.3814217551120236
HI,trd,oil,0.08520229793771292
HI,trd,pla,0.482513246500547
HI,trd,fof,0.048096188878405256
HI,trd,mov,0.028141863237660675
HI,trd,fpd,0.3139073426233194
HI,trd,pri,0.09257621963404492
HI,trd,fmt,0.4328724717582464
HI,trd,pet,1.1891367180518022
HI,trd,cep,0.7961617835663087
HI,trd,mot,0.6417312320179773
HI,trd,alt,1.3025363355472852
HI,trd,pmt,0.016267873680119813
HI,trd,wpd,0.1300322850674046
HI,trd,che,1.558992397284749
HI,trd,mmf,0.8119908825469808
HI,trd,min,0.03779733998731657
ID,trn,ppd,0.052168514760639065
ID,trn,fbp,0.14713252701840243
ID,trn,agr,0.5057923547363277
ID,trn,eec,0.033989304427744414
ID,trn,pub,0.013457616593098663
ID,trn,tex,0.013572299897753513
ID,trn,nmp,0.09661929677288773
ID,trn,ote,0.011471158985961516
ID,trn,mch,0.04135193628066088
ID,trn,oil,0.025412042820324887
ID,trn,pla,0.02399423428791739
ID,trn,fof,0.054680891595813054
ID,trn,mov,0.00017289398772310746
ID,trn,fpd,0.0601384469235655
ID,trn,pri,0.010858094996979508
ID,trn,fmt,0.04463615157501313
ID,trn,pet,0.12871393334614628
ID,trn,cep,0.06999967061419855
ID,trn,mot,0.048134328673601116
ID,trn,alt,0.027206419512220217
ID,trn,pmt,0.03511683373393073
ID,trn,wpd,0.061787735419047564
ID,trn,che,0.13253248975492285
ID,trn,mmf,0.05692816557890673
ID,trn,min,0.12187271881159663
ID,trd,ppd,0.27135594837617016
ID,trd,fbp,3.036430873335095
ID,trd,agr,1.1605053161746295
ID,trd,eec,0.426817603622752
ID,trd,pub,0.2603754066655467
ID,trd,tex,0.21260586919156066
ID,trd,nmp,0.1789510995419772
ID,trd,ote,0.06823454156643176
ID,trd,mch,0.4331698785400439
ID,trd,oil,0.007844498979496876
ID,trd,pla,0.41656495310239494
ID,trd,fof,0.12110510094037573
ID,trd,mov,0.010961009810301424
ID,trd,fpd,0.3118496397625897
ID,trd,pri,0.05154708253212867
ID,trd,fmt,0.42388472701938396
ID,trd,pet,0.602561262847185
ID,trd,cep,1.6937430104369848
ID,trd,mot,0.7984282138790539
ID,trd,alt,0.94068776171419
ID,trd,pmt,0.08619253206042148
ID,trd,wpd,0.25435294008895565
ID,trd,che,1.6400157402567326
ID,trd,mmf,0.7917345683905611
ID,trd,min,0.026852451813446174
IL,trn,ppd,0.5273957815641401
IL,trn,fbp,0.9864672567298302
IL,trn,agr,2.4757237634064713
IL,trn,eec,0.370802650499269
IL,trn,pub,0.19013814448462715
IL,trn,tex,0.15185791069291887
IL,trn,nmp,0.9508803529439411
IL,trn,ote,0.10321813440980822
IL,trn,mch,1.0834315395851206
IL,trn,oil,2.3443018515423266
IL,trn,pla,0.27129475711505696
IL,trn,fof,0.14472617852013123
IL,trn,mov,0.0027109966323303793
IL,trn,fpd,0.5565991315654565
IL,trn,pri,0.13425290605950346
IL,trn,fmt,0.5334298934830244
IL,trn,pet,1.249522913110284
IL,trn,cep,0.3566938642033439
IL,trn,mot,0.5423700768699685
IL,trn,alt,0.3061601731641621
IL,trn,pmt,0.6864183182740377
IL,trn,wpd,0.26224258207402307
IL,trn,che,1.6101089048885846
IL,trn,mmf,0.6710074693675753
IL,trn,min,1.1712522890048351
IL,trd,ppd,2.743263501607413
IL,trd,fbp,20.358106358725117
IL,trd,agr,5.680375675727303
IL,trd,eec,4.656320609311321
IL,trd,pub,3.6787566617260903
IL,trd,tex,2.3788070805764003
IL,trd,nmp,1.7611501053682932
IL,trd,ote,0.613978246785257
IL,trd,mch,11.349164044538883
IL,trd,oil,0.7236676567909746
IL,trd,pla,4.709960168700525
IL,trd,fof,0.32053388207257005
IL,trd,mov,0.1718698323405952
IL,trd,fpd,2.886260745833157
IL,trd,pri,0.6373443620407111
IL,trd,fmt,5.065687269276291
IL,trd,pet,5.84951516053385
IL,trd,cep,8.630722602823635
IL,trd,mot,8.996564067054983
IL,trd,alt,10.58577840022146
IL,trd,pmt,1.6847798224909378
IL,trd,wpd,1.07953740843016
IL,trd,che,19.92420086899277
IL,trd,mmf,9.332108346442565
IL,trd,min,0.2580642818062593
IN,trn,ppd,0.2958832360984158
IN,trn,fbp,0.5162769480653824
IN,trn,agr,1.4329769650181987
IN,trn,eec,0.1697611584677983
IN,trn,pub,0.05621981394078658
IN,trn,tex,0.08930642697531709
IN,trn,nmp,0.6452765748556875
IN,trn,ote,0.0655586119317699
IN,trn,mch,0.5803333689263509
IN,trn,oil,1.64294436687912
IN,trn,pla,0.18541172288187982
IN,trn,fof,0.10117440147636808
IN,trn,mov,0.0008001781589986486
IN,trn,fpd,0.4445746677264684
IN,trn,pri,0.04663685478780294
IN,trn,fmt,0.3804860055804359
IN,trn,pet,0.5661617372218278
IN,trn,cep,0.1632726275174826
IN,trn,mot,1.1156432894632917
IN,trn,alt,0.1289128246710809
IN,trn,pmt,1.0179403756111947
IN,trn,wpd,0.21830375287812678
IN,trn,che,1.079237881954853
IN,trn,mmf,0.3743301012760613
IN,trn,min,1.2216136389803836
IN,trd,ppd,1.539044699824848
IN,trd,fbp,10.654607081552237
IN,trd,agr,3.287865801621942
IN,trd,eec,2.131760330649882
IN,trd,pub,1.0877302690433663
IN,trd,tex,1.3989574850628423
IN,trd,nmp,1.1951334405852247
IN,trd,ote,0.3899659865555393
IN,trd,mch,6.079109167328798
IN,trd,oil,0.5071640835991881
IN,trd,pla,3.2189410472589124
IN,trd,fof,0.22407710894596777
IN,trd,mov,0.05072912462878486
IN,trd,fpd,2.305354678584913
IN,trd,pri,0.22140106560630737
IN,trd,fmt,3.6132641573975435
IN,trd,pet,2.6504289200665205
IN,trd,cep,3.9506167561497696
IN,trd,mot,18.505733921679457
IN,trd,alt,4.457283195299695
IN,trd,pmt,2.4984843202332896
IN,trd,wpd,0.8986605675126761
IN,trd,che,13.35496765480143
IN,trd,mmf,5.206036030769447
IN,trd,min,0.2691604954352428
IA,trn,ppd,0.1435978918461807
IA,trn,fbp,0.3189263264891374
IA,trn,agr,1.4822086653676796
IA,trn,eec,0.09526069570965225
IA,trn,pub,0.03722495566776823
IA,trn,tex,0.0328334574476601
IA,trn,nmp,0.27009789557296515
IA,trn,ote,0.02311091615834831
IA,trn,mch,0.49416204438738104
IA,trn,oil,0.0984595911110873
IA,trn,pla,0.07071401502924096
IA,trn,fof,0.11979389756786075
IA,trn,mov,0.0004270854844931218
IA,trn,fpd,0.19186527223214395
IA,trn,pri,0.02649226042443359
IA,trn,fmt,0.14860968010593395
IA,trn,pet,0.26659427218658355
IA,trn,cep,0.0866471178358504
IA,trn,mot,0.14315032033523215
IA,trn,alt,0.05509457979217322
