r,h,value
AL,hh1,15.059711506735173
AL,hh2,23.197844696314192
AL,hh3,24.893080049451022
AL,hh4,46.63254838183264
AL,hh5,50.33217580316557
AK,hh1,1.4765553291448936
AK,hh2,3.607445384396897
AK,hh3,4.679097271086914
AK,hh4,14.633068661899776
AK,hh5,9.642633881873975
AR,hh1,9.499970574942735
AR,hh2,15.69897711559289
AR,hh3,13.738623775904326
AR,hh4,26.85816844553398
AR,hh5,28.594442445686184
AZ,hh1,17.379847570559786
AZ,hh2,31.427556103467097
AZ,hh3,36.08658181860809
AZ,hh4,92.19428322763787
AZ,hh5,84.70839965731788
CA,hh1,96.5882982744857
CA,hh2,158.4835266221136
CA,hh3,185.60772201535616
CA,hh4,487.5354954118565
CA,hh5,850.6576607164004
CO,hh1,9.168119367118358
CO,hh2,22.895655910391998
CO,hh3,28.39449327723772
CO,hh4,74.99925337430702
CO,hh5,110.59060910637459
CT,hh1,9.684925573061596
CT,hh2,17.11788476751573
CT,hh3,18.576545880010276
CT,hh4,50.73070036359623
CT,hh5,78.54888905834085
DE,hh1,2.6909998478458084
DE,hh2,4.784751221272598
DE,hh3,5.367040588990113
DE,hh4,12.051543791184926
DE,hh5,18.01361697275686
DC,hh1,2.460208547475343
DC,hh2,2.858432138519875
DC,hh3,3.567237012188751
DC,hh4,11.445985165294186
DC,hh5,27.051574465484403
FL,hh1,68.4212034067537
FL,hh2,114.76064539012778
FL,hh3,122.30118241451345
FL,hh4,269.80108191951854
FL,hh5,325.26649895708874
GA,hh1,22.345655731101182
GA,hh2,47.32395839637698
GA,hh3,47.336784454795044
GA,hh4,116.46994706316784
GA,hh5,147.512343074325
HI,hh1,2.4039975079818867
HI,hh2,6.471150824227294
HI,hh3,8.568129226705057
HI,hh4,23.41710385397181
HI,hh5,19.751515588405866
ID,hh1,3.252291550201476
ID,hh2,7.971247234782143
ID,hh3,8.273039464909363
ID,hh4,19.292948541915266
ID,hh5,17.864015040912946
IL,hh1,28.651386641524322
IL,hh2,49.43916571777578
IL,hh3,60.11915085922137
IL,hh4,154.57471191684056
IL,hh5,237.39494329722777
IN,hh1,17.219233014463885
IN,hh2,31.13067331469709
IN,hh3,34.55849868032537
IN,hh4,85.32022647799285
IN,hh5,66.01246129852733
IA,hh1,7.323914335002928
IA,hh2,13.851963790799982
IA,hh3,16.80346178884355
IA,hh4,44.62498514416102
IA,hh5,27.454697033157824
KS,hh1,6.979727799658608
KS,hh2,13.463704803179798
KS,hh3,15.575766670780416
KS,hh4,30.63923703580462
KS,hh5,40.67575973835095
KY,hh1,15.192916956034072
KY,hh2,24.542613626330883
KY,hh3,24.54164174293916
KY,hh4,48.44409063781995
KY,hh5,36.26282143441364
LA,hh1,18.615455838280923
LA,hh2,23.730669777217773
LA,hh3,21.457627210221496
LA,hh4,45.12778233921822
LA,hh5,51.701465609139426
ME,hh1,3.9152438466134685
