r,g,value
AZ,fnd,2.492289871
AZ,pub,2.4095833203
AZ,hou,23.2783981948
AZ,ins,9.0833179227
AZ,tex,0.53543503
AZ,leg,3.8214866646
AZ,fen,0.5994596017
AZ,uti,1.0736066111
AZ,nmp,0.6567215788
AZ,brd,7.464695144
AZ,bnk,8.3227602948
AZ,ore,12.3953352307
AZ,edu,4.3682914267
AZ,ote,4.2787682295
AZ,man,6.2344334065
AZ,mch,2.060913466
AZ,dat,3.6107297974
AZ,amd,2.4473975251
AZ,oil,0.6087892116
AZ,hos,10.0379874691
AZ,rnt,3.2326556562
AZ,pla,2.810318877
AZ,fof,0.0604417667
AZ,fin,1.7314176365
AZ,tsv,16.1240372608
AZ,nrs,2.3059441262
AZ,sec,4.878031323
AZ,art,1.814785656
AZ,mov,1.1312796392
AZ,fpd,0.7870315336
AZ,slg,11.4201910428
AZ,pri,0.6846979255
AZ,grd,1.1509593119
AZ,pip,1.37189e-05
AZ,sle,0.8833595101
AZ,osv,8.105393106
AZ,trn,0.0913185074
AZ,smn,0.0220303827
AZ,fmt,2.6895223654
AZ,pet,8.1930307859
AZ,cep,2.3250327808
AZ,wst,1.3788666872
AZ,mot,4.7351525478
AZ,adm,8.3323392074
AZ,soc,2.3471850841
AZ,alt,0.1868141183
AZ,pmt,0.8885613865
AZ,trk,0.5031922443
AZ,fdd,3.9160599046
AZ,wtt,0.5851685745
AZ,wpd,0.983769721
AZ,wht,0.8174209771
AZ,wrh,1.4703996564
AZ,ott,0.074803542
AZ,che,8.0404110615
AZ,air,1.7526721569
AZ,mmf,1.3269663831
AZ,otr,2.5383410186
AZ,min,0.1193881526
CA,ppd,11.4447080004
CA,res,49.8751781259
CA,com,25.4454391204
CA,amb,41.4310774977
CA,fbp,35.5123654479
CA,rec,10.4681988014
CA,con,61.204938742
CA,agr,12.0137303465
CA,eec,6.9452038788
CA,fnd,13.4214624438
CA,pub,14.0669838286
CA,hou,87.6772595172
CA,ins,62.5675005153
CA,tex,3.0661131241
CA,leg,13.4842580822
CA,fen,2.8628378918
