r,g,m,value
AL,fbt,trd,1.2139942228728962
AL,pip,trn,0.2894709106917119
AL,trn,trn,0.40167460061411736
AL,mvt,trd,1.4531060115168264
AL,trk,trn,1.6607416978212781
AL,gmt,trd,1.0698467931379008
AL,wtt,trn,0.12449262401968843
AL,wht,trd,9.683688189576335
AL,ott,trd,4.986820506382668
AL,air,trn,0.03668742458820486
AL,otr,trn,0.01794965456732258
AK,fbt,trd,0.2294433635290246
AK,pip,trn,0.07103855096114858
AK,trn,trn,0.0007015510871282858
AK,mvt,trd,0.2746351873550665
AK,trk,trn,0.40755972146585434
AK,gmt,trd,0.20219968271134095
AK,wtt,trn,0.03055151757590045
AK,wht,trd,1.8302047470412972
AK,ott,trd,0.9425027308550451
AK,air,trn,0.009003396835332191
AK,otr,trn,0.004404993398710676
AR,fbt,trd,0.6449064921881802
AR,pip,trn,0.11827443342910314
AR,trn,trn,0.21943843003124497
AR,mvt,trd,0.7719291270161085
AR,trk,trn,0.9072780561682277
AR,gmt,trd,0.5683314875326011
AR,wtt,trn,0.0064292389786485965
AR,wht,trd,5.144236491508934
AR,ott,trd,2.6491336279448223
AR,air,trn,0.02004266847148617
AR,otr,trn,0.009806056972072326
AZ,fbt,trd,1.641159770495715
AZ,pip,trn,0.16221440605903312
AZ,trn,trn,0.4506246709605758
AZ,mvt,trd,1.9644073121891474
AZ,trk,trn,1.8631279647432082
AZ,gmt,trd,1.4462914933291269
AZ,wtt,trn,0.007396579751747207
AZ,wht,trd,13.091066816733186
AZ,ott,trd,6.741522359464454
AZ,air,trn,0.04115833714199181
AZ,otr,trn,0.020137089004107298
CA,fbt,trd,19.656237516606488
CA,pip,trn,0.9377470953769735
CA,trn,trn,2.122012115436478
CA,mvt,trd,23.5277865092229
CA,trk,trn,24.005322670073912
CA,gmt,trd,17.322292212011686
CA,wtt,trn,1.7994885138112682
CA,wht,trd,156.79224126834944
CA,ott,trd,80.74348829615838
CA,air,trn,0.5303012902784582
CA,otr,trn,0.259454706454486
CO,fbt,trd,1.6982760481847228
CO,pip,trn,0.3685706169195581
CO,trn,trn,0.5114346550245651
CO,mvt,trd,2.032773375965755
CO,trk,trn,2.1145495782196693
CO,gmt,trd,1.4966258897951605
CO,wtt,trn,0.012592572978101716
CO,wht,trd,13.546667192145778
CO,ott,trd,6.976143430521736
CO,air,trn,0.04671248893836291
CO,otr,trn,0.022854508045600547
CT,fbt,trd,0.9118234493531361
CT,pip,trn,0.1751115879496661
CT,trn,trn,0.18781092831367205
CT,mvt,trd,1.091418814631191
CT,trk,trn,1.004643662414246
CT,gmt,trd,0.8035552186482905
CT,wtt,trn,0.0753101616601663
CT,wht,trd,7.273357484835567
CT,ott,trd,3.7455696161997905
CT,air,trn,0.022193570891363906
CT,otr,trn,0.010858405450554411
DE,fbt,trd,0.21094834917009297
DE,pip,trn,0.01090521171804899
DE,trn,trn,0.06808208923257583
DE,mvt,trd,0.25249734185160616
DE,trk,trn,0.2814884592913288
DE,gmt,trd,0.18590073216599382
DE,wtt,trn,0.004228258522253685
DE,wht,trd,1.6826752541168628
DE,ott,trd,0.8665292911687357
DE,air,trn,0.00621835812050042
DE,otr,trn,0.0030423879978419962
DC,fbt,trd,0.061507852531418
DC,pip,trn,0.011226781487122393
DC,trn,trn,0.015578466793938097
DC,mvt,trd,0.07362261581227612
DC,trk,trn,0.06038838672194223
DC,gmt,trd,0.05420452383028026
DC,wtt,trn,0.004828296851271639
DC,wht,trd,0.4906307245146227
DC,ott,trd,0.25266069189470153
DC,air,trn,0.0014228776846448433
DC,otr,trn,0.0006961557868288727
FL,fbt,trd,5.900766747166013
FL,pip,trn,0.23483291312541285
FL,trn,trn,1.4480121155078103
FL,mvt,trd,7.062998712279091
FL,trk,trn,6.708743915578052
FL,gmt,trd,5.200120612247161
FL,wtt,trn,0.5029012850235004
FL,wht,trd,47.06874561870044
FL,ott,trd,24.239048311541513
FL,air,trn,0.14820278000320009
FL,otr,trn,0.07250955161975596
GA,fbt,trd,3.0474731906421173
GA,pip,trn,0.5304529493822061
GA,trn,trn,0.9037533272511021
GA,mvt,trd,3.647712262401814
GA,trk,trn,3.7366087694265664
GA,gmt,trd,2.685621857793263
GA,wtt,trn,0.08138688732349209
GA,wht,trd,24.308830790343332
GA,ott,trd,12.518347709910525
GA,air,trn,0.08254537874481355
GA,otr,trn,0.040386073735864635
HI,fbt,trd,0.40241884311156917
HI,pip,trn,0.013920642117069002
HI,trn,trn,0.001744963936255496
HI,mvt,trd,0.4816804141697231
HI,trk,trn,0.4872332515977358
HI,gmt,trd,0.3546363736248619
HI,wtt,trn,0.03978635270851277
HI,wht,trd,3.2099811719701035
HI,ott,trd,1.6530478491359932
HI,air,trn,0.011724861823158605
HI,otr,trn,0.005736494778184777
ID,fbt,trd,0.4221452657417394
ID,pip,trn,0.02820411096756167
ID,trn,trn,0.12979076651685237
ID,mvt,trd,0.505292209654044
ID,trk,trn,0.5366257602974431
ID,gmt,trd,0.3720205172998027
ID,wtt,trn,0.015023565895182224
ID,wht,trd,3.3673332600173715
ID,ott,trd,1.7340796423984917
ID,air,trn,0.011854593124763715
ID,otr,trn,0.005799966991797981
IL,fbt,trd,4.411841355144734
IL,pip,trn,0.5118139742908242
IL,trn,trn,1.4001667968351859
IL,mvt,trd,5.280810298955242
IL,trk,trn,5.789052581004349
IL,gmt,trd,3.887987468725328
IL,wtt,trn,0.43395932512723556
IL,wht,trd,35.19200933592297
IL,ott,trd,18.122871201707806
IL,air,trn,0.12788588994988057
IL,otr,trn,0.06256932925657038
IN,fbt,trd,2.0379548350658503
IN,pip,trn,0.2541908680235558
IN,trn,trn,0.6855511088781064
IN,mvt,trd,2.439356272244815
IN,trk,trn,2.834441885946501
IN,gmt,trd,1.7959718454799878
IN,wtt,trn,0.21247561163528295
IN,wht,trd,16.256188699576196
IN,ott,trd,8.37146896674494
IN,air,trn,0.06261562112683354
IN,otr,trn,0.030635259420917618
IA,fbt,trd,1.1163865463192841
IA,pip,trn,0.13226535703637549
IA,trn,trn,0.3765340835506863
IA,mvt,trd,1.3362732466667635
IA,trk,trn,1.5567970995614102
IA,gmt,trd,0.9838288716527369
IA,wtt,trn,0.030801251770084172
IA,wht,trd,8.905099390020604
IA,ott,trd,4.585869699659693
IA,air,trn,0.03439118573600224
IA,otr,trn,0.016826198923767986
KS,fbt,trd,0.8423071231501772
KS,pip,trn,0.22655871874605069
KS,trn,trn,0.31437660748193325
KS,mvt,trd,1.0082103531732487
KS,trk,trn,1.2998042198003235
KS,gmt,trd,0.7422931325051092
KS,wtt,trn,0.008373684075996018
KS,wht,trd,6.718845433335626
